seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,11,11,12,878,5.2262,0.2812,0.362
2,1,3,14,4,889,5.2917,0.2501,0.120
3,1,1,15,2,825,4.9107,0.1586,0.057
4,1,6,21,7,809,4.8155,0.1973,0.232
5,0,0,21,1,818,4.8690,0.2184,0.043
6,1,6,27,7,839,4.9940,0.2042,0.269
7,0,0,27,1,825,4.9107,0.2054,0.045
8,0,0,27,1,824,4.9048,0.1801,0.046
9,0,0,27,1,850,5.0595,0.2263,0.046
10,0,0,27,1,854,5.0833,0.2000,0.047
11,0,0,27,1,850,5.0595,0.2013,0.046
12,0,0,27,1,856,5.0952,0.1999,0.047
13,0,0,27,1,819,4.8750,0.1992,0.047
14,0,0,27,1,803,4.7798,0.1781,0.042
15,0,0,27,1,843,5.0179,0.1878,0.045
16,0,0,27,1,860,5.1190,0.2087,0.050
17,1,1,28,2,840,5.0000,0.2396,0.071
18,0,0,28,1,890,5.2976,0.3289,0.051
19,0,0,28,1,818,4.8690,0.1811,0.046
20,0,0,28,1,775,4.6131,0.1657,0.042
21,0,0,28,1,810,4.8214,0.1937,0.045
22,0,0,28,1,795,4.7321,0.1707,0.044
23,0,0,28,1,824,4.9048,0.2710,0.046
24,0,0,28,1,850,5.0595,0.2205,0.046
25,0,0,28,1,879,5.2321,0.2040,0.049
26,0,0,28,1,844,5.0238,0.2225,0.047
27,0,0,28,1,811,4.8274,0.1988,0.044
28,1,1,29,2,822,4.8929,0.1647,0.070
29,0,0,29,1,784,4.6667,0.1862,0.043
30,0,0,29,1,854,5.0833,0.2059,0.048
31,0,0,29,1,867,5.1607,0.2051,0.048
32,0,0,29,1,902,5.3690,0.2321,0.050
33,0,0,29,1,818,4.8690,0.1841,0.046
34,0,0,29,1,802,4.7738,0.1909,0.044
35,0,0,29,1,840,5.0000,0.1728,0.046
36,0,0,29,1,862,5.1310,0.2159,0.050
37,0,0,29,1,835,4.9702,0.2451,0.050
38,0,0,29,1,797,4.7440,0.1670,0.045
39,0,0,29,1,836,4.9762,0.2066,0.048
40,0,0,29,1,858,5.1071,0.2313,0.050
41,0,0,29,1,825,4.9107,0.1933,0.047
42,0,0,29,1,831,4.9464,0.2085,0.048
43,0,0,29,1,825,4.9107,0.1935,0.048
44,0,0,29,1,846,5.0357,0.1824,0.048
45,0,0,29,1,846,5.0357,0.2175,0.048
46,1,2,31,3,832,4.9524,0.2045,0.139
47,0,0,31,1,814,4.8452,0.2098,0.047
48,0,0,31,1,861,5.1250,0.2078,0.050
49,0,0,31,1,879,5.2321,0.2423,0.051
50,0,0,31,1,789,4.6964,0.1870,0.047
51,0,0,31,1,866,5.1548,0.2309,0.051
52,0,0,31,1,826,4.9167,0.1848,0.046
53,0,0,31,1,900,5.3571,0.2844,0.050
54,0,0,31,1,819,4.8750,0.1830,0.043
55,0,0,31,1,812,4.8333,0.1726,0.043
56,0,0,31,1,868,5.1667,0.2425,0.047
57,0,0,31,1,802,4.7738,0.1861,0.043
58,0,0,31,1,827,4.9226,0.2116,0.044
59,0,0,31,1,831,4.9464,0.1906,0.043
60,0,0,31,1,857,5.1012,0.2213,0.045
61,0,0,31,1,849,5.0536,0.2445,0.044
62,0,0,31,1,795,4.7321,0.2086,0.045
63,0,0,31,1,808,4.8095,0.1517,0.045
64,0,0,31,1,816,4.8571,0.1993,0.047
65,0,0,31,1,861,5.1250,0.2465,0.050
66,0,0,31,1,836,4.9762,0.1940,0.049
67,0,0,31,1,861,5.1250,0.1944,0.050
68,0,0,31,1,804,4.7857,0.1857,0.050
69,0,0,31,1,861,5.1250,0.2368,0.049
70,0,0,31,1,830,4.9405,0.2054,0.046
71,0,0,31,1,824,4.9048,0.1954,0.045
72,0,0,31,1,796,4.7381,0.1630,0.044
73,0,0,31,1,810,4.8214,0.1683,0.044
74,0,0,31,1,807,4.8036,0.2054,0.043
75,0,0,31,1,815,4.8512,0.1766,0.044
76,0,0,31,1,854,5.0833,0.2330,0.047
77,0,0,31,1,813,4.8393,0.1857,0.044
