seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2000,2000,2000,0,0.0000,22.818
2,1,2000,4000,2000,0,0.0000,15.149
3,1,2000,6000,2000,0,0.0000,27.566
4,1,2000,8000,2000,0,0.0000,12.786
5,1,867,8867,868,647,3.8512,32.030
6,0,0,8867,1,677,4.0298,0.269
7,0,0,8867,1,655,3.8988,0.265
8,0,0,8867,1,648,3.8571,0.265
9,0,0,8867,1,684,4.0714,0.264
10,0,0,8867,1,706,4.2024,0.293
11,0,0,8867,1,673,4.0060,0.314
12,0,0,8867,1,701,4.1726,0.292
13,0,0,8867,1,663,3.9464,0.274
14,0,0,8867,1,648,3.8571,0.266
15,0,0,8867,1,673,4.0060,0.346
16,0,0,8867,1,712,4.2381,0.282
17,0,0,8867,1,665,3.9583,0.269
18,0,0,8867,1,701,4.1726,0.273
19,0,0,8867,1,661,3.9345,0.250
20,0,0,8867,1,593,3.5298,0.225
21,0,0,8867,1,664,3.9524,0.250
22,0,0,8867,1,656,3.9048,0.267
23,0,0,8867,1,646,3.8452,0.335
24,0,0,8867,1,683,4.0655,0.264
25,0,0,8867,1,694,4.1310,0.314
26,0,0,8867,1,696,4.1429,0.292
27,0,0,8867,1,637,3.7917,0.246
28,0,0,8867,1,687,4.0893,0.283
29,0,0,8867,1,623,3.7083,0.233
30,0,0,8867,1,689,4.1012,0.298
31,0,0,8867,1,697,4.1488,0.275
32,0,0,8867,1,737,4.3869,0.296
33,0,0,8867,1,638,3.7976,0.246
34,0,0,8867,1,656,3.9048,0.251
35,0,0,8867,1,669,3.9821,0.340
36,0,0,8867,1,677,4.0298,0.273
37,0,0,8867,1,687,4.0893,0.337
38,0,0,8867,1,632,3.7619,0.305
39,0,0,8867,1,676,4.0238,0.273
40,0,0,8867,1,675,4.0179,0.265
41,0,0,8867,1,670,3.9881,0.339
42,0,0,8867,1,666,3.9643,0.257
43,0,0,8867,1,639,3.8036,0.277
44,0,0,8867,1,671,3.9940,0.276
45,0,0,8867,1,668,3.9762,0.262
46,0,0,8867,1,668,3.9762,0.297
47,0,0,8867,1,652,3.8810,0.283
48,0,0,8867,1,674,4.0119,0.324
49,0,0,8867,1,704,4.1905,0.270
50,0,0,8867,1,625,3.7202,0.232
51,0,0,8867,1,656,3.9048,0.261
52,0,0,8867,1,661,3.9345,0.269
53,0,0,8867,1,723,4.3036,0.335
54,0,0,8867,1,638,3.7976,0.311
55,0,0,8867,1,656,3.9048,0.260
56,0,0,8867,1,670,3.9881,0.258
57,0,0,8867,1,672,4.0000,0.275
58,0,0,8867,1,670,3.9881,0.306
59,0,0,8867,1,651,3.8750,0.301
60,0,0,8867,1,680,4.0476,0.358
61,0,0,8867,1,663,3.9464,0.281
62,0,0,8867,1,639,3.8036,0.251
63,0,0,8867,1,651,3.8750,0.238
64,0,0,8867,1,661,3.9345,0.245
65,0,0,8867,1,667,3.9702,0.257
66,0,0,8867,1,664,3.9524,0.272
67,0,0,8867,1,683,4.0655,0.332
68,0,0,8867,1,638,3.7976,0.251
69,0,0,8867,1,686,4.0833,0.286
70,0,0,8867,1,661,3.9345,0.271
71,0,0,8867,1,654,3.8929,0.323
72,0,0,8867,1,647,3.8512,0.256
73,0,0,8867,1,651,3.8750,0.258
74,0,0,8867,1,646,3.8452,0.239
75,0,0,8867,1,659,3.9226,0.274
76,0,0,8867,1,662,3.9405,0.258
77,0,0,8867,1,654,3.8929,0.279
78,0,0,8867,1,703,4.1845,0.375
79,0,0,8867,1,633,3.7679,0.234
80,0,0,8867,1,687,4.0893,0.295
81,0,0,8867,1,670,3.9881,0.341
82,0,0,8867,1,674,4.0119,0.266
83,0,0,8867,1,714,4.2500,0.383
84,0,0,8867,1,690,4.1071,0.354
85,0,0,8867,1,674,4.0119,0.280
86,0,0,8867,1,661,3.9345,0.259
87,0,0,8867,1,657,3.9107,0.261
88,0,0,8867,1,709,4.2202,0.285
89,0,0,8867,1,663,3.9464,0.311
90,0,0,8867,1,660,3.9286,0.350
91,0,0,8867,1,684,4.0714,0.313
92,0,0,8867,1,674,4.0119,0.258
93,0,0,8867,1,699,4.1607,0.282
94,0,0,8867,1,668,3.9762,0.280
95,0,0,8867,1,665,3.9583,0.243
96,0,0,8867,1,651,3.8750,0.290
97,0,0,8867,1,663,3.9464,0.275
98,0,0,8867,1,638,3.7976,0.310
99,0,0,8867,1,673,4.0060,0.255
100,0,0,8867,1,678,4.0357,0.266
101,0,0,8867,1,635,3.7798,0.244
102,0,0,8867,1,662,3.9405,0.294
103,0,0,8867,1,696,4.1429,0.280
104,0,0,8867,1,723,4.3036,0.295
105,0,0,8867,1,659,3.9226,0.242
