seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,5,5,6,394,2.3452,0.130
2,0,0,5,1,335,1.9940,0.045
3,0,0,5,1,311,1.8512,0.047
4,0,0,5,1,325,1.9345,0.045
5,0,0,5,1,325,1.9345,0.039
6,0,0,5,1,363,2.1607,0.045
7,0,0,5,1,336,2.0000,0.047
8,0,0,5,1,312,1.8571,0.040
9,0,0,5,1,338,2.0119,0.048
10,0,0,5,1,388,2.3095,0.048
11,0,0,5,1,332,1.9762,0.040
12,0,0,5,1,358,2.1310,0.045
13,0,0,5,1,328,1.9524,0.038
14,0,0,5,1,328,1.9524,0.040
15,0,0,5,1,327,1.9464,0.040
16,0,0,5,1,347,2.0655,0.043
17,0,0,5,1,319,1.8988,0.039
18,0,0,5,1,353,2.1012,0.042
19,0,0,5,1,341,2.0298,0.041
20,0,0,5,1,305,1.8155,0.038
21,0,0,5,1,343,2.0417,0.048
22,0,0,5,1,324,1.9286,0.043
23,0,0,5,1,315,1.8750,0.039
24,0,0,5,1,314,1.8690,0.036
25,0,0,5,1,349,2.0774,0.041
26,0,0,5,1,361,2.1488,0.044
27,0,0,5,1,306,1.8214,0.038
28,0,0,5,1,357,2.1250,0.040
29,0,0,5,1,306,1.8214,0.037
30,0,0,5,1,351,2.0893,0.041
31,0,0,5,1,355,2.1131,0.041
32,0,0,5,1,366,2.1786,0.041
33,0,0,5,1,315,1.8750,0.037
34,0,0,5,1,340,2.0238,0.042
35,0,0,5,1,331,1.9702,0.039
36,0,0,5,1,334,1.9881,0.040
37,0,0,5,1,354,2.1071,0.039
38,0,0,5,1,300,1.7857,0.036
39,0,0,5,1,342,2.0357,0.043
40,0,0,5,1,354,2.1071,0.041
41,0,0,5,1,342,2.0357,0.038
42,0,0,5,1,332,1.9762,0.043
43,0,0,5,1,335,1.9940,0.040
44,0,0,5,1,347,2.0655,0.040
45,0,0,5,1,334,1.9881,0.039
46,0,0,5,1,357,2.1250,0.051
47,0,0,5,1,328,1.9524,0.038
48,0,0,5,1,347,2.0655,0.042
49,0,0,5,1,321,1.9107,0.034
50,0,0,5,1,319,1.8988,0.042
51,0,0,5,1,326,1.9405,0.038
52,0,0,5,1,344,2.0476,0.040
53,0,0,5,1,353,2.1012,0.039
54,0,0,5,1,300,1.7857,0.033
55,0,0,5,1,331,1.9702,0.039
56,0,0,5,1,339,2.0179,0.038
57,0,0,5,1,358,2.1310,0.044
58,0,0,5,1,342,2.0357,0.037
59,0,0,5,1,305,1.8155,0.034
60,0,0,5,1,330,1.9643,0.040
61,0,0,5,1,321,1.9107,0.035
62,0,0,5,1,323,1.9226,0.040
63,0,0,5,1,313,1.8631,0.037
64,0,0,5,1,333,1.9821,0.036
65,0,0,5,1,317,1.8869,0.040
66,0,0,5,1,330,1.9643,0.040
67,0,0,5,1,336,2.0000,0.036
68,0,0,5,1,328,1.9524,0.038
69,0,0,5,1,334,1.9881,0.039
70,0,0,5,1,335,1.9940,0.044
71,0,0,5,1,335,1.9940,0.040
72,0,0,5,1,331,1.9702,0.039
73,0,0,5,1,329,1.9583,0.037
74,0,0,5,1,301,1.7917,0.036
75,0,0,5,1,339,2.0179,0.038
76,0,0,5,1,351,2.0893,0.041
77,0,0,5,1,336,2.0000,0.038
78,0,0,5,1,360,2.1429,0.040
79,0,0,5,1,321,1.9107,0.034
80,0,0,5,1,359,2.1369,0.041
81,0,0,5,1,331,1.9702,0.038
82,0,0,5,1,348,2.0714,0.039
83,0,0,5,1,354,2.1071,0.041
84,0,0,5,1,332,1.9762,0.039
85,0,0,5,1,348,2.0714,0.040
86,0,0,5,1,326,1.9405,0.038
87,0,0,5,1,328,1.9524,0.038
88,0,0,5,1,349,2.0774,0.040
89,0,0,5,1,333,1.9821,0.037
90,0,0,5,1,372,2.2143,0.045
91,0,0,5,1,320,1.9048,0.039
92,0,0,5,1,338,2.0119,0.039
93,0,0,5,1,367,2.1845,0.045
94,0,0,5,1,309,1.8393,0.037
95,0,0,5,1,304,1.8095,0.035
96,0,0,5,1,344,2.0476,0.043
97,0,0,5,1,335,1.9940,0.041
98,0,0,5,1,336,2.0000,0.038
99,0,0,5,1,315,1.8750,0.039
100,0,0,5,1,345,2.0536,0.041
101,0,0,5,1,333,1.9821,0.037
