seed,deadlock_found,new_constraints,total_constraints,iterations,trains_per_hr,cpu_time
1,1,33,33,31,6.1786,2.023
2,1,3,36,4,5.9881,0.193
3,1,2,38,3,5.9107,0.130
4,1,31,69,32,5.8155,3.673
5,0,0,69,1,5.8512,0.112
6,1,2,71,3,5.9107,0.256
7,1,1,72,2,5.8810,0.203
8,1,1,73,2,5.9762,0.118
9,1,1,74,2,5.9881,0.177
10,0,0,74,1,6.2143,0.131
11,1,1,75,2,6.0774,0.171
12,0,0,75,1,6.0714,0.133
13,1,3,78,4,5.8036,0.465
14,0,0,78,1,5.7976,0.108
15,0,0,78,1,5.9167,0.123
16,0,0,78,1,6.0357,0.119
17,0,0,78,1,5.9643,0.118
18,0,0,78,1,5.9821,0.134
19,0,0,78,1,5.8869,0.111
20,1,1,79,2,5.5833,0.127
21,0,0,79,1,5.7560,0.108
22,1,7,86,8,5.6964,0.582
23,0,0,86,1,5.8512,0.114
24,0,0,86,1,5.8988,0.120
25,0,0,86,1,6.1071,0.134
26,0,0,86,1,5.8869,0.115
27,0,0,86,1,5.8095,0.109
28,0,0,86,1,5.8631,0.113
29,0,0,86,1,5.6905,0.101
30,1,3,89,4,6.1190,0.272
31,0,0,89,1,6.2262,0.126
32,0,0,89,1,6.1667,0.129
33,0,0,89,1,5.8155,0.104
34,0,0,89,1,5.7381,0.100
35,0,0,89,1,6.0298,0.109
36,0,0,89,1,6.0655,0.124
37,0,0,89,1,6.0238,0.124
38,0,0,89,1,5.7321,0.102
39,0,0,89,1,6.0893,0.117
40,1,281,370,281,6.0060,19.231
41,0,0,370,1,5.9524,0.143
42,0,0,370,1,5.8810,0.141
43,0,0,370,1,5.7917,0.128
44,0,0,370,1,6.0595,0.138
45,1,5,375,6,6.0298,0.195
46,0,0,375,1,6.0000,0.141
47,0,0,375,1,5.8452,0.126
48,1,2,377,3,6.0893,0.182
49,0,0,377,1,6.0417,0.147
50,0,0,377,1,5.6905,0.128
51,0,0,377,1,6.0060,0.149
52,0,0,377,1,5.9286,0.133
53,0,0,377,1,6.0298,0.150
54,0,0,377,1,5.8393,0.127
55,1,1,378,2,5.7619,0.194
56,0,0,378,1,6.0179,0.145
57,0,0,378,1,5.8274,0.130
58,1,6,384,6,5.8750,0.708
59,0,0,384,1,5.8512,0.137
60,0,0,384,1,5.9583,0.133
61,0,0,384,1,5.9226,0.138
62,1,1,385,2,5.7500,0.228
63,0,0,385,1,5.7917,0.123
64,0,0,385,1,5.7202,0.119
65,0,0,385,1,5.9464,0.142
66,0,0,385,1,6.0417,0.149
67,0,0,385,1,5.9167,0.144
68,0,0,385,1,5.8333,0.135
69,0,0,385,1,6.1250,0.153
70,0,0,385,1,5.7560,0.134
71,1,1,386,2,5.9583,0.211
72,0,0,386,1,5.7083,0.127
73,0,0,386,1,5.7381,0.125
74,0,0,386,1,5.7798,0.127
75,0,0,386,1,5.8810,0.138
76,0,0,386,1,6.0000,0.139
77,0,0,386,1,5.8690,0.135
78,0,0,386,1,6.0893,0.147
79,0,0,386,1,5.7619,0.122
80,0,0,386,1,5.9226,0.134
81,0,0,386,1,5.8155,0.137
82,0,0,386,1,5.9643,0.147
83,0,0,386,1,6.1905,0.157
84,0,0,386,1,6.1012,0.148
85,0,0,386,1,5.9702,0.143
86,0,0,386,1,5.7560,0.135
87,1,27,413,28,5.7619,1.757
88,0,0,413,1,6.1964,0.152
89,0,0,413,1,5.8929,0.133
90,0,0,413,1,5.9345,0.140
91,0,0,413,1,5.9762,0.141
92,0,0,413,1,5.9643,0.140
93,0,0,413,1,6.1667,0.158
94,1,2,415,3,5.8631,0.185
95,1,1,416,2,5.8810,0.248
96,0,0,416,1,5.7798,0.128
97,1,4,420,5,6.0238,0.542
98,0,0,420,1,5.7798,0.126
99,0,0,420,1,5.9524,0.150
100,0,0,420,1,5.9702,0.140
101,0,0,420,1,5.7976,0.130
102,0,0,420,1,5.7917,0.128
103,0,0,420,1,6.0238,0.141
104,0,0,420,1,5.9940,0.153
105,0,0,420,1,5.8393,0.126
106,0,0,420,1,5.8095,0.130
107,0,0,420,1,5.8393,0.131
108,0,0,420,1,6.0357,0.153
109,0,0,420,1,6.0774,0.144
110,0,0,420,1,5.9345,0.138
111,0,0,420,1,6.0595,0.143
112,0,0,420,1,6.0893,0.145
113,0,0,420,1,6.0357,0.149
114,0,0,420,1,5.9881,0.150
115,0,0,420,1,6.0595,0.151
116,0,0,420,1,6.1190,0.147
117,0,0,420,1,6.0714,0.150
118,0,0,420,1,5.9702,0.139
119,0,0,420,1,6.1369,0.145
120,0,0,420,1,5.6845,0.120
121,0,0,420,1,6.0417,0.148
122,0,0,420,1,5.9048,0.141
123,0,0,420,1,5.8810,0.146
124,1,2,422,3,5.8690,0.393
125,0,0,422,1,5.8155,0.146
126,0,0,422,1,5.9167,0.148
127,0,0,422,1,6.1845,0.172
128,0,0,422,1,6.0952,0.154
129,0,0,422,1,6.1429,0.167
130,0,0,422,1,5.6964,0.138
131,0,0,422,1,6.0238,0.207
132,0,0,422,1,5.8810,0.146
133,1,2,424,3,6.0536,0.337
134,0,0,424,1,6.0952,0.160
135,0,0,424,1,5.8869,0.146
136,0,0,424,1,6.1250,0.156
137,0,0,424,1,5.9881,0.140
138,0,0,424,1,6.0000,0.154
139,1,2,426,3,5.8929,0.256
140,1,12,438,13,5.8214,1.250
141,0,0,438,1,5.8988,0.137
142,0,0,438,1,5.7083,0.128
143,0,0,438,1,6.1310,0.148
144,0,0,438,1,6.1488,0.149
145,0,0,438,1,6.1905,0.158
146,0,0,438,1,6.0595,0.139
147,0,0,438,1,6.0000,0.139
148,0,0,438,1,5.7560,0.131
149,0,0,438,1,5.8571,0.131
150,0,0,438,1,5.8631,0.135
151,0,0,438,1,5.6131,0.125
152,0,0,438,1,5.8631,0.146
153,0,0,438,1,6.0298,0.145
154,0,0,438,1,5.9821,0.142
155,0,0,438,1,6.0179,0.153
156,0,0,438,1,6.0893,0.150
157,0,0,438,1,6.0714,0.145
158,0,0,438,1,5.8810,0.143
159,0,0,438,1,5.9821,0.142
160,0,0,438,1,5.9881,0.153
161,0,0,438,1,6.0952,0.153
162,0,0,438,1,6.0774,0.153
163,0,0,438,1,5.8690,0.141
164,0,0,438,1,6.0476,0.153
165,0,0,438,1,5.9405,0.149
166,0,0,438,1,6.0833,0.156
167,0,0,438,1,5.9821,0.147
168,0,0,438,1,5.8036,0.129
169,0,0,438,1,5.8333,0.136
170,0,0,438,1,5.8155,0.128
171,0,0,438,1,6.0952,0.158
172,0,0,438,1,5.9464,0.147
173,0,0,438,1,5.9762,0.148
174,0,0,438,1,5.6250,0.124
175,0,0,438,1,5.9821,0.141
176,0,0,438,1,5.8036,0.135
177,0,0,438,1,6.0536,0.158
178,0,0,438,1,5.9583,0.157
179,0,0,438,1,5.9048,0.161
180,0,0,438,1,5.7976,0.140
181,0,0,438,1,5.8512,0.149
182,0,0,438,1,5.8988,0.141
183,0,0,438,1,5.7024,0.146
184,0,0,438,1,5.8988,0.155
185,0,0,438,1,5.9702,0.157
186,0,0,438,1,5.6845,0.134
187,0,0,438,1,6.0179,0.151
188,0,0,438,1,5.8690,0.148
189,0,0,438,1,5.9881,0.142
190,0,0,438,1,5.8750,0.153
191,0,0,438,1,6.0595,0.154
192,0,0,438,1,5.7262,0.129
193,0,0,438,1,6.0000,0.143
