id,ready_time,completion_time,start_loc,job_id,job_list,wait_for_job,total_time,total_dwell_time,total_travel_time,total_wait_time,total_accel_time,total_coast_time,total_decel_time,total_distance,avg_speed
110,27.499236,30.815644,Gowrie_entry,110,(exit_to_Brisbane|0.000000),0.000000,3.316408,0.000000,3.316408,0.941548,1.320948,0.393438,0.660474,73.002517,22.012525
111,27.791626,31.204705,Gowrie_entry,111,(exit_to_Brisbane|0.000000),0.000000,3.413079,0.000000,3.413079,1.189594,1.225711,0.384919,0.612856,71.462517,20.937844
114,28.056148,31.641541,Gowrie_entry,114,(exit_to_Brisbane|0.000000),0.000000,3.585394,0.000000,3.585394,1.425495,1.176926,0.394510,0.588463,71.462517,19.931569
119,28.803713,31.992423,Wyreema_entry,119,(exit_to_Brisbane|0.000000),0.000000,3.188710,0.000000,3.188710,0.988463,1.177305,0.434545,0.588397,70.865564,22.223898
125,29.867974,32.313893,Wyreema_entry,125,(Gowrie_exit|0.000000),0.000000,2.445919,0.000000,2.445919,1.236277,0.734297,0.108196,0.367149,45.791712,18.721678
121,29.133277,32.353295,Wyreema_entry,121,(exit_to_Brisbane|0.000000),0.000000,3.220017,0.000000,3.220017,0.929804,1.287232,0.359621,0.643361,70.815564,21.992294
109,27.295470,32.506814,entry_from_Brisbane,109,(Gowrie_exit|0.000000),0.000000,5.211344,0.000000,5.211344,3.517828,0.722222,0.610183,0.361111,65.871260,12.639975
117,28.536598,32.714166,Gowrie_entry,117,(exit_to_Brisbane|0.000000),0.000000,4.177568,0.000000,4.177568,1.904272,1.294196,0.332257,0.646843,72.902517,17.450949
129,30.950291,32.744675,Wyreema_entry,129,(Gowrie_exit|0.000000),0.000000,1.794385,0.000000,1.794385,0.777070,0.558302,0.179861,0.279151,45.691712,25.463722
113,28.021349,32.956017,entry_from_Brisbane,113,(Gowrie_exit|0.000000),0.000000,4.934668,0.000000,4.934668,3.201360,0.777778,0.566641,0.388889,65.921260,13.358804
124,29.540992,33.075037,Wyreema_entry,124,(exit_to_Brisbane|0.000000),0.000000,3.534045,0.000000,3.534045,1.196647,1.294514,0.395882,0.647002,70.915564,20.066402
122,29.268463,33.469587,Gowrie_entry,122,(exit_to_Brisbane|0.000000),0.000000,4.201124,0.000000,4.201124,1.961385,1.208278,0.427577,0.603884,72.902517,17.353099
126,30.247854,33.489212,Gowrie_entry,126,(Wyreema_exit|0.000000),0.000000,3.241358,0.000000,3.241358,1.995927,0.772799,0.086232,0.386399,45.791712,14.127325
115,28.339402,33.727737,entry_from_Brisbane,115,(Wyreema_exit|0.000000),0.000000,5.388335,0.000000,5.388335,3.376700,1.078518,0.393858,0.539259,65.366450,12.131103
123,29.540411,33.906423,Gowrie_entry,123,(exit_to_Brisbane|0.000000),0.000000,4.366012,0.000000,4.366012,2.191812,1.161689,0.431922,0.580589,71.462517,16.367916
118,28.696951,34.187579,entry_from_Brisbane,118,(Gowrie_exit|0.000000),0.000000,5.490628,0.000000,5.490628,3.703787,0.833333,0.536841,0.416667,65.921260,12.006142
132,31.869681,34.227699,Gowrie_entry,132,(Wyreema_exit|0.000000),0.000000,2.358018,0.000000,2.358018,1.226212,0.689599,0.097407,0.344800,45.741712,19.398374
127,30.596149,34.327651,Wyreema_entry,127,(exit_to_Brisbane|0.000000),0.000000,3.731503,0.000000,3.731503,1.507458,1.190980,0.437830,0.595235,70.900722,19.000583
133,32.691923,34.688522,Wyreema_entry,133,(exit_to_Brisbane|0.000000),0.000000,1.996599,0.000000,1.996599,0.211665,0.735157,0.682199,0.367578,70.650722,35.385533
120,29.100459,34.770838,entry_from_Brisbane,120,(Wyreema_exit|0.000000),0.000000,5.670379,0.000000,5.670379,3.582688,1.166667,0.337691,0.583333,65.466450,11.545339
130,31.221069,35.077583,Gowrie_entry,130,(exit_to_Brisbane|0.000000),0.000000,3.856513,0.000000,3.856513,1.765652,1.025181,0.553090,0.512590,72.802517,18.877807
138,33.480986,35.192318,Wyreema_entry,138,(Gowrie_exit|0.000000),0.000000,1.711332,0.000000,1.711332,0.639145,0.632120,0.124007,0.316060,45.741712,26.728719
128,30.926760,35.385240,entry_from_Brisbane,128,(Gowrie_exit|0.000000),0.000000,4.458480,0.000000,4.458480,2.593151,0.955042,0.432765,0.477521,65.971260,14.796806
137,33.389784,35.514420,Wyreema_entry,137,(exit_to_Brisbane|0.000000),0.000000,2.124635,0.000000,2.124635,0.328977,0.813999,0.574659,0.407000,70.665564,33.260090
131,31.358108,35.595208,entry_from_Brisbane,131,(Gowrie_exit|0.000000),0.000000,4.237100,0.000000,4.237100,2.422071,0.888889,0.481696,0.444444,65.971260,15.569908
135,33.186153,35.839906,entry_from_Brisbane,135,(Gowrie_exit|0.000000),0.000000,2.653753,0.000000,2.653753,0.959901,0.745066,0.576254,0.372533,65.856623,24.816411
134,33.026531,35.865302,Gowrie_entry,134,(exit_to_Brisbane|0.000000),0.000000,2.838771,0.000000,2.838771,0.706889,1.061819,0.539154,0.530909,72.802517,25.645788
139,33.622990,36.190230,entry_from_Brisbane,139,(Wyreema_exit|0.000000),0.000000,2.567240,0.000000,2.567240,0.993124,0.555556,0.740783,0.277778,65.186971,25.391845
136,33.297430,36.226173,Gowrie_entry,136,(exit_to_Brisbane|0.000000),0.000000,2.928742,0.000000,2.928742,0.833231,1.050577,0.519646,0.525288,71.412517,24.383339
140,33.696943,36.446772,Gowrie_entry,140,(Wyreema_exit|0.000000),0.000000,2.749829,0.000000,2.749829,1.449838,0.831755,0.090544,0.377691,45.791712,16.652567
147,36.181319,37.318031,Gowrie_entry,147,(Wyreema_exit|0.000000),0.000000,1.136712,0.000000,1.136712,0.185612,0.482709,0.227037,0.241354,45.691712,40.196384
142,34.258092,37.613868,Gowrie_entry,142,(exit_to_Brisbane|0.000000),0.000000,3.355775,0.000000,3.355775,1.325290,1.018467,0.502784,0.509234,71.377155,21.269946
151,36.686875,37.887221,Gowrie_entry,151,(Wyreema_exit|0.000000),0.000000,1.200346,0.000000,1.200346,0.192309,0.578433,0.140388,0.289216,45.641712,38.023798
141,34.059826,37.932865,entry_from_Brisbane,141,(Gowrie_exit|0.000000),0.000000,3.873039,0.000000,3.873039,2.213284,0.666667,0.659755,0.333333,65.841781,17.000031
143,34.748107,37.974739,Gowrie_entry,143,(exit_to_Brisbane|0.000000),0.000000,3.226632,0.000000,3.226632,1.243787,1.021556,0.450511,0.510778,71.327155,22.105762
146,35.910419,38.335610,Gowrie_entry,146,(exit_to_Brisbane|0.000000),0.000000,2.425191,0.000000,2.425191,0.320675,1.132724,0.405429,0.566362,71.327155,29.410949
156,37.223164,38.601460,Gowrie_entry,156,(Wyreema_exit|0.000000),0.000000,1.378297,0.000000,1.378297,0.338658,0.555095,0.206996,0.277548,45.691712,33.150855
149,36.434097,38.742615,Gowrie_entry,149,(exit_to_Brisbane|0.000000),0.000000,2.308518,0.000000,2.308518,0.485728,0.843761,0.557149,0.421880,71.227155,30.854062
144,34.799638,38.764208,entry_from_Brisbane,144,(Gowrie_exit|0.000000),0.000000,3.964570,0.000000,3.964570,2.304815,0.666667,0.659755,0.333333,65.841781,16.607546
152,36.849342,39.103486,Wyreema_entry,152,(exit_to_Brisbane|0.000000),0.000000,2.254144,0.000000,2.254144,0.300514,0.891015,0.617108,0.445507,70.700722,31.364771
145,35.230986,39.238008,entry_from_Brisbane,145,(Wyreema_exit|0.000000),0.000000,4.007023,0.000000,4.007023,2.304945,0.722222,0.618744,0.361111,65.266450,16.288016
154,36.970386,39.464357,Gowrie_entry,154,(exit_to_Brisbane|0.000000),0.000000,2.493972,0.000000,2.493972,0.572243,0.922251,0.538352,0.461126,71.347676,28.608054
161,38.441337,39.793818,Wyreema_entry,161,(Gowrie_exit|0.000000),0.000000,1.352481,0.000000,1.352481,0.359991,0.516866,0.217192,0.258433,45.691712,33.783619
153,36.940544,39.853418,Wyreema_entry,153,(exit_to_Brisbane|0.000000),0.000000,2.912874,0.000000,2.912874,0.957290,0.991967,0.467633,0.495984,70.765564,24.294070
148,36.321037,39.986739,entry_from_Brisbane,148,(Gowrie_exit|0.000000),0.000000,3.665702,0.000000,3.665702,2.025095,0.666667,0.640608,0.333333,65.841781,17.961574
