seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,3,3,4,798,4.7500,0.1856,0.047
2,1,1,4,2,799,4.7560,0.1810,0.045
3,0,0,4,1,728,4.3333,0.1147,0.024
4,1,1,5,2,726,4.3214,0.1397,0.029
5,0,0,5,1,739,4.3988,0.1658,0.023
6,0,0,5,1,749,4.4583,0.1148,0.023
7,0,0,5,1,756,4.5000,0.1336,0.023
8,0,0,5,1,741,4.4107,0.1282,0.023
9,0,0,5,1,773,4.6012,0.1578,0.023
10,0,0,5,1,780,4.6429,0.1441,0.025
11,1,1,6,2,762,4.5357,0.1363,0.029
12,0,0,6,1,773,4.6012,0.1343,0.024
13,0,0,6,1,752,4.4762,0.1265,0.023
14,0,0,6,1,717,4.2679,0.1289,0.022
15,0,0,6,1,758,4.5119,0.1517,0.023
16,0,0,6,1,776,4.6190,0.1469,0.024
17,0,0,6,1,763,4.5417,0.1500,0.023
18,0,0,6,1,777,4.6250,0.1872,0.024
19,0,0,6,1,738,4.3929,0.1228,0.022
20,0,0,6,1,688,4.0952,0.1199,0.021
21,0,0,6,1,738,4.3929,0.1415,0.023
22,0,0,6,1,737,4.3869,0.1294,0.022
23,0,0,6,1,730,4.3452,0.1611,0.022
24,0,0,6,1,773,4.6012,0.1471,0.024
25,0,0,6,1,791,4.7083,0.1353,0.024
26,0,0,6,1,763,4.5417,0.1420,0.024
27,0,0,6,1,720,4.2857,0.1249,0.022
28,0,0,6,1,752,4.4762,0.1145,0.023
29,0,0,6,1,707,4.2083,0.1319,0.022
30,0,0,6,1,771,4.5893,0.1551,0.025
31,0,0,6,1,781,4.6488,0.1468,0.024
32,0,0,6,1,821,4.8869,0.1655,0.025
33,0,0,6,1,726,4.3214,0.1241,0.022
34,0,0,6,1,729,4.3393,0.1321,0.022
35,0,0,6,1,753,4.4821,0.1317,0.023
36,0,0,6,1,768,4.5714,0.1392,0.024
37,0,0,6,1,759,4.5179,0.1489,0.024
38,0,0,6,1,707,4.2083,0.1157,0.022
39,0,0,6,1,759,4.5179,0.1402,0.026
40,0,0,6,1,772,4.5952,0.1597,0.025
41,0,0,6,1,750,4.4643,0.1390,0.024
42,0,0,6,1,759,4.5179,0.1395,0.024
43,0,0,6,1,737,4.3869,0.1317,0.022
