seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
151,0,0,29,1,559,3.3274,0.129
152,0,0,29,1,585,3.4821,0.140
153,0,0,29,1,589,3.5060,0.130
154,0,0,29,1,595,3.5417,0.148
155,0,0,29,1,580,3.4524,0.158
156,0,0,29,1,633,3.7679,0.166
157,0,0,29,1,604,3.5952,0.128
158,0,0,29,1,575,3.4226,0.120
159,0,0,29,1,592,3.5238,0.150
160,0,0,29,1,616,3.6667,0.120
161,0,0,29,1,593,3.5298,0.135
162,0,0,29,1,600,3.5714,0.148
163,0,0,29,1,590,3.5119,0.120
164,0,0,29,1,603,3.5893,0.151
165,1,1,30,2,586,3.4881,0.204
166,0,0,30,1,627,3.7321,0.129
167,0,0,30,1,579,3.4464,0.120
168,0,0,30,1,574,3.4167,0.106
169,0,0,30,1,567,3.3750,0.101
170,0,0,30,1,572,3.4048,0.114
171,0,0,30,1,613,3.6488,0.123
172,1,1,31,2,559,3.3274,0.111
173,0,0,31,1,596,3.5476,0.110
174,0,0,31,1,548,3.2619,0.098
175,0,0,31,1,606,3.6071,0.123
176,0,0,31,1,571,3.3988,0.127
177,0,0,31,1,605,3.6012,0.112
178,0,0,31,1,576,3.4286,0.109
179,0,0,31,1,585,3.4821,0.112
180,1,1,32,2,556,3.3095,0.215
181,0,0,32,1,558,3.3214,0.119
182,0,0,32,1,599,3.5655,0.116
183,0,0,32,1,569,3.3869,0.160
184,0,0,32,1,587,3.4940,0.113
185,0,0,32,1,597,3.5536,0.131
186,0,0,32,1,575,3.4226,0.113
187,0,0,32,1,587,3.4940,0.109
188,0,0,32,1,570,3.3929,0.108
189,0,0,32,1,583,3.4702,0.116
190,0,0,32,1,567,3.3750,0.118
191,1,1,33,2,629,3.7440,0.196
192,0,0,33,1,565,3.3631,0.100
193,0,0,33,1,578,3.4405,0.110
194,0,0,33,1,573,3.4107,0.121
195,0,0,33,1,564,3.3571,0.129
196,0,0,33,1,573,3.4107,0.121
197,0,0,33,1,583,3.4702,0.125
198,0,0,33,1,613,3.6488,0.121
199,0,0,33,1,609,3.6250,0.119
200,0,0,33,1,578,3.4405,0.109
201,0,0,33,1,567,3.3750,0.146
202,0,0,33,1,581,3.4583,0.107
203,0,0,33,1,604,3.5952,0.117
