Tmax,rep,run_t,train_ctr
51650,0,25.697464,216680
55263,1,23.373384,231957
57075,2,22.291782,240126
95270,3,37.363732,400390
2866,4,1.311038,11814
98446,5,43.900545,413683
17168,6,6.621928,72175
153,7,0.061382,644
68534,8,26.634650,287304
53420,9,21.134511,224496
83393,10,33.303349,350274
28948,11,11.652540,122066
30710,12,12.129120,128485
57724,13,22.541489,242863
89364,14,37.173745,375458
26633,15,11.722689,111281
72160,16,29.151527,302418
77893,17,31.204763,326976
19010,18,7.487414,79787
89209,19,34.147691,373431
55432,20,23.902715,232103
7586,21,3.554032,31798
35226,22,14.022105,147459
82569,23,32.864109,346416
18205,24,7.125799,76676
2569,25,2.010300,10733
78565,26,32.031142,330888
59031,27,24.085217,248858
96549,28,38.217766,405907
53435,29,22.864022,224436
23250,30,11.111535,97791
58134,31,27.495208,243933
8374,32,11.960369,35277
77476,33,44.323563,325621
60363,34,26.690440,253000
97792,35,39.124648,411390
72905,36,28.438976,306435
61168,37,26.305097,256830
27638,38,10.921780,115727
94630,39,39.752647,398474
68537,40,29.824083,287398
43301,41,17.923005,181288
51796,42,22.293697,217487
79187,43,36.865665,332922
4867,44,1.992160,20342
45661,45,18.239671,191490
13804,46,5.438340,57898
82672,47,33.510307,346885
18713,48,7.289321,78070
14641,49,5.888388,61659
99432,50,41.805698,416954
60271,51,26.180301,253088
52076,52,23.354957,219696
59136,53,24.555048,248085
57887,54,35.648959,242890
44180,55,24.035792,185350
73487,56,46.063830,309142
49212,57,29.107331,206262
54205,58,28.109382,227801
73157,59,30.591916,307962
91318,60,40.416073,383624
82640,61,37.839966,346640
80796,62,33.150043,340225
7120,63,2.826351,30096
40312,64,16.438857,169076
22480,65,11.922696,94561
35735,66,18.234048,149411
67977,67,29.073887,284716
95289,68,43.167685,400595
71266,69,29.285086,298859
34376,70,14.150275,144638
65387,71,26.448927,275056
86513,72,34.930946,363693
83950,73,36.209971,353221
83031,74,42.071970,348659
14053,75,5.643865,58885
53825,76,21.733636,225738
1539,77,0.642366,6401
92249,78,39.706872,386306
33569,79,14.043605,140462
9732,80,3.807596,40441
79730,81,36.301299,335118
10302,82,4.625934,43517
86256,83,36.338801,362707
70157,84,32.877247,295687
40384,85,17.314436,168817
89051,86,38.817631,374047
86419,87,37.424687,363603
15972,88,6.540451,67172
6574,89,3.053361,27694
27572,90,11.260976,116516
87528,91,35.515248,368372
67256,92,30.080528,282376
20994,93,9.110030,88450
16447,94,6.632417,69360
948,95,1.092045,3944
70143,96,30.890850,295248
44056,97,20.100279,185028
48774,98,19.650445,204751
61731,99,25.612280,258854
