seed,deadlock_found,new_constraints,total_constraints,iterations,trains_per_hr,cpu_time
1,1,11,11,12,5.2262,0.342
2,1,3,14,4,5.2917,0.113
3,1,1,15,2,4.9107,0.054
4,1,6,21,7,4.8155,0.210
5,0,0,21,1,4.8690,0.041
6,1,6,27,7,4.9940,0.258
7,0,0,27,1,4.9107,0.043
8,0,0,27,1,4.9048,0.043
9,0,0,27,1,5.0595,0.044
10,0,0,27,1,5.0833,0.046
11,0,0,27,1,5.0595,0.044
12,0,0,27,1,5.0952,0.045
13,0,0,27,1,4.8750,0.042
14,0,0,27,1,4.7798,0.041
15,0,0,27,1,5.0179,0.043
16,0,0,27,1,5.1190,0.045
17,1,1,28,2,5.0000,0.064
18,0,0,28,1,5.2976,0.047
19,0,0,28,1,4.8690,0.042
20,0,0,28,1,4.6131,0.038
21,0,0,28,1,4.8214,0.041
22,0,0,28,1,4.7321,0.040
23,0,0,28,1,4.9048,0.043
24,0,0,28,1,5.0595,0.044
25,0,0,28,1,5.2321,0.045
26,0,0,28,1,5.0238,0.043
27,0,0,28,1,4.8274,0.042
28,1,1,29,2,4.8929,0.065
29,0,0,29,1,4.6667,0.039
30,0,0,29,1,5.0833,0.044
31,0,0,29,1,5.1607,0.045
32,0,0,29,1,5.3690,0.046
33,0,0,29,1,4.8690,0.041
34,0,0,29,1,4.7738,0.040
35,0,0,29,1,5.0000,0.042
36,0,0,29,1,5.1310,0.045
37,0,0,29,1,4.9702,0.044
38,0,0,29,1,4.7440,0.041
39,0,0,29,1,4.9762,0.043
40,0,0,29,1,5.1071,0.045
41,0,0,29,1,4.9107,0.042
42,0,0,29,1,4.9464,0.043
43,0,0,29,1,4.9107,0.042
44,0,0,29,1,5.0357,0.044
45,0,0,29,1,5.0357,0.043
46,1,2,31,3,4.9524,0.119
47,0,0,31,1,4.8452,0.041
48,0,0,31,1,5.1250,0.045
49,0,0,31,1,5.2321,0.045
50,0,0,31,1,4.6964,0.040
51,0,0,31,1,5.1548,0.044
52,0,0,31,1,4.9167,0.042
53,0,0,31,1,5.3571,0.047
54,0,0,31,1,4.8750,0.041
55,0,0,31,1,4.8333,0.041
56,0,0,31,1,5.1667,0.045
57,0,0,31,1,4.7738,0.040
58,0,0,31,1,4.9226,0.041
59,0,0,31,1,4.9464,0.041
60,0,0,31,1,5.1012,0.043
61,0,0,31,1,5.0536,0.044
62,0,0,31,1,4.7321,0.041
63,0,0,31,1,4.8095,0.039
64,0,0,31,1,4.8571,0.041
65,0,0,31,1,5.1250,0.044
66,0,0,31,1,4.9762,0.043
67,0,0,31,1,5.1250,0.044
68,0,0,31,1,4.7857,0.041
69,0,0,31,1,5.1250,0.045
70,0,0,31,1,4.9405,0.043
71,0,0,31,1,4.9048,0.043
72,0,0,31,1,4.7381,0.040
73,0,0,31,1,4.8214,0.041
74,0,0,31,1,4.8036,0.040
75,0,0,31,1,4.8512,0.041
76,0,0,31,1,5.0833,0.043
77,0,0,31,1,4.8393,0.042
78,0,0,31,1,5.1012,0.044
79,0,0,31,1,4.7500,0.039
80,0,0,31,1,5.0000,0.043
81,0,0,31,1,4.9107,0.042
82,1,1,32,2,4.9524,0.057
83,0,0,32,1,5.3214,0.047
84,0,0,32,1,5.1845,0.045
85,0,0,32,1,5.0536,0.044
86,0,0,32,1,4.8512,0.040
87,0,0,32,1,4.7500,0.040
88,0,0,32,1,5.3095,0.046
89,0,0,32,1,4.8631,0.041
90,1,4,36,5,4.8988,0.083
91,0,0,36,1,5.0774,0.043
92,0,0,36,1,4.9702,0.043
93,0,0,36,1,5.2619,0.046
94,0,0,36,1,5.2083,0.045
95,0,0,36,1,4.8988,0.040
96,0,0,36,1,4.9702,0.043
97,0,0,36,1,4.9524,0.044
98,0,0,36,1,4.6905,0.040
99,0,0,36,1,5.0000,0.043
100,0,0,36,1,4.9405,0.045
101,0,0,36,1,4.7440,0.040
102,0,0,36,1,4.8036,0.040
103,0,0,36,1,4.9940,0.043
104,1,3,39,4,5.4583,0.099
105,0,0,39,1,4.8631,0.041
106,0,0,39,1,4.8036,0.042
107,0,0,39,1,4.8274,0.042
108,0,0,39,1,5.0655,0.044
109,0,0,39,1,5.3155,0.045
110,0,0,39,1,4.9881,0.042
111,0,0,39,1,5.0952,0.045
112,0,0,39,1,5.0417,0.043
113,1,4,43,5,5.1190,0.205
114,0,0,43,1,5.1071,0.044
115,0,0,43,1,5.1548,0.045
116,0,0,43,1,5.0833,0.043
117,0,0,43,1,5.2619,0.046
118,0,0,43,1,4.9881,0.043
119,0,0,43,1,5.0714,0.045
120,0,0,43,1,4.7262,0.040
121,0,0,43,1,5.1190,0.044
122,0,0,43,1,4.8512,0.041
123,0,0,43,1,4.8988,0.042
124,0,0,43,1,4.9048,0.041
125,0,0,43,1,4.9107,0.042
126,0,0,43,1,4.8750,0.042
127,0,0,43,1,5.4345,0.048
128,0,0,43,1,5.1845,0.045
129,0,0,43,1,5.2202,0.047
130,0,0,43,1,4.8155,0.043
131,0,0,43,1,5.0060,0.044
132,0,0,43,1,4.7976,0.042
133,0,0,43,1,4.9940,0.044
134,0,0,43,1,5.0000,0.044
135,0,0,43,1,4.9048,0.042
136,0,0,43,1,5.2381,0.045
137,0,0,43,1,4.9583,0.043
138,0,0,43,1,5.1250,0.045
139,0,0,43,1,4.9345,0.043
140,0,0,43,1,4.8988,0.042
141,0,0,43,1,5.0000,0.042
142,0,0,43,1,4.8214,0.041
143,0,0,43,1,5.1964,0.045
144,0,0,43,1,5.1429,0.046
145,0,0,43,1,5.4524,0.049
146,0,0,43,1,5.0298,0.045
147,0,0,43,1,5.1131,0.043
148,0,0,43,1,4.7619,0.042
149,0,0,43,1,4.9167,0.042
150,0,0,43,1,4.9524,0.043
151,0,0,43,1,4.6905,0.040
152,1,4,47,5,5.0952,0.148
153,0,0,47,1,5.0833,0.044
154,0,0,47,1,4.9762,0.043
155,0,0,47,1,5.1012,0.046
156,0,0,47,1,5.2738,0.046
157,0,0,47,1,5.0952,0.044
158,0,0,47,1,4.8452,0.043
159,0,0,47,1,5.0298,0.043
160,0,0,47,1,5.1429,0.046
161,0,0,47,1,5.1845,0.045
162,0,0,47,1,5.1310,0.047
163,0,0,47,1,4.8810,0.043
164,0,0,47,1,5.1131,0.046
165,0,0,47,1,4.9048,0.044
166,0,0,47,1,5.0476,0.044
167,0,0,47,1,4.9821,0.043
168,0,0,47,1,4.8810,0.042
169,0,0,47,1,4.8214,0.042
170,0,0,47,1,4.8393,0.041
171,0,0,47,1,5.1964,0.046
172,0,0,47,1,5.1190,0.044
173,0,0,47,1,4.8988,0.043
174,0,0,47,1,4.7083,0.040
175,0,0,47,1,5.0655,0.044
176,0,0,47,1,4.8393,0.043
177,0,0,47,1,5.0893,0.044
178,0,0,47,1,4.8810,0.043
179,0,0,47,1,5.0952,0.045
180,0,0,47,1,4.8095,0.041
181,0,0,47,1,4.9167,0.043
182,0,0,47,1,4.9345,0.042
183,0,0,47,1,4.7143,0.041
184,0,0,47,1,4.8690,0.042
185,0,0,47,1,5.0298,0.043
186,0,0,47,1,4.7381,0.042
187,0,0,47,1,4.9940,0.043
188,0,0,47,1,4.7738,0.042
189,0,0,47,1,5.0357,0.045
190,0,0,47,1,4.8750,0.043
191,0,0,47,1,5.1012,0.045
192,0,0,47,1,4.7857,0.040
193,0,0,47,1,5.0714,0.044
194,0,0,47,1,4.9940,0.043
195,0,0,47,1,4.7798,0.042
196,0,0,47,1,4.8929,0.042
197,0,0,47,1,5.0119,0.044
198,0,0,47,1,5.1488,0.047
199,0,0,47,1,5.0179,0.044
200,0,0,47,1,5.0476,0.044
201,0,0,47,1,4.8274,0.042
202,0,0,47,1,5.0714,0.045
203,0,0,47,1,4.9405,0.043
204,0,0,47,1,5.1429,0.045
205,0,0,47,1,5.1488,0.043
206,0,0,47,1,5.0179,0.043
207,0,0,47,1,4.8036,0.041
208,0,0,47,1,5.3036,0.046
209,0,0,47,1,5.1131,0.045
210,0,0,47,1,5.0238,0.043
211,0,0,47,1,5.0714,0.045
212,0,0,47,1,5.0952,0.044
213,0,0,47,1,5.0833,0.044
214,0,0,47,1,5.0476,0.044
215,0,0,47,1,4.6905,0.040
216,0,0,47,1,4.7500,0.040
217,0,0,47,1,4.9881,0.045
218,0,0,47,1,5.0595,0.047
219,0,0,47,1,4.8810,0.042
220,0,0,47,1,5.0952,0.044
221,0,0,47,1,5.1250,0.045
222,0,0,47,1,5.0119,0.044
223,0,0,47,1,4.6488,0.040
224,0,0,47,1,5.0060,0.042
225,0,0,47,1,4.5417,0.038
226,0,0,47,1,4.7976,0.042
227,0,0,47,1,5.2321,0.046
228,1,3,50,4,5.1845,0.063
229,0,0,50,1,4.7143,0.041
230,0,0,50,1,5.0952,0.044
231,0,0,50,1,4.6964,0.040
232,0,0,50,1,4.6845,0.041
233,0,0,50,1,5.0357,0.043
234,0,0,50,1,5.0952,0.045
235,0,0,50,1,5.1131,0.044
236,0,0,50,1,5.0298,0.042
237,0,0,50,1,5.1429,0.044
238,0,0,50,1,5.1310,0.044
239,0,0,50,1,5.0655,0.044
240,0,0,50,1,5.1488,0.044
241,0,0,50,1,4.8333,0.042
242,0,0,50,1,4.8929,0.042
243,0,0,50,1,4.6667,0.040
244,0,0,50,1,5.1131,0.044
245,0,0,50,1,4.8631,0.041
246,0,0,50,1,4.8690,0.042
247,0,0,50,1,4.9583,0.043
248,0,0,50,1,5.2679,0.046
249,0,0,50,1,5.2083,0.045
250,0,0,50,1,5.4286,0.047
251,0,0,50,1,5.0238,0.045
252,0,0,50,1,4.7083,0.040
253,0,0,50,1,4.7083,0.041
254,0,0,50,1,5.5000,0.049
255,0,0,50,1,4.9048,0.041
256,0,0,50,1,4.9881,0.043
257,0,0,50,1,5.3036,0.047
258,0,0,50,1,5.2262,0.047
259,0,0,50,1,5.0000,0.042
260,0,0,50,1,5.0774,0.045
261,0,0,50,1,5.0357,0.043
262,0,0,50,1,4.8155,0.042
263,0,0,50,1,4.8036,0.042
264,0,0,50,1,4.8869,0.042
265,0,0,50,1,5.0476,0.043
266,0,0,50,1,4.9881,0.043
267,0,0,50,1,5.0060,0.045
268,0,0,50,1,5.0833,0.043
269,0,0,50,1,5.0774,0.045
270,0,0,50,1,5.2083,0.046
271,0,0,50,1,5.0952,0.044
272,0,0,50,1,5.3810,0.049
273,0,0,50,1,5.3214,0.047
274,0,0,50,1,5.1250,0.046
275,0,0,50,1,5.0000,0.041
276,0,0,50,1,4.8690,0.043
277,0,0,50,1,5.0000,0.044
