seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,32,32,29,1047,6.2321,5.137
2,1,178,210,175,1045,6.2202,64.160
3,1,2,212,3,995,5.9226,0.900
4,1,4,216,5,981,5.8393,0.883
5,1,15,231,16,982,5.8452,2.521
6,1,56,287,57,996,5.9286,13.936
7,1,2,289,3,984,5.8571,0.628
8,0,0,289,1,1001,5.9583,0.313
9,1,199,488,199,1022,6.0833,34.629
10,0,0,488,1,1046,6.2262,0.410
11,0,0,488,1,1022,6.0833,0.351
12,0,0,488,1,1021,6.0774,0.357
13,1,1,489,2,973,5.7917,0.526
14,1,54,543,55,974,5.7976,8.061
15,0,0,543,1,1006,5.9881,0.388
16,1,22,565,23,1011,6.0179,6.698
17,1,92,657,90,1011,6.0179,23.338
18,1,391,1048,391,1030,6.1310,98.645
19,0,0,1048,1,989,5.8869,0.365
20,0,0,1048,1,941,5.6012,0.335
21,1,1,1049,2,971,5.7798,0.536
22,1,31,1080,32,959,5.7083,5.300
23,1,7,1087,8,988,5.8810,1.793
24,0,0,1087,1,996,5.9286,0.367
25,1,62,1149,63,1036,6.1667,21.912
26,0,0,1149,1,990,5.8929,0.371
27,1,2,1151,3,982,5.8452,0.996
28,0,0,1151,1,988,5.8810,0.354
29,0,0,1151,1,958,5.7024,0.326
30,0,0,1151,1,1034,6.1548,0.404
31,1,6,1157,7,1044,6.2143,2.503
32,1,2149,3306,2000,427,6.1000,556.132
33,0,0,3306,1,977,5.8155,0.528
34,0,0,3306,1,962,5.7262,0.484
35,0,0,3306,1,1016,6.0476,0.663
36,1,1,3307,2,1021,6.0774,0.746
37,0,0,3307,1,1014,6.0357,0.598
38,1,1,3308,2,964,5.7381,0.729
39,0,0,3308,1,1015,6.0417,0.637
40,0,0,3308,1,1018,6.0595,0.598
41,0,0,3308,1,998,5.9405,0.591
42,0,0,3308,1,997,5.9345,0.553
43,1,2004,5312,2000,493,5.5393,794.505
44,0,0,5312,1,1021,6.0774,0.749
45,0,0,5312,1,1019,6.0655,0.786
46,1,55,5367,47,1010,6.0119,7.040
47,0,0,5367,1,981,5.8393,0.684
48,0,0,5367,1,1034,6.1548,0.784
49,0,0,5367,1,1027,6.1131,0.791
50,1,15,5382,16,959,5.7083,8.914
51,0,0,5382,1,1020,6.0714,0.732
52,0,0,5382,1,1004,5.9762,0.764
53,1,2001,7383,2000,340,5.9649,891.964
54,0,0,7383,1,975,5.8036,0.850
55,0,0,7383,1,964,5.7381,0.838
56,0,0,7383,1,1013,6.0298,1.010
57,1,712,8095,706,975,5.8036,683.133
58,0,0,8095,1,988,5.8810,0.972
59,0,0,8095,1,995,5.9226,1.036
60,0,0,8095,1,1005,5.9821,1.057
61,0,0,8095,1,1009,6.0060,0.989
62,0,0,8095,1,967,5.7560,0.964
63,0,0,8095,1,975,5.8036,0.920
64,0,0,8095,1,960,5.7143,0.904
65,0,0,8095,1,1015,6.0417,1.056
66,1,5,8100,6,1013,6.0298,2.533
67,0,0,8100,1,1025,6.1012,1.032
68,1,325,8425,326,978,5.8214,321.744
69,0,0,8425,1,1031,6.1369,1.158
70,0,0,8425,1,963,5.7321,0.983
71,1,20,8445,21,998,5.9405,2.737
72,1,532,8977,532,962,5.7262,553.306
73,0,0,8977,1,960,5.7143,1.031
74,0,0,8977,1,962,5.7262,0.974
75,0,0,8977,1,995,5.9226,1.107
76,0,0,8977,1,1009,6.0060,1.096
77,1,2010,10987,2000,958,5.7711,2832.015
78,0,0,10987,1,1039,6.1845,1.479
79,0,0,10987,1,967,5.7560,1.240
80,0,0,10987,1,994,5.9167,1.403
81,0,0,10987,1,979,5.8274,1.257
82,0,0,10987,1,1006,5.9881,1.445
83,1,4,10991,5,1053,6.2679,1.816
84,1,1,10992,2,1033,6.1488,1.660
85,0,0,10992,1,998,5.9405,1.393
86,1,67,11059,68,968,5.7619,41.560
