seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,1,1,2,441,2.6250,0.0575,0.025
2,0,0,1,1,422,2.5119,0.0426,0.018
3,1,1,2,2,397,2.3631,0.0444,0.027
4,0,0,2,1,412,2.4524,0.0573,0.019
5,1,1,3,2,409,2.4345,0.0426,0.033
6,0,0,3,1,440,2.6190,0.0385,0.019
7,0,0,3,1,400,2.3810,0.0403,0.017
8,0,0,3,1,396,2.3571,0.0350,0.018
9,0,0,3,1,402,2.3929,0.0415,0.018
10,0,0,3,1,461,2.7440,0.0462,0.021
11,0,0,3,1,412,2.4524,0.0416,0.018
12,0,0,3,1,456,2.7143,0.0462,0.020
13,0,0,3,1,396,2.3571,0.0496,0.017
14,0,0,3,1,407,2.4226,0.0378,0.017
15,0,0,3,1,399,2.3750,0.0441,0.017
16,1,1,4,2,433,2.5774,0.0449,0.025
17,0,0,4,1,398,2.3690,0.0416,0.018
18,0,0,4,1,462,2.7500,0.0499,0.020
19,0,0,4,1,415,2.4702,0.0384,0.018
20,0,0,4,1,391,2.3274,0.0422,0.017
21,0,0,4,1,416,2.4762,0.0450,0.018
22,0,0,4,1,397,2.3631,0.0366,0.017
23,0,0,4,1,416,2.4762,0.0402,0.018
24,1,1,5,2,399,2.3750,0.0428,0.029
25,0,0,5,1,426,2.5357,0.0449,0.019
26,0,0,5,1,430,2.5595,0.0425,0.019
27,0,0,5,1,390,2.3214,0.0384,0.017
28,0,0,5,1,442,2.6310,0.0381,0.019
29,0,0,5,1,376,2.2381,0.0343,0.016
30,0,0,5,1,451,2.6845,0.0587,0.020
31,0,0,5,1,441,2.6250,0.0467,0.020
32,0,0,5,1,448,2.6667,0.0514,0.020
33,0,0,5,1,388,2.3095,0.0347,0.017
34,0,0,5,1,432,2.5714,0.0521,0.018
35,0,0,5,1,421,2.5060,0.0493,0.018
36,0,0,5,1,420,2.5000,0.0461,0.018
37,0,0,5,1,431,2.5655,0.0478,0.019
