N,rate,prune,final_constraints,total_seeds,training_seeds,status,cpu,elapsed
5,2.5,1,50,328,14,converged,27.5,43.3
5,2.5,0,50,328,14,converged,27.5,43.4
10,2.5,1,393,819,39,converged,120.8,183.5
10,2.5,0,393,819,39,converged,122.5,184.7
10,3.0,1,1966,1123,60,converged,450.5,718.8
10,3.0,0,2053,1123,60,converged,493.9,766.6
15,2.5,1,2593,510,47,converged,547.6,699.0
15,2.5,0,2593,510,47,converged,567.6,720.4
