seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,7,7,8,877,5.2202,0.4022,0.465
2,1,6,13,7,888,5.2857,0.3725,0.398
3,1,2,15,3,822,4.8929,0.2150,0.147
4,1,3,18,4,808,4.8095,0.2266,0.244
5,0,0,18,1,814,4.8452,0.3075,0.083
6,1,1,19,2,838,4.9881,0.2568,0.119
7,0,0,19,1,826,4.9167,0.3102,0.084
8,1,2,21,3,826,4.9167,0.2256,0.173
9,0,0,21,1,849,5.0536,0.2855,0.088
10,1,4,25,5,855,5.0893,0.2788,0.168
11,0,0,25,1,854,5.0833,0.2951,0.096
12,1,1,26,2,860,5.1190,0.2595,0.112
13,1,3,29,4,822,4.8929,0.2572,0.114
14,0,0,29,1,804,4.7857,0.2492,0.088
15,1,2,31,3,844,5.0238,0.3343,0.208
16,1,1,32,2,860,5.1190,0.3070,0.143
17,0,0,32,1,839,4.9940,0.3200,0.097
18,0,0,32,1,881,5.2440,0.4183,0.103
19,1,1,33,2,819,4.8750,0.2317,0.182
20,0,0,33,1,777,4.6250,0.2029,0.084
21,0,0,33,1,810,4.8214,0.2513,0.086
22,1,5,38,6,797,4.7440,0.2445,0.312
23,1,6,44,7,819,4.8750,0.3574,0.515
24,0,0,44,1,851,5.0655,0.3222,0.087
25,0,0,44,1,880,5.2381,0.2778,0.089
26,0,0,44,1,840,5.0000,0.2792,0.084
27,0,0,44,1,812,4.8333,0.2655,0.085
28,0,0,44,1,821,4.8869,0.2346,0.092
29,0,0,44,1,786,4.6786,0.2343,0.083
30,1,2,46,3,855,5.0893,0.3232,0.107
31,0,0,46,1,866,5.1548,0.2757,0.097
32,1,2,48,3,905,5.3869,0.3343,0.217
33,0,0,48,1,817,4.8631,0.2369,0.087
34,0,0,48,1,798,4.7500,0.2240,0.084
35,1,1,49,2,839,4.9940,0.2533,0.122
36,0,0,49,1,861,5.1250,0.3312,0.098
37,0,0,49,1,838,4.9881,0.3019,0.095
38,0,0,49,1,796,4.7381,0.2149,0.084
39,0,0,49,1,839,4.9940,0.2970,0.095
40,0,0,49,1,858,5.1071,0.3134,0.094
41,0,0,49,1,825,4.9107,0.2786,0.093
42,0,0,49,1,830,4.9405,0.2568,0.090
43,0,0,49,1,821,4.8869,0.2779,0.082
44,0,0,49,1,849,5.0536,0.3305,0.093
45,0,0,49,1,842,5.0119,0.3290,0.087
46,0,0,49,1,833,4.9583,0.3303,0.087
47,0,0,49,1,815,4.8512,0.2970,0.083
48,0,0,49,1,860,5.1190,0.3179,0.090
49,0,0,49,1,879,5.2321,0.3067,0.091
50,0,0,49,1,786,4.6786,0.2542,0.081
51,0,0,49,1,863,5.1369,0.3412,0.089
52,0,0,49,1,828,4.9286,0.2532,0.086
53,0,0,49,1,897,5.3393,0.3709,0.096
54,0,0,49,1,816,4.8571,0.2308,0.083
55,0,0,49,1,812,4.8333,0.2451,0.082
56,1,1,50,2,870,5.1786,0.3018,0.108
57,1,1,51,2,803,4.7798,0.2419,0.093
58,1,2,53,3,832,4.9524,0.3345,0.186
59,0,0,53,1,834,4.9643,0.2986,0.087
60,1,1,54,2,860,5.1190,0.3074,0.126
61,0,0,54,1,852,5.0714,0.3440,0.087
62,0,0,54,1,797,4.7440,0.2845,0.082
63,0,0,54,1,806,4.7976,0.2133,0.077
64,0,0,54,1,818,4.8690,0.2793,0.073
65,1,2,56,3,860,5.1190,0.3761,0.180
66,0,0,56,1,835,4.9702,0.2562,0.079
67,1,1,57,2,857,5.1012,0.2460,0.142
68,0,0,57,1,808,4.8095,0.2597,0.077
69,0,0,57,1,861,5.1250,0.3112,0.087
70,1,2,59,3,831,4.9464,0.2908,0.113
71,0,0,59,1,826,4.9167,0.2474,0.088
72,0,0,59,1,798,4.7500,0.2232,0.088
73,0,0,59,1,809,4.8155,0.2497,0.087
74,0,0,59,1,808,4.8095,0.2724,0.086
75,0,0,59,1,817,4.8631,0.2316,0.089
76,0,0,59,1,855,5.0893,0.3352,0.093
77,0,0,59,1,811,4.8274,0.2603,0.087
78,0,0,59,1,859,5.1131,0.3470,0.094
79,0,0,59,1,795,4.7321,0.2083,0.083
80,0,0,59,1,839,4.9940,0.3183,0.092
81,0,0,59,1,825,4.9107,0.2948,0.089
82,1,1,60,2,834,4.9643,0.3388,0.117
83,0,0,60,1,893,5.3155,0.3185,0.099
84,0,0,60,1,870,5.1786,0.3334,0.097
85,0,0,60,1,853,5.0774,0.3511,0.095
86,0,0,60,1,811,4.8274,0.2623,0.084
87,0,0,60,1,802,4.7738,0.2176,0.085
88,0,0,60,1,891,5.3036,0.4009,0.099
89,0,0,60,1,819,4.8750,0.2788,0.088
90,0,0,60,1,827,4.9226,0.2985,0.091
91,0,0,60,1,853,5.0774,0.3109,0.090
92,0,0,60,1,836,4.9762,0.3122,0.089
93,0,0,60,1,884,5.2619,0.3684,0.096
94,0,0,60,1,871,5.1845,0.3378,0.094
95,0,0,60,1,823,4.8988,0.2699,0.084
96,0,0,60,1,833,4.9583,0.2584,0.089
97,0,0,60,1,835,4.9702,0.2745,0.098
98,0,0,60,1,789,4.6964,0.2313,0.087
99,0,0,60,1,841,5.0060,0.2739,0.096
100,0,0,60,1,829,4.9345,0.2711,0.097
101,0,0,60,1,799,4.7560,0.2605,0.088
102,0,0,60,1,807,4.8036,0.1976,0.090
103,0,0,60,1,839,4.9940,0.2688,0.090
104,1,1,61,2,915,5.4464,0.6230,0.134
105,0,0,61,1,816,4.8571,0.2401,0.089
106,0,0,61,1,806,4.7976,0.2492,0.085
107,0,0,61,1,814,4.8452,0.2301,0.078
108,0,0,61,1,845,5.0298,0.2851,0.099
109,0,0,61,1,894,5.3214,0.3835,0.103
110,0,0,61,1,835,4.9702,0.2662,0.094
111,0,0,61,1,853,5.0774,0.2771,0.098
112,0,0,61,1,848,5.0476,0.2613,0.098
113,0,0,61,1,861,5.1250,0.3735,0.104
114,0,0,61,1,860,5.1190,0.2834,0.099
115,0,0,61,1,867,5.1607,0.3615,0.104
116,0,0,61,1,857,5.1012,0.3009,0.098
117,0,0,61,1,883,5.2560,0.2901,0.100
118,0,0,61,1,837,4.9821,0.2509,0.095
119,0,0,61,1,855,5.0893,0.2768,0.100
120,0,0,61,1,797,4.7440,0.2519,0.090
121,0,0,61,1,863,5.1369,0.3876,0.100
122,0,0,61,1,815,4.8512,0.2567,0.091
123,0,0,61,1,822,4.8929,0.2492,0.095
124,0,0,61,1,823,4.8988,0.2690,0.092
125,0,0,61,1,825,4.9107,0.2761,0.095
126,0,0,61,1,822,4.8929,0.2314,0.095
127,0,0,61,1,913,5.4345,0.3702,0.110
128,0,0,61,1,868,5.1667,0.2897,0.100
129,0,0,61,1,876,5.2143,0.3522,0.105
130,0,0,61,1,812,4.8333,0.2305,0.093
131,0,0,61,1,843,5.0179,0.2482,0.099
132,0,0,61,1,808,4.8095,0.2406,0.095
133,0,0,61,1,838,4.9881,0.2404,0.098
134,0,0,61,1,842,5.0119,0.2448,0.099
135,0,0,61,1,826,4.9167,0.2259,0.094
136,0,0,61,1,879,5.2321,0.3641,0.102
137,0,0,61,1,834,4.9643,0.2405,0.096
138,0,0,61,1,860,5.1190,0.3805,0.096
139,0,0,61,1,826,4.9167,0.2859,0.093
140,0,0,61,1,824,4.9048,0.2450,0.091
141,0,0,61,1,837,4.9821,0.2550,0.093
142,0,0,61,1,811,4.8274,0.2321,0.089
143,0,0,61,1,874,5.2024,0.3267,0.101
144,0,0,61,1,867,5.1607,0.3218,0.103
145,0,0,61,1,916,5.4524,0.3601,0.110
146,0,0,61,1,844,5.0238,0.3282,0.101
147,0,0,61,1,856,5.0952,0.2964,0.101
148,0,0,61,1,797,4.7440,0.2913,0.098
149,0,0,61,1,825,4.9107,0.2991,0.094
