seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2000,2000,2000,156,0.9286,61.854
2,1,1225,3225,1226,707,4.2083,19.691
3,0,0,3225,1,655,3.8988,0.091
4,0,0,3225,1,654,3.8929,0.095
5,1,12,3237,13,643,3.8274,0.200
6,0,0,3237,1,672,4.0000,0.127
7,0,0,3237,1,654,3.8929,0.096
8,0,0,3237,1,651,3.8750,0.093
9,0,0,3237,1,684,4.0714,0.100
10,0,0,3237,1,702,4.1786,0.107
11,0,0,3237,1,671,3.9940,0.098
12,0,0,3237,1,702,4.1786,0.104
13,0,0,3237,1,658,3.9167,0.100
14,0,0,3237,1,648,3.8571,0.093
15,0,0,3237,1,668,3.9762,0.105
16,0,0,3237,1,708,4.2143,0.109
17,0,0,3237,1,654,3.8929,0.095
18,0,0,3237,1,701,4.1726,0.106
19,0,0,3237,1,661,3.9345,0.093
20,0,0,3237,1,595,3.5417,0.084
21,0,0,3237,1,661,3.9345,0.095
22,0,0,3237,1,659,3.9226,0.095
23,0,0,3237,1,643,3.8274,0.092
24,0,0,3237,1,685,4.0774,0.102
25,0,0,3237,1,695,4.1369,0.104
26,0,0,3237,1,695,4.1369,0.108
27,0,0,3237,1,631,3.7560,0.093
28,0,0,3237,1,683,4.0655,0.098
29,0,0,3237,1,624,3.7143,0.089
30,0,0,3237,1,685,4.0774,0.102
31,0,0,3237,1,698,4.1548,0.103
32,0,0,3237,1,738,4.3929,0.107
33,0,0,3237,1,640,3.8095,0.089
34,0,0,3237,1,653,3.8869,0.092
35,0,0,3237,1,664,3.9524,0.123
36,0,0,3237,1,681,4.0536,0.095
37,0,0,3237,1,675,4.0179,0.103
38,0,0,3237,1,630,3.7500,0.091
39,0,0,3237,1,675,4.0179,0.099
40,0,0,3237,1,677,4.0298,0.097
41,0,0,3237,1,670,3.9881,0.099
42,0,0,3237,1,667,3.9702,0.097
43,0,0,3237,1,645,3.8393,0.089
44,0,0,3237,1,668,3.9762,0.097
45,0,0,3237,1,669,3.9821,0.119
46,0,0,3237,1,673,4.0060,0.097
47,0,0,3237,1,653,3.8869,0.090
48,0,0,3237,1,674,4.0119,0.099
49,0,0,3237,1,698,4.1548,0.097
50,0,0,3237,1,628,3.7381,0.089
51,0,0,3237,1,659,3.9226,0.095
52,0,0,3237,1,660,3.9286,0.094
53,0,0,3237,1,718,4.2738,0.103
54,0,0,3237,1,637,3.7917,0.090
55,0,0,3237,1,658,3.9167,0.092
56,0,0,3237,1,671,3.9940,0.095
57,0,0,3237,1,662,3.9405,0.093
58,0,0,3237,1,674,4.0119,0.096
59,0,0,3237,1,654,3.8929,0.091
60,0,0,3237,1,687,4.0893,0.099
61,0,0,3237,1,665,3.9583,0.093
62,0,0,3237,1,639,3.8036,0.122
63,0,0,3237,1,640,3.8095,0.086
64,0,0,3237,1,661,3.9345,0.094
65,0,0,3237,1,672,4.0000,0.095
66,0,0,3237,1,664,3.9524,0.102
67,0,0,3237,1,682,4.0595,0.107
68,0,0,3237,1,638,3.7976,0.090
69,0,0,3237,1,686,4.0833,0.102
70,0,0,3237,1,659,3.9226,0.103
71,0,0,3237,1,654,3.8929,0.098
72,0,0,3237,1,650,3.8690,0.164
73,0,0,3237,1,645,3.8393,0.091
74,0,0,3237,1,644,3.8333,0.089
75,0,0,3237,1,651,3.8750,0.093
76,0,0,3237,1,665,3.9583,0.097
77,0,0,3237,1,649,3.8631,0.091
78,0,0,3237,1,701,4.1726,0.100
79,0,0,3237,1,629,3.7440,0.085
80,0,0,3237,1,688,4.0952,0.096
81,0,0,3237,1,673,4.0060,0.093
82,0,0,3237,1,676,4.0238,0.095
83,0,0,3237,1,715,4.2560,0.103
84,0,0,3237,1,691,4.1131,0.100
85,0,0,3237,1,675,4.0179,0.095
86,0,0,3237,1,666,3.9643,0.089
87,0,0,3237,1,657,3.9107,0.094
88,0,0,3237,1,708,4.2143,0.102
89,0,0,3237,1,661,3.9345,0.090
90,0,0,3237,1,657,3.9107,0.092
91,0,0,3237,1,685,4.0774,0.095
92,0,0,3237,1,670,3.9881,0.096
93,0,0,3237,1,703,4.1845,0.098
94,0,0,3237,1,667,3.9702,0.091
95,0,0,3237,1,664,3.9524,0.089
96,0,0,3237,1,652,3.8810,0.092
97,0,0,3237,1,661,3.9345,0.096
98,0,0,3237,1,638,3.7976,0.086
99,0,0,3237,1,663,3.9464,0.095
100,0,0,3237,1,671,3.9940,0.097
101,0,0,3237,1,636,3.7857,0.088
102,0,0,3237,1,653,3.8869,0.092
103,0,0,3237,1,696,4.1429,0.099
104,0,0,3237,1,731,4.3512,0.114
105,0,0,3237,1,657,3.9107,0.098
