rep,run_t,avg_speed,train_ctr
0,0.412442,42.996434,50
1,0.008669,43.389570,40
2,0.007732,44.664433,37
3,0.007676,42.934887,54
4,0.007747,42.078254,48
5,0.009542,39.974333,70
6,0.007599,42.505474,52
7,0.010015,36.415026,72
8,0.008917,42.899531,62
9,0.007906,41.878839,50
10,0.008125,43.052113,51
11,0.007763,43.648142,52
12,0.007737,39.353869,45
13,0.006297,44.294701,36
14,0.007590,43.118282,52
15,0.009337,41.463052,63
16,0.007187,43.374361,49
17,0.008925,39.421975,61
18,0.008571,42.060383,53
19,0.008918,41.359630,61
20,0.009108,40.494801,61
21,0.009271,41.127795,65
22,0.007228,41.284537,41
23,0.007685,42.388890,53
24,0.007642,41.186256,54
25,0.007414,43.855471,50
26,0.007645,44.188502,50
27,0.008241,39.669242,60
28,0.008221,42.565678,50
29,0.008452,42.964008,54
30,0.008581,43.432990,55
31,0.008209,42.379138,54
32,0.008662,42.381711,57
33,0.008727,40.563540,60
34,0.008344,41.660964,52
35,0.007199,44.389108,45
36,0.007612,43.033263,40
37,0.008376,42.432014,46
38,0.008082,41.449307,53
39,0.008019,41.948231,53
40,0.009128,41.006781,64
41,0.008710,39.433842,60
42,0.009380,41.678567,61
43,0.008919,42.380636,56
44,0.008587,42.341616,60
45,0.007664,42.770308,47
46,0.008313,41.930567,49
47,0.009138,41.961797,61
48,0.008988,41.461415,63
49,0.009201,41.000902,62
50,0.008355,41.836808,52
51,0.007092,44.485180,40
52,0.007915,42.910088,45
53,0.008698,41.508568,56
54,0.008416,38.130621,58
55,0.006623,44.151878,41
56,0.007486,42.630971,48
57,0.008552,41.404869,60
58,0.009844,39.961606,68
59,0.008182,41.651893,48
60,0.007807,43.391895,45
61,0.007468,41.591378,45
62,0.009001,42.811546,56
63,0.007766,43.709107,45
64,0.008681,41.438199,61
65,0.009311,39.093907,62
66,0.008007,42.187790,54
67,0.006580,43.632428,39
68,0.007349,43.621502,40
69,0.007247,41.914430,45
70,0.007906,42.181344,53
71,0.008300,42.126755,58
72,0.007723,42.506352,51
73,0.008315,41.231226,52
74,0.008595,41.792902,55
75,0.009855,40.153018,68
76,0.007269,42.744741,49
77,0.008691,41.752850,62
78,0.007874,42.438455,42
79,0.008596,40.215264,54
80,0.008309,39.975266,52
81,0.007073,44.342100,44
82,0.008479,42.414954,50
83,0.008948,42.257253,57
84,0.008888,40.588237,60
85,0.008444,41.188531,58
86,0.009153,40.053875,60
87,0.009298,37.348206,70
88,0.006575,43.470624,37
89,0.007661,40.742610,52
90,0.008904,40.171750,59
91,0.008266,41.468189,54
92,0.008155,43.900206,41
93,0.007372,43.041072,43
94,0.008327,40.686557,54
95,0.008837,39.300806,59
96,0.007582,43.055663,48
97,0.007438,44.463412,46
98,0.007925,41.112398,49
99,0.008519,42.544303,54
100,0.008746,40.380281,59
101,0.008873,41.731305,52
102,0.008805,42.551169,53
103,0.008232,42.271532,56
104,0.009341,40.319017,68
105,0.007457,44.081850,52
106,0.008382,40.138929,60
107,0.008841,40.215835,57
108,0.007743,43.866858,45
109,0.007598,42.262002,52
110,0.008724,41.514927,63
111,0.006935,42.401973,38
112,0.007714,43.068212,51
113,0.007482,44.170594,44
114,0.008391,41.171352,51
115,0.009521,41.319406,61
116,0.007994,43.621177,49
117,0.007233,44.439346,45
118,0.007640,42.560337,48
119,0.008756,40.454461,60
120,0.007768,43.410596,47
121,0.007644,43.340529,48
122,0.008560,41.106519,52
123,0.008883,39.452995,58
124,0.008548,41.875219,52
125,0.008971,41.009986,62
126,0.007173,44.152764,43
127,0.008476,41.831452,54
128,0.008603,41.053012,56
129,0.009037,41.326022,56
130,0.008874,41.025372,56
