rep,run_t,avg_speed,train_ctr
0,0.041771,18.338299,68
1,0.016445,24.446045,88
2,0.013574,15.962332,70
3,0.013765,16.241059,68
4,0.013694,18.262475,75
5,0.013153,16.737456,66
6,0.013467,18.130224,66
7,0.013906,17.801686,73
8,0.013987,20.922745,75
9,0.014375,21.255738,78
10,0.014946,19.020537,79
11,0.014164,26.359668,80
12,0.014552,18.618494,67
13,0.013239,19.259117,67
14,0.013634,16.498342,66
15,0.013929,16.188134,67
16,0.014990,16.017290,77
17,0.014930,17.553514,76
18,0.015000,22.934713,82
19,0.013811,17.922069,71
20,0.013551,17.311925,66
21,0.014932,18.821551,78
22,0.014023,16.040630,73
23,0.014639,20.159077,82
24,0.014303,18.497481,67
25,0.013241,17.184363,67
26,0.013267,15.388307,67
27,0.013460,17.617476,66
28,0.014196,17.348004,68
29,0.014247,18.315178,69
30,0.014285,16.182195,72
31,0.014830,18.735123,74
32,0.015176,22.265681,81
33,0.014068,16.464385,72
34,0.013797,15.474556,67
35,0.013593,17.778389,66
36,0.015158,17.511234,73
37,0.014211,18.146019,71
38,0.013693,15.420950,67
39,0.013880,17.115766,67
40,0.014789,17.279830,72
41,0.015406,16.934244,86
42,0.014636,22.146463,82
43,0.013609,16.379486,67
44,0.013493,15.135295,69
45,0.014668,15.871490,70
46,0.013893,16.682665,66
47,0.013228,15.423582,67
48,0.014120,19.026248,74
49,0.013379,16.080358,67
50,0.013446,15.831838,67
51,0.013978,17.225650,66
52,0.013959,16.308742,68
53,0.013733,15.421462,66
54,0.013640,19.022930,66
55,0.014833,19.558896,73
56,0.012899,15.923826,67
57,0.013918,16.714306,67
58,0.013930,20.167374,69
59,0.015214,20.649742,86
60,0.013767,19.497852,68
61,0.014348,20.779483,78
62,0.014193,15.586935,67
63,0.014904,21.345769,75
64,0.014391,20.565746,69
65,0.015213,19.342457,90
66,0.013923,16.523587,67
67,0.014053,17.933664,66
68,0.013273,17.319602,67
69,0.014912,20.337933,80
70,0.014908,20.286017,76
71,0.014537,18.295888,74
72,0.013150,15.438695,67
73,0.014444,21.734162,78
74,0.013986,15.500645,67
75,0.014849,16.128485,74
76,0.014426,16.192388,71
77,0.014519,20.448933,78
78,0.014015,17.891374,70
79,0.014697,18.597567,71
80,0.014842,17.608754,75
81,0.014704,17.141710,69
82,0.013829,16.921459,66
83,0.013921,15.365566,67
84,0.014662,17.223395,80
85,0.013873,15.980271,66
86,0.014175,17.008918,67
87,0.013827,15.921398,66
88,0.013987,16.837243,67
89,0.013830,16.620311,66
90,0.014498,18.129829,79
91,0.014505,17.420959,79
92,0.014239,16.682135,68
93,0.013271,15.955525,67
94,0.015602,20.116027,86
95,0.014617,18.549905,71
96,0.013754,17.064082,66
97,0.014601,19.526959,73
98,0.013904,16.412329,67
99,0.014265,22.805931,79
100,0.014858,17.406890,71
101,0.014497,15.857728,74
102,0.017566,18.342197,66
103,0.014954,17.149373,73
104,0.013048,15.382395,67
105,0.015077,19.945326,78
106,0.014682,17.729543,80
107,0.014975,20.243508,80
108,0.013875,17.942248,66
