rep,run_t,avg_speed,train_ctr
0,0.279415,46.996212,16
1,0.007388,46.358563,18
2,0.005111,46.002249,20
3,0.004658,46.359545,21
4,0.004349,48.136439,13
5,0.005054,45.702754,22
6,0.004329,46.767373,17
7,0.004834,45.395430,21
8,0.004736,46.082981,17
9,0.004877,44.684456,24
10,0.004516,46.571191,13
11,0.005064,46.710907,19
12,0.004498,47.466971,14
13,0.004099,46.207717,14
14,0.005290,46.375722,22
15,0.004519,46.284069,17
16,0.005170,46.229170,22
17,0.004957,45.602823,21
18,0.005216,45.796191,23
19,0.004577,47.041798,16
20,0.004948,46.539564,16
21,0.004709,43.423909,14
22,0.005010,47.416533,21
23,0.004617,46.301696,16
24,0.004948,47.525939,13
25,0.004852,47.672612,15
26,0.004829,46.520310,22
27,0.004587,47.567220,14
28,0.004711,46.535879,20
29,0.004737,46.006402,23
30,0.004807,45.623179,17
31,0.004776,46.322612,20
32,0.004992,46.885766,21
33,0.004470,45.113447,20
34,0.005633,45.942031,26
35,0.005387,44.545214,27
36,0.004716,46.827057,17
37,0.005403,46.496407,20
38,0.004647,46.469335,18
39,0.004842,46.662140,19
40,0.005292,45.003078,21
41,0.005297,45.271032,29
42,0.004585,44.771102,14
43,0.004755,47.090831,21
44,0.005381,44.659314,25
45,0.005325,44.340229,22
46,0.004853,46.315198,22
47,0.005060,46.252027,17
48,0.004590,46.335082,16
49,0.004485,46.412748,11
50,0.004982,45.412251,19
51,0.005206,45.855528,22
52,0.004889,46.829711,20
53,0.005321,44.951611,22
54,0.004681,46.665413,17
55,0.005545,45.364448,29
56,0.005055,44.979005,25
57,0.005413,45.187072,27
58,0.005104,45.314902,20
59,0.004456,46.974362,17
60,0.004856,45.686923,18
61,0.004123,47.170871,14
62,0.005046,46.122688,23
63,0.004800,46.804487,20
64,0.004988,46.846286,22
65,0.004887,44.724309,25
66,0.005110,46.009168,21
67,0.004591,46.989945,11
68,0.005286,45.904222,22
69,0.005279,44.898798,28
70,0.004785,46.394902,22
71,0.004735,45.902884,22
72,0.004957,45.766604,23
73,0.004315,47.128057,15
74,0.004683,45.642644,20
75,0.004708,45.413718,21
76,0.004996,46.097421,22
77,0.006012,44.208312,27
78,0.004748,44.831699,20
79,0.004786,46.913274,19
80,0.004717,44.297001,21
81,0.004299,45.736618,13
82,0.004676,45.287423,19
83,0.004545,46.888960,19
84,0.004714,47.043636,19
85,0.004938,46.605859,21
86,0.005303,45.393298,25
87,0.005010,45.043808,26
88,0.004539,44.849237,20
89,0.004509,45.215428,19
90,0.004416,47.023360,15
91,0.004651,45.433381,18
92,0.005216,46.156709,23
93,0.005199,45.899747,28
94,0.004442,47.040229,13
95,0.003926,46.208607,11
96,0.004561,46.285948,18
97,0.005212,45.236049,24
98,0.004520,44.660550,18
99,0.005310,45.263800,26
100,0.004859,47.441803,19
