seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,29,29,28,1048,6.2381,1.3655,2.318
2,1,6,35,7,1045,6.2202,1.3095,1.048
3,1,3,38,4,987,5.8750,0.6861,0.477
4,1,1,39,2,984,5.8571,0.7105,0.275
5,1,5,44,6,987,5.8750,0.6263,0.650
6,0,0,44,1,994,5.9167,0.8966,0.260
7,1,1,45,2,994,5.9167,0.7270,0.408
8,1,4,49,5,1001,5.9583,0.8146,0.723
9,1,1,50,2,1019,6.0655,0.9668,0.501
10,0,0,50,1,1044,6.2143,1.7638,0.295
11,0,0,50,1,1020,6.0714,0.8390,0.255
12,1,1,51,2,1018,6.0595,1.0551,0.553
13,0,0,51,1,976,5.8095,0.5719,0.233
14,1,3,54,4,970,5.7738,0.7028,0.554
15,1,11,65,12,1001,5.9583,0.8481,2.442
16,1,171,236,164,1011,6.0179,1.1052,19.240
17,1,1,237,2,1012,6.0238,1.0944,0.387
18,0,0,237,1,1036,6.1667,1.6032,0.318
19,0,0,237,1,992,5.9048,0.5969,0.266
20,0,0,237,1,942,5.6071,0.6162,0.239
21,1,5,242,6,969,5.7679,0.6022,0.509
22,0,0,242,1,959,5.7083,0.5172,0.250
23,1,9,251,9,983,5.8512,0.8753,2.336
24,0,0,251,1,993,5.9107,1.4640,0.290
25,1,1,252,2,1040,6.1905,1.4065,0.454
26,0,0,252,1,989,5.8869,1.0012,0.285
27,1,1,253,2,986,5.8690,0.6772,0.529
28,0,0,253,1,985,5.8631,0.7548,0.257
29,0,0,253,1,954,5.6786,0.5047,0.231
30,0,0,253,1,1038,6.1786,1.0024,0.273
31,1,2,255,3,1042,6.2024,0.8672,0.789
32,0,0,255,1,1062,6.3214,1.1950,0.286
33,0,0,255,1,976,5.8095,0.5881,0.244
34,0,0,255,1,962,5.7262,0.6302,0.231
35,0,0,255,1,1015,6.0417,0.6775,0.283
36,0,0,255,1,1022,6.0833,1.0334,0.287
37,0,0,255,1,1010,6.0119,1.2700,0.308
38,0,0,255,1,965,5.7440,0.6068,0.292
39,1,2,257,3,1016,6.0476,0.7060,0.505
40,1,68,325,65,1023,6.0893,1.1116,7.946
41,0,0,325,1,999,5.9464,0.6859,0.262
42,0,0,325,1,989,5.8869,0.6955,0.267
43,0,0,325,1,974,5.7976,0.5750,0.248
44,0,0,325,1,1017,6.0536,0.8942,0.306
45,0,0,325,1,1009,6.0060,0.9953,0.278
46,0,0,325,1,1005,5.9821,0.8791,0.291
47,0,0,325,1,982,5.8452,0.6142,0.264
48,1,1,326,2,1012,6.0238,1.1681,0.308
49,0,0,326,1,1018,6.0595,1.4350,0.300
50,0,0,326,1,960,5.7143,0.6306,0.269
51,0,0,326,1,1016,6.0476,1.2256,0.291
52,0,0,326,1,1007,5.9940,0.7260,0.281
53,0,0,326,1,1040,6.1905,1.7342,0.306
54,0,0,326,1,979,5.8274,0.5371,0.244
55,0,0,326,1,968,5.7619,0.6601,0.251
56,1,131,457,130,1014,6.0357,1.2051,14.202
57,0,0,457,1,988,5.8810,0.8180,0.259
58,0,0,457,1,988,5.8810,0.8016,0.316
59,0,0,457,1,984,5.8571,1.2140,0.320
60,0,0,457,1,1000,5.9524,0.9921,0.296
61,1,45,502,44,1005,5.9821,1.1687,3.294
62,0,0,502,1,965,5.7440,0.5698,0.261
63,0,0,502,1,975,5.8036,0.6369,0.259
64,0,0,502,1,961,5.7202,0.5961,0.258
65,0,0,502,1,1007,5.9940,1.4373,0.313
66,0,0,502,1,1014,6.0357,1.0019,0.327
67,0,0,502,1,1020,6.0714,1.5107,0.303
68,0,0,502,1,984,5.8571,0.7421,0.267
69,0,0,502,1,1024,6.0952,1.0768,0.299
70,0,0,502,1,968,5.7619,0.6204,0.280
71,0,0,502,1,993,5.9107,1.0746,0.283
72,0,0,502,1,964,5.7381,0.4503,0.249
73,0,0,502,1,962,5.7262,0.4819,0.280
74,0,0,502,1,965,5.7440,0.7032,0.254
75,1,23,525,23,990,5.8929,0.6698,6.370
76,0,0,525,1,1010,6.0119,0.9817,0.278
77,0,0,525,1,988,5.8810,0.6171,0.272
78,0,0,525,1,1035,6.1607,1.5768,0.372
79,0,0,525,1,968,5.7619,0.5264,0.275
80,0,0,525,1,993,5.9107,1.0614,0.288
81,0,0,525,1,976,5.8095,0.7232,0.276
82,0,0,525,1,1003,5.9702,1.1408,0.282
83,0,0,525,1,1044,6.2143,1.2806,0.325
84,0,0,525,1,1038,6.1786,1.0396,0.342
85,0,0,525,1,998,5.9405,1.1801,0.309
86,0,0,525,1,967,5.7560,0.5496,0.238
87,0,0,525,1,975,5.8036,0.6248,0.269
88,1,241,766,237,1043,6.2083,1.2546,55.387
89,0,0,766,1,983,5.8512,0.6188,0.312
90,0,0,766,1,1003,5.9702,1.0567,0.325
91,0,0,766,1,1011,6.0179,1.2603,0.326
92,1,9,775,10,1003,5.9702,0.7937,1.614
93,0,0,775,1,1050,6.2500,1.1412,0.333
94,1,277,1052,275,997,5.9345,1.2545,41.757
95,0,0,1052,1,988,5.8810,1.0698,0.332
96,0,0,1052,1,970,5.7738,0.6343,0.299
97,1,2000,3052,2000,191,6.1613,1.5821,366.812
98,1,22,3074,23,970,5.7738,0.6115,4.063
99,0,0,3074,1,995,5.9226,0.7296,0.515
100,0,0,3074,1,1004,5.9762,0.6494,0.490
101,0,0,3074,1,975,5.8036,0.6693,0.483
102,0,0,3074,1,970,5.7738,0.6004,0.477
103,0,0,3074,1,1010,6.0119,1.1197,0.546
104,0,0,3074,1,1056,6.2857,1.9743,0.735
105,0,0,3074,1,982,5.8452,0.5108,0.450
106,0,0,3074,1,977,5.8155,0.7590,0.518
107,0,0,3074,1,984,5.8571,0.5547,0.471
108,0,0,3074,1,1011,6.0179,0.9940,0.553
109,0,0,3074,1,1032,6.1429,1.5752,0.639
110,0,0,3074,1,995,5.9226,0.8981,0.535
111,1,1,3075,2,1025,6.1012,0.8893,0.581
112,0,0,3075,1,1023,6.0893,0.8286,0.530
113,0,0,3075,1,1022,6.0833,1.3620,0.610
114,0,0,3075,1,1012,6.0238,1.3909,0.605
115,0,0,3075,1,1026,6.1071,1.0545,0.592
116,0,0,3075,1,1037,6.1726,0.8647,0.596
117,0,0,3075,1,1037,6.1726,1.4248,0.648
118,0,0,3075,1,1013,6.0298,0.8472,0.538
119,1,5,3080,6,1028,6.1190,0.7985,1.926
120,0,0,3080,1,953,5.6726,0.6703,0.477
121,0,0,3080,1,1012,6.0238,0.9858,0.530
122,0,0,3080,1,992,5.9048,0.6286,0.478
123,0,0,3080,1,988,5.8810,0.7147,0.503
124,1,3,3083,4,988,5.8810,0.7306,1.094
125,0,0,3083,1,980,5.8333,0.6502,0.492
126,0,0,3083,1,992,5.9048,0.5934,0.471
127,0,0,3083,1,1052,6.2619,2.0772,0.769
