seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,4,4,5,1029,6.1250,0.5284,0.066
2,0,0,4,1,1048,6.2381,0.4897,0.032
3,0,0,4,1,996,5.9286,0.3683,0.033
4,1,1,5,2,984,5.8571,0.3554,0.056
5,0,0,5,1,987,5.8750,0.3653,0.034
6,0,0,5,1,994,5.9167,0.3657,0.036
7,0,0,5,1,989,5.8869,0.3692,0.035
8,0,0,5,1,998,5.9405,0.3725,0.035
9,0,0,5,1,1015,6.0417,0.4100,0.033
10,0,0,5,1,1039,6.1845,0.4841,0.033
11,0,0,5,1,1019,6.0655,0.4359,0.033
12,0,0,5,1,1013,6.0298,0.4480,0.032
13,0,0,5,1,978,5.8214,0.3336,0.033
14,0,0,5,1,975,5.8036,0.3482,0.033
15,0,0,5,1,984,5.8571,0.4618,0.033
16,0,0,5,1,1010,6.0119,0.4262,0.034
17,0,0,5,1,1006,5.9881,0.4148,0.036
18,0,0,5,1,1023,6.0893,0.5274,0.035
19,0,0,5,1,994,5.9167,0.3525,0.037
20,0,0,5,1,936,5.5714,0.3295,0.035
21,0,0,5,1,966,5.7500,0.3385,0.034
22,0,0,5,1,956,5.6905,0.2829,0.034
23,0,0,5,1,980,5.8333,0.3820,0.035
24,0,0,5,1,999,5.9464,0.4011,0.037
25,0,0,5,1,1036,6.1667,0.4690,0.037
26,0,0,5,1,990,5.8929,0.3682,0.036
27,0,0,5,1,977,5.8155,0.3357,0.036
28,0,0,5,1,986,5.8690,0.3876,0.033
29,0,0,5,1,954,5.6786,0.3074,0.032
30,0,0,5,1,1036,6.1667,0.4487,0.034
31,0,0,5,1,1028,6.1190,0.4853,0.034
32,0,0,5,1,1049,6.2440,0.5286,0.034
33,0,0,5,1,976,5.8095,0.3405,0.032
34,0,0,5,1,961,5.7202,0.3205,0.030
35,0,0,5,1,1012,6.0238,0.3497,0.033
36,0,0,5,1,1022,6.0833,0.4385,0.034
37,0,0,5,1,1013,6.0298,0.4721,0.033
38,0,0,5,1,964,5.7381,0.3345,0.034
39,0,0,5,1,1015,6.0417,0.4271,0.035
40,0,0,5,1,1015,6.0417,0.4294,0.034
41,0,0,5,1,1005,5.9821,0.3983,0.034
42,0,0,5,1,988,5.8810,0.3560,0.033
43,0,0,5,1,973,5.7917,0.3288,0.033
44,0,0,5,1,1021,6.0774,0.4327,0.033
45,0,0,5,1,1015,6.0417,0.4293,0.034
46,0,0,5,1,1007,5.9940,0.4116,0.035
47,0,0,5,1,987,5.8750,0.3578,0.035
48,0,0,5,1,1019,6.0655,0.4326,0.035
49,0,0,5,1,1023,6.0893,0.4452,0.033
50,0,0,5,1,959,5.7083,0.3534,0.034
51,0,0,5,1,1014,6.0357,0.4344,0.036
52,0,0,5,1,1002,5.9643,0.3693,0.036
53,0,0,5,1,1031,6.1369,0.5295,0.037
54,0,0,5,1,978,5.8214,0.3316,0.035
55,0,0,5,1,971,5.7798,0.3307,0.034
56,0,0,5,1,1018,6.0595,0.4164,0.035
57,0,0,5,1,981,5.8393,0.3605,0.033
58,0,0,5,1,982,5.8452,0.3444,0.032
59,0,0,5,1,992,5.9048,0.3950,0.033
60,0,0,5,1,1000,5.9524,0.3911,0.033
61,0,0,5,1,1008,6.0000,0.4186,0.036
62,0,0,5,1,961,5.7202,0.3131,0.035
63,0,0,5,1,975,5.8036,0.3339,0.035
64,0,0,5,1,960,5.7143,0.3487,0.034
65,0,0,5,1,994,5.9167,0.4460,0.036
66,0,0,5,1,1020,6.0714,0.3984,0.036
67,0,0,5,1,1005,5.9821,0.4640,0.035
68,0,0,5,1,981,5.8393,0.3551,0.033
69,0,0,5,1,1021,6.0774,0.4865,0.034
70,1,1,6,2,968,5.7619,0.3413,0.057
71,0,0,6,1,993,5.9107,0.4228,0.034
72,0,0,6,1,967,5.7560,0.3011,0.034
73,0,0,6,1,964,5.7381,0.2846,0.036
74,0,0,6,1,976,5.8095,0.3620,0.035
75,0,0,6,1,997,5.9345,0.3559,0.036
76,0,0,6,1,1015,6.0417,0.4247,0.034
77,0,0,6,1,990,5.8929,0.3454,0.035
78,0,0,6,1,1029,6.1250,0.4616,0.034
79,0,0,6,1,969,5.7679,0.2998,0.032
80,0,0,6,1,998,5.9405,0.3786,0.035
81,0,0,6,1,977,5.8155,0.3411,0.037
82,0,0,6,1,999,5.9464,0.4918,0.033
83,0,0,6,1,1027,6.1131,0.5058,0.038
84,0,0,6,1,1020,6.0714,0.4774,0.038
85,0,0,6,1,997,5.9345,0.4267,0.035
86,0,0,6,1,968,5.7619,0.3421,0.033
87,0,0,6,1,976,5.8095,0.3476,0.036
88,0,0,6,1,1021,6.0774,0.5309,0.036
89,0,0,6,1,991,5.8988,0.3524,0.034
90,0,0,6,1,1004,5.9762,0.3892,0.036
91,0,0,6,1,1010,6.0119,0.4214,0.034
92,0,0,6,1,1003,5.9702,0.3530,0.035
93,0,0,6,1,1039,6.1845,0.4922,0.034
94,0,0,6,1,1007,5.9940,0.4206,0.034
95,0,0,6,1,991,5.8988,0.3795,0.033
96,0,0,6,1,971,5.7798,0.3366,0.034
97,0,0,6,1,1016,6.0476,0.4432,0.034
98,0,0,6,1,968,5.7619,0.3355,0.032
99,0,0,6,1,1004,5.9762,0.4067,0.034
100,0,0,6,1,1000,5.9524,0.4055,0.035
101,0,0,6,1,971,5.7798,0.3466,0.032
102,0,0,6,1,972,5.7857,0.3391,0.032
103,0,0,6,1,1013,6.0298,0.4111,0.034
104,0,0,6,1,1050,6.2500,0.5144,0.035
105,0,0,6,1,984,5.8571,0.3122,0.033
106,0,0,6,1,972,5.7857,0.3641,0.034
107,0,0,6,1,982,5.8452,0.3550,0.033
108,0,0,6,1,1013,6.0298,0.4375,0.034
109,0,0,6,1,1035,6.1607,0.4775,0.034
110,0,0,6,1,1000,5.9524,0.3635,0.035
111,0,0,6,1,1018,6.0595,0.4345,0.035
112,0,0,6,1,1024,6.0952,0.4004,0.034
113,0,0,6,1,1022,6.0833,0.4431,0.034
114,0,0,6,1,1012,6.0238,0.4494,0.035
115,0,0,6,1,1026,6.1071,0.4267,0.035
116,0,0,6,1,1015,6.0417,0.4738,0.039
117,0,0,6,1,1038,6.1786,0.4743,0.034
118,0,0,6,1,1008,6.0000,0.4597,0.033
119,0,0,6,1,1016,6.0476,0.4728,0.035
120,0,0,6,1,955,5.6845,0.3188,0.036
121,0,0,6,1,1012,6.0238,0.3933,0.036
122,0,0,6,1,992,5.9048,0.3676,0.036
123,0,0,6,1,987,5.8750,0.3793,0.037
124,0,0,6,1,986,5.8690,0.3305,0.036
125,0,0,6,1,977,5.8155,0.3448,0.037
126,0,0,6,1,986,5.8690,0.3030,0.034
127,0,0,6,1,1052,6.2619,0.5329,0.034
128,0,0,6,1,1022,6.0833,0.4606,0.034
129,0,0,6,1,1025,6.1012,0.5184,0.035
130,0,0,6,1,964,5.7381,0.3673,0.033
131,0,0,6,1,1009,6.0060,0.3821,0.035
132,0,0,6,1,987,5.8750,0.3483,0.033
133,0,0,6,1,1023,6.0893,0.4220,0.035
134,0,0,6,1,1021,6.0774,0.4119,0.035
135,0,0,6,1,992,5.9048,0.4004,0.034
136,0,0,6,1,1021,6.0774,0.5310,0.033
137,0,0,6,1,1004,5.9762,0.4023,0.034
138,0,0,6,1,1022,6.0833,0.4664,0.035
139,0,0,6,1,996,5.9286,0.3708,0.034
140,0,0,6,1,990,5.8929,0.4011,0.034
141,0,0,6,1,1004,5.9762,0.3660,0.033
142,0,0,6,1,962,5.7262,0.3022,0.032
143,0,0,6,1,1030,6.1310,0.4577,0.034
144,0,0,6,1,1031,6.1369,0.4573,0.034
145,0,0,6,1,1030,6.1310,0.5420,0.036
146,0,0,6,1,1019,6.0655,0.4224,0.034
147,0,0,6,1,1004,5.9762,0.3977,0.034
148,0,0,6,1,961,5.7202,0.3562,0.033
149,0,0,6,1,985,5.8631,0.3783,0.032
150,0,0,6,1,983,5.8512,0.4332,0.032
151,0,0,6,1,946,5.6310,0.3029,0.032
152,0,0,6,1,993,5.9107,0.4751,0.033
153,0,0,6,1,1014,6.0357,0.3893,0.034
154,0,0,6,1,1001,5.9583,0.3742,0.035
155,0,0,6,1,1013,6.0298,0.4300,0.035
156,0,0,6,1,1026,6.1071,0.4843,0.032
157,0,0,6,1,1024,6.0952,0.4420,0.034
158,0,0,6,1,989,5.8869,0.3883,0.034
159,0,0,6,1,1010,6.0119,0.3718,0.035
160,0,0,6,1,1036,6.1667,0.4709,0.034
161,0,0,6,1,1023,6.0893,0.4576,0.034
162,0,0,6,1,1014,6.0357,0.4374,0.034
163,0,0,6,1,987,5.8750,0.3834,0.035
164,0,0,6,1,1020,6.0714,0.4889,0.034
165,0,0,6,1,999,5.9464,0.3718,0.036
166,0,0,6,1,1027,6.1131,0.4720,0.035
167,0,0,6,1,1004,5.9762,0.3863,0.036
168,0,0,6,1,973,5.7917,0.3166,0.064
169,0,0,6,1,978,5.8214,0.3325,0.034
170,0,0,6,1,978,5.8214,0.3150,0.033
