rep,run_t,avg_speed,train_ctr
0,0.126904,17.319930,67
1,0.016132,17.633137,73
2,0.023524,24.485573,91
3,0.013189,18.372101,70
4,0.015163,22.065218,87
5,0.015103,23.672297,92
6,0.013716,15.689693,66
7,0.013738,18.714153,67
8,0.014995,22.782365,90
9,0.014906,18.497645,85
10,0.014559,18.442443,71
11,0.013730,18.703644,70
12,0.015342,24.176362,84
13,0.013627,19.317897,68
14,0.013286,15.398929,66
15,0.014711,18.018297,74
16,0.013722,15.625214,66
17,0.015467,20.982151,80
18,0.014444,20.676763,72
19,0.014509,21.211567,73
20,0.013776,18.692310,66
21,0.013633,19.044704,66
22,0.014647,19.117209,81
23,0.015048,16.490048,74
24,0.014467,17.323061,70
25,0.014466,16.667814,71
26,0.014489,22.840962,74
27,0.015215,20.051742,87
28,0.014149,23.567122,74
29,0.014838,18.836914,74
30,0.014101,18.930575,66
31,0.014162,16.336457,69
32,0.013612,16.822479,66
33,0.015817,20.243625,90
34,0.013962,17.836932,69
35,0.015846,25.263764,91
36,0.014990,27.640752,87
37,0.014017,16.420704,68
38,0.014394,19.767536,72
39,0.014745,18.667399,73
40,0.013675,16.411521,68
41,0.013988,18.571848,71
42,0.014730,17.275576,71
43,0.015655,22.802967,89
44,0.014683,16.717687,66
45,0.015027,16.735526,73
46,0.014099,15.583909,67
47,0.013655,17.055738,66
48,0.013766,16.827154,66
49,0.015033,20.474067,80
50,0.013836,18.144459,67
51,0.014367,21.902812,78
52,0.014549,16.715540,71
53,0.015158,17.659413,77
54,0.015277,23.641870,79
55,0.013539,18.095646,66
56,0.014910,16.113603,72
57,0.014343,24.263449,85
58,0.014648,28.134213,84
59,0.014641,18.443327,76
60,0.014135,17.892902,66
61,0.014818,25.451808,93
62,0.014376,18.252182,67
63,0.014184,16.456017,67
64,0.013585,19.024378,67
65,0.013987,16.191882,67
66,0.014661,22.370551,83
67,0.014312,22.995660,87
68,0.013671,15.878830,67
69,0.015412,16.989006,85
70,0.013950,17.429757,66
71,0.014923,16.871883,70
72,0.015797,17.783041,75
73,0.014280,17.558375,66
74,0.014243,16.316571,74
75,0.015466,18.008950,84
