rep,run_t,avg_speed,train_ctr
0,0.052038,39.883542,59
1,0.012569,39.032865,71
2,0.008544,41.680025,59
3,0.008451,41.088785,54
4,0.009530,40.688151,68
5,0.009174,39.920714,58
6,0.009136,41.661696,59
7,0.009234,40.517354,68
8,0.009503,38.992326,63
9,0.007946,42.034943,51
10,0.009611,40.733955,65
11,0.009573,41.205153,65
12,0.009958,39.128306,64
13,0.008848,41.230391,64
14,0.008868,40.585257,62
15,0.009980,36.573645,64
16,0.008571,40.731658,55
17,0.009707,39.517662,70
18,0.008777,42.353271,56
19,0.009421,40.969850,66
20,0.009536,36.403017,57
21,0.011577,35.514213,83
22,0.009558,41.386050,57
23,0.009846,40.538527,68
24,0.012259,37.100635,79
25,0.010205,39.048718,69
26,0.009738,41.285599,57
27,0.009653,39.344783,73
28,0.008761,39.232469,65
29,0.009050,41.321697,60
30,0.009215,40.013902,63
31,0.009204,41.623683,56
32,0.008655,40.592248,60
33,0.008482,41.652099,51
34,0.007964,43.233633,51
35,0.010702,37.857060,76
36,0.008286,42.082021,55
37,0.008810,41.616324,62
38,0.009704,39.375777,71
39,0.010337,39.604213,70
40,0.009281,39.729486,68
41,0.009845,39.120275,67
42,0.010093,37.347660,68
43,0.010254,40.646050,70
44,0.008233,43.184109,56
45,0.010079,40.724381,61
46,0.009902,40.101508,69
47,0.010882,37.611952,73
48,0.007458,43.680879,39
49,0.008950,41.306859,60
50,0.010037,40.920039,62
51,0.010033,39.727529,70
52,0.008468,41.614726,53
53,0.009400,40.787094,55
54,0.008882,40.077703,61
55,0.009852,39.714385,70
56,0.008425,42.218210,56
57,0.010220,39.652638,71
58,0.007873,42.446135,56
59,0.009154,40.385689,63
60,0.010076,38.070988,72
61,0.009897,39.322857,68
62,0.009324,39.836767,64
63,0.008532,42.756320,57
64,0.009630,40.256708,63
65,0.011854,35.518596,80
66,0.009801,39.080102,71
67,0.008854,38.555520,61
68,0.009827,40.986868,60
69,0.008188,41.593767,56
70,0.009298,40.622293,65
71,0.008977,39.814536,57
72,0.009353,39.503248,62
73,0.008385,42.206809,53
74,0.008398,42.158254,54
75,0.008191,43.454200,51
76,0.009947,38.701613,71
77,0.007527,44.132923,48
78,0.008667,40.883464,55
79,0.009224,40.007361,65
80,0.007763,42.855393,49
81,0.008858,43.182985,50
82,0.010046,39.310282,69
83,0.008846,41.810702,59
84,0.009518,42.432893,65
85,0.009720,38.781333,67
86,0.009432,40.414416,65
87,0.009253,39.015414,63
88,0.009611,38.310938,65
89,0.007862,43.156669,47
90,0.008937,40.584187,62
91,0.008706,39.402307,51
92,0.008792,41.136139,57
93,0.009267,40.341232,61
94,0.008177,41.243724,51
95,0.009427,38.297280,66
96,0.007974,43.933696,46
97,0.009100,40.529136,59
98,0.009729,39.463352,71
99,0.009411,39.051982,64
100,0.008217,42.686553,51
101,0.009104,40.066912,63
102,0.009048,38.596127,65
103,0.010833,37.055600,80
104,0.010010,37.020717,72
105,0.008769,41.131384,57
106,0.009727,39.084724,67
107,0.009532,40.357934,52
108,0.009327,40.086324,63
109,0.009448,39.498132,61
110,0.010568,39.953362,68
111,0.011013,36.957601,82
112,0.009063,41.869431,54
113,0.009951,39.352651,66
114,0.009772,37.290535,63
115,0.009234,41.172905,58
116,0.009590,39.793775,68
117,0.008795,41.785136,55
118,0.009958,38.653863,68
119,0.009193,39.488221,59
120,0.008481,40.958059,53
121,0.009369,41.308759,61
122,0.009925,38.391757,62
123,0.007815,42.057136,47
124,0.009378,40.185925,65
125,0.009169,41.185837,58
126,0.010336,39.050721,66
127,0.009902,39.173824,65
128,0.009921,36.588529,67
129,0.008905,41.715319,59
130,0.009094,42.577632,57
131,0.008374,42.054774,53
132,0.009683,38.654875,70
133,0.011432,37.207556,76
134,0.009870,38.587338,72
135,0.009059,40.148466,64
136,0.009935,39.721907,60
137,0.010313,38.777716,70
138,0.010221,40.915810,65
139,0.010894,38.104594,70
140,0.008787,41.711485,61
141,0.008820,41.305820,53
142,0.008379,41.863220,59
143,0.009561,40.194294,67
144,0.009385,41.635304,56
145,0.009470,39.898511,64
146,0.007980,42.985927,47
147,0.009754,39.744928,66
148,0.009056,41.720685,56
149,0.009206,43.091203,52
150,0.008624,42.751483,51
151,0.009327,40.650127,68
152,0.008815,38.531167,59
153,0.008258,42.058397,49
154,0.009346,41.633763,60
155,0.009338,41.231193,64
156,0.007768,42.468912,51
157,0.008907,38.371917,61
158,0.009247,41.713313,67
159,0.008871,41.360944,60
160,0.008690,42.460211,56
161,0.010188,37.143822,68
162,0.008433,40.245143,60
163,0.009051,41.013077,60
164,0.009328,41.110423,55
165,0.010333,38.643712,71
166,0.009308,39.780363,61
167,0.008537,41.158727,49
168,0.007933,40.973173,54
169,0.008141,43.307526,55
170,0.008371,41.369568,49
171,0.010272,38.826226,70
172,0.009763,39.428643,68
173,0.009638,39.427396,64
174,0.008655,40.308527,61
175,0.009682,40.057270,72
176,0.008969,38.811566,55
177,0.009051,41.486498,56
178,0.008891,41.594942,58
179,0.010399,37.610472,78
180,0.008273,43.203529,56
181,0.009303,41.506634,62
182,0.010048,37.812514,70
183,0.009031,40.772055,61
184,0.008835,40.006892,54
185,0.009695,40.851440,69
186,0.008590,39.446725,60
187,0.009119,41.659798,61
188,0.009055,39.963569,60
189,0.009691,40.623214,68
190,0.008657,41.240761,56
191,0.009758,38.569089,69
192,0.009342,39.873489,65
193,0.009148,39.658624,67
194,0.010450,36.977438,71
195,0.009514,41.800052,59
196,0.008964,39.912992,69
197,0.010169,39.563440,71
198,0.010295,39.245032,66
199,0.008998,40.805140,60
200,0.009278,39.625798,66
201,0.009284,38.790295,59
202,0.009520,41.056759,63
203,0.009242,42.347847,57
204,0.009051,40.872502,62
205,0.010640,39.650190,71
206,0.009901,39.996202,66
207,0.009262,40.492323,57
208,0.010646,38.573352,76
209,0.009174,40.908040,55
210,0.009514,38.872399,57
211,0.008239,43.065185,50
212,0.009427,40.358754,69
213,0.008306,42.244701,54
214,0.009168,40.228852,64
215,0.008201,43.308697,44
216,0.010530,39.758453,69
217,0.010215,37.833825,77
218,0.010459,37.826857,75
219,0.009774,39.577274,72
220,0.008968,39.334280,55
221,0.009604,39.883785,60
222,0.011884,35.972541,80
223,0.009928,40.114117,67
224,0.009567,41.916358,61
225,0.009781,39.011300,68
226,0.009068,40.201780,64
227,0.009344,40.102652,66
228,0.010103,40.161976,72
229,0.010015,39.076150,65
230,0.009764,42.060266,59
231,0.009268,36.482199,53
232,0.009214,41.812281,66
233,0.009833,40.773515,59
234,0.009165,41.388207,59
235,0.008815,42.117938,60
236,0.009913,39.439015,67
237,0.011361,35.492473,77
238,0.009535,41.432123,60
239,0.010182,38.249245,71
240,0.009421,42.314160,55
241,0.010022,40.970270,63
242,0.011878,40.616953,64
243,0.009749,41.149780,64
244,0.008694,40.312441,57
245,0.009947,41.025667,65
246,0.008985,41.547021,52
247,0.011529,38.013192,72
248,0.008527,42.361387,55
249,0.011997,36.748556,82
250,0.011723,36.316260,84
251,0.008242,41.725021,50
252,0.009476,39.874094,65
253,0.007507,42.352447,44
254,0.010683,35.853984,74
255,0.008239,41.160143,56
256,0.010219,39.778460,67
257,0.010626,37.854211,82
258,0.008421,42.152316,55
259,0.009492,38.312287,68
260,0.010881,37.236852,75
261,0.009478,41.957181,64
262,0.009188,39.340039,58
263,0.009539,39.509802,69
264,0.008855,40.524039,58
265,0.010491,37.557294,75
266,0.008227,41.616639,55
267,0.010124,38.425570,71
268,0.010721,37.078718,75
269,0.008393,41.891557,56
270,0.009820,40.533865,65
271,0.009584,39.869639,61
272,0.010094,40.773881,69
273,0.009303,41.260439,60
274,0.009234,41.748947,61
