rep,run_t,avg_speed,train_ctr
227,0.014142,17.112532,71
228,0.014206,15.636771,66
229,0.013109,15.850973,67
230,0.015975,19.147865,85
231,0.014520,18.551862,70
232,0.014398,15.359766,71
233,0.014278,17.232658,72
234,0.014227,19.038029,71
235,0.013557,16.265129,67
236,0.013336,15.375419,67
237,0.013486,17.549149,66
238,0.014081,16.236459,68
239,0.014933,17.250814,73
240,0.014059,24.323777,82
241,0.013602,17.179584,66
242,0.015084,18.413444,84
243,0.013958,15.867601,66
244,0.013884,18.029934,69
245,0.013371,16.577955,66
246,0.014551,18.807932,72
247,0.014758,16.736060,74
248,0.015156,16.306055,78
249,0.013744,17.621573,66
250,0.014380,19.385133,67
251,0.014635,16.998357,72
252,0.014218,19.727896,73
253,0.014053,16.212301,67
254,0.014630,19.745148,75
255,0.013359,15.917937,67
256,0.013421,15.533667,67
257,0.015802,20.045814,76
258,0.013844,16.050852,66
259,0.013586,16.980370,67
260,0.014362,23.352347,73
261,0.013168,15.419884,66
262,0.014796,19.992600,76
263,0.013010,15.461066,66
264,0.014096,16.776069,69
265,0.013563,16.333421,67
266,0.015005,18.706406,75
267,0.013635,15.458952,67
268,0.014662,25.628872,84
269,0.014477,20.691440,76
270,0.013709,15.992506,67
271,0.013688,15.914918,66
272,0.014746,16.725626,73
273,0.014173,16.291540,66
274,0.014635,20.308277,72
275,0.013924,16.799187,67
276,0.013938,16.021824,66
277,0.013823,16.953660,68
278,0.014027,16.210506,66
279,0.013538,15.660668,67
280,0.013866,16.251229,68
281,0.014483,17.804987,68
282,0.014626,16.189671,67
283,0.014184,17.597224,66
284,0.014756,16.893701,80
285,0.014417,15.620014,70
286,0.013902,15.713926,66
287,0.014284,20.258955,69
288,0.014299,16.051223,71
289,0.013646,17.324870,66
290,0.014306,17.351035,67
291,0.013734,15.676456,66
292,0.013479,16.234067,66
293,0.015105,22.514054,79
294,0.013797,16.601838,67
295,0.013483,15.755832,66
296,0.013768,19.777924,66
297,0.014774,16.800895,73
298,0.014051,17.448176,68
299,0.013936,15.756793,66
300,0.013453,16.468816,67
301,0.014625,18.383117,76
302,0.013509,15.749970,67
303,0.014221,17.830615,76
304,0.014211,16.323620,67
305,0.013245,15.722876,66
306,0.013924,16.642042,66
307,0.013660,16.924229,66
308,0.015043,23.412369,88
309,0.014507,17.607465,73
310,0.014013,16.924753,66
311,0.015167,23.037529,90
312,0.014240,19.034417,74
313,0.013283,15.370542,66
314,0.013466,16.321626,66
315,0.013742,16.127073,67
316,0.013596,15.559720,67
317,0.014627,23.438179,83
318,0.014301,15.908202,70
319,0.013641,15.832695,68
320,0.013392,16.081235,66
321,0.013617,15.439018,67
322,0.013928,17.897099,66
323,0.014480,23.122176,79
324,0.013518,15.370542,66
325,0.013650,17.207669,67
326,0.014370,19.969981,68
327,0.013929,15.478430,66
328,0.014352,18.971557,72
329,0.014099,16.392492,67
330,0.014629,19.071698,76
331,0.013507,15.384755,66
332,0.013809,17.956608,67
333,0.013516,16.112566,66
334,0.013447,15.952592,67
335,0.013689,16.464893,67
336,0.013540,15.513412,66
337,0.013467,16.175486,67
338,0.013493,16.186051,66
339,0.013478,15.592128,66
340,0.013686,17.023759,66
341,0.014098,16.275003,66
342,0.013662,17.142870,68
343,0.013617,16.807928,67
344,0.013826,15.595618,66
345,0.013646,16.029384,66
346,0.014334,18.770023,71
347,0.014654,17.767762,75
348,0.014413,16.287114,71
349,0.014142,16.405802,67
350,0.013974,16.591464,66
351,0.014102,16.993075,68
352,0.013768,17.801727,67
353,0.013317,16.687944,66
354,0.013537,15.399749,67
355,0.014118,17.455917,68
356,0.014422,16.599515,72
357,0.013284,15.483825,66
358,0.013447,15.717204,66
359,0.014161,15.968370,67
360,0.013656,15.526852,67
361,0.013897,16.183109,66
362,0.013668,15.687674,67
363,0.014247,16.376541,66
364,0.014692,17.707494,74
365,0.013248,19.090365,66
366,0.013655,16.007272,67
367,0.014342,15.721333,72
368,0.014164,17.987377,66
369,0.013692,16.886819,66
370,0.014598,16.721590,77
371,0.013731,15.717355,66
372,0.013867,15.559595,66
373,0.013702,17.055833,67
374,0.014317,18.487286,72
375,0.014882,23.089153,80
376,0.014665,17.518758,75
377,0.014028,16.292261,67
378,0.014675,19.803158,73
379,0.015037,17.199176,69
380,0.013641,15.707263,66
381,0.014135,16.804170,70
382,0.014292,16.361573,68
383,0.013816,16.282174,69
384,0.014341,18.836896,71
385,0.013820,18.371010,67
386,0.013370,16.004205,67
387,0.014559,16.471921,71
388,0.013328,15.390223,66
389,0.013417,16.242239,67
390,0.013805,16.090231,66
391,0.013678,19.380554,69
392,0.014437,23.668267,83
393,0.014472,16.535889,69
394,0.014328,16.997944,68
395,0.014254,16.355277,70
