seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2,2,3,538,3.2024,0.051
2,1,2,4,3,529,3.1488,0.063
3,0,0,4,1,481,2.8631,0.029
4,0,0,4,1,472,2.8095,0.035
5,0,0,4,1,479,2.8512,0.026
6,0,0,4,1,520,3.0952,0.027
7,0,0,4,1,480,2.8571,0.028
8,0,0,4,1,475,2.8274,0.029
9,0,0,4,1,490,2.9167,0.026
10,0,0,4,1,541,3.2202,0.029
11,0,0,4,1,505,3.0060,0.025
12,0,0,4,1,540,3.2143,0.029
13,0,0,4,1,494,2.9405,0.026
14,0,0,4,1,481,2.8631,0.025
15,0,0,4,1,492,2.9286,0.026
16,0,0,4,1,524,3.1190,0.025
17,0,0,4,1,487,2.8988,0.027
18,0,0,4,1,550,3.2738,0.029
19,0,0,4,1,506,3.0119,0.027
20,0,0,4,1,452,2.6905,0.022
21,0,0,4,1,500,2.9762,0.025
22,0,0,4,1,484,2.8810,0.025
23,0,0,4,1,495,2.9464,0.025
24,0,0,4,1,488,2.9048,0.026
25,0,0,4,1,521,3.1012,0.028
26,0,0,4,1,510,3.0357,0.027
27,0,0,4,1,477,2.8393,0.024
28,0,0,4,1,514,3.0595,0.027
29,0,0,4,1,461,2.7440,0.024
30,0,0,4,1,538,3.2024,0.030
31,0,0,4,1,518,3.0833,0.027
32,0,0,4,1,546,3.2500,0.028
33,0,0,4,1,484,2.8810,0.025
34,0,0,4,1,494,2.9405,0.026
35,0,0,4,1,499,2.9702,0.025
36,0,0,4,1,510,3.0357,0.028
37,0,0,4,1,512,3.0476,0.026
38,0,0,4,1,484,2.8810,0.023
39,0,0,4,1,506,3.0119,0.026
40,0,0,4,1,507,3.0179,0.028
41,0,0,4,1,512,3.0476,0.032
42,1,1,5,2,493,2.9345,0.027
43,0,0,5,1,469,2.7917,0.027
44,0,0,5,1,522,3.1071,0.027
45,0,0,5,1,504,3.0000,0.025
46,0,0,5,1,520,3.0952,0.026
47,0,0,5,1,506,3.0119,0.026
48,0,0,5,1,525,3.1250,0.027
49,0,0,5,1,506,3.0119,0.026
50,0,0,5,1,495,2.9464,0.026
51,0,0,5,1,508,3.0238,0.025
52,0,0,5,1,507,3.0179,0.028
53,0,0,5,1,561,3.3393,0.030
54,0,0,5,1,474,2.8214,0.028
55,0,0,5,1,501,2.9821,0.027
56,0,0,5,1,488,2.9048,0.025
57,0,0,5,1,506,3.0119,0.024
58,0,0,5,1,499,2.9702,0.027
59,0,0,5,1,470,2.7976,0.024
60,0,0,5,1,505,3.0060,0.027
61,0,0,5,1,479,2.8512,0.026
62,0,0,5,1,491,2.9226,0.027
63,0,0,5,1,463,2.7560,0.023
64,0,0,5,1,508,3.0238,0.027
65,0,0,5,1,485,2.8869,0.027
66,0,0,5,1,484,2.8810,0.026
67,0,0,5,1,511,3.0417,0.030
68,0,0,5,1,476,2.8333,0.029
69,0,0,5,1,504,3.0000,0.026
70,0,0,5,1,500,2.9762,0.027
71,0,0,5,1,485,2.8869,0.028
72,0,0,5,1,485,2.8869,0.024
73,0,0,5,1,499,2.9702,0.025
74,0,0,5,1,487,2.8988,0.026
75,0,0,5,1,488,2.9048,0.026
76,0,0,5,1,498,2.9643,0.025
77,0,0,5,1,487,2.8988,0.025
78,0,0,5,1,528,3.1429,0.027
79,0,0,5,1,476,2.8333,0.024
80,0,0,5,1,507,3.0179,0.026
81,0,0,5,1,509,3.0298,0.026
82,0,0,5,1,526,3.1310,0.025
83,0,0,5,1,535,3.1845,0.027
84,0,0,5,1,522,3.1071,0.027
85,0,0,5,1,520,3.0952,0.029
86,0,0,5,1,507,3.0179,0.026
87,0,0,5,1,486,2.8929,0.027
88,0,0,5,1,529,3.1488,0.027
89,0,0,5,1,502,2.9881,0.024
90,0,0,5,1,496,2.9524,0.025
91,0,0,5,1,485,2.8869,0.025
92,0,0,5,1,522,3.1071,0.026
93,0,0,5,1,529,3.1488,0.027
94,0,0,5,1,473,2.8155,0.026
95,0,0,5,1,484,2.8810,0.023
96,0,0,5,1,495,2.9464,0.027
97,0,0,5,1,498,2.9643,0.025
98,0,0,5,1,499,2.9702,0.026
99,0,0,5,1,501,2.9821,0.025
100,0,0,5,1,514,3.0595,0.027
101,0,0,5,1,479,2.8512,0.023
102,0,0,5,1,500,2.9762,0.026
103,0,0,5,1,512,3.0476,0.026
104,0,0,5,1,532,3.1667,0.027
105,0,0,5,1,485,2.8869,0.025
106,0,0,5,1,475,2.8274,0.024
107,0,0,5,1,479,2.8512,0.026
108,0,0,5,1,501,2.9821,0.032
109,0,0,5,1,516,3.0714,0.028
110,0,0,5,1,502,2.9881,0.028
111,0,0,5,1,508,3.0238,0.025
112,0,0,5,1,517,3.0774,0.025
113,0,0,5,1,502,2.9881,0.032
114,0,0,5,1,504,3.0000,0.026
115,0,0,5,1,499,2.9702,0.027
116,0,0,5,1,517,3.0774,0.028
117,0,0,5,1,512,3.0476,0.027
118,0,0,5,1,508,3.0238,0.026
119,0,0,5,1,508,3.0238,0.028
120,0,0,5,1,462,2.7500,0.023
121,0,0,5,1,504,3.0000,0.026
122,0,0,5,1,483,2.8750,0.025
123,0,0,5,1,516,3.0714,0.029
124,0,0,5,1,497,2.9583,0.024
125,0,0,5,1,500,2.9762,0.026
126,0,0,5,1,488,2.9048,0.025
127,0,0,5,1,551,3.2798,0.031
128,0,0,5,1,501,2.9821,0.024
129,0,0,5,1,545,3.2440,0.030
130,0,0,5,1,467,2.7798,0.023
131,0,0,5,1,513,3.0536,0.092
132,0,0,5,1,500,2.9762,0.025
133,0,0,5,1,515,3.0655,0.028
134,0,0,5,1,513,3.0536,0.031
135,0,0,5,1,478,2.8452,0.026
136,0,0,5,1,539,3.2083,0.027
137,0,0,5,1,508,3.0238,0.027
138,0,0,5,1,492,2.9286,0.026
139,0,0,5,1,470,2.7976,0.027
140,0,0,5,1,481,2.8631,0.026
141,0,0,5,1,494,2.9405,0.024
142,0,0,5,1,501,2.9821,0.025
