seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,416,416,417,705,4.1964,9.000
2,1,6,422,7,707,4.2083,0.096
3,0,0,422,1,649,3.8631,0.034
4,0,0,422,1,656,3.9048,0.035
5,0,0,422,1,644,3.8333,0.035
6,0,0,422,1,672,4.0000,0.038
7,0,0,422,1,652,3.8810,0.038
8,0,0,422,1,649,3.8631,0.038
9,0,0,422,1,681,4.0536,0.039
10,0,0,422,1,699,4.1607,0.041
11,0,0,422,1,668,3.9762,0.036
12,0,0,422,1,702,4.1786,0.037
13,0,0,422,1,664,3.9524,0.035
14,0,0,422,1,640,3.8095,0.040
15,0,0,422,1,669,3.9821,0.039
16,0,0,422,1,706,4.2024,0.041
17,0,0,422,1,654,3.8929,0.039
18,0,0,422,1,698,4.1548,0.039
19,0,0,422,1,661,3.9345,0.035
20,0,0,422,1,592,3.5238,0.032
21,0,0,422,1,662,3.9405,0.036
22,0,0,422,1,657,3.9107,0.036
23,0,0,422,1,645,3.8393,0.036
24,0,0,422,1,682,4.0595,0.039
25,0,0,422,1,693,4.1250,0.041
26,0,0,422,1,696,4.1429,0.041
27,0,0,422,1,632,3.7619,0.034
28,0,0,422,1,681,4.0536,0.035
29,0,0,422,1,624,3.7143,0.035
30,0,0,422,1,684,4.0714,0.040
31,0,0,422,1,697,4.1488,0.040
32,0,0,422,1,731,4.3512,0.042
33,0,0,422,1,641,3.8155,0.035
34,0,0,422,1,655,3.8988,0.036
35,0,0,422,1,662,3.9405,0.034
36,0,0,422,1,684,4.0714,0.037
37,0,0,422,1,675,4.0179,0.037
38,0,0,422,1,631,3.7560,0.037
39,0,0,422,1,674,4.0119,0.038
40,0,0,422,1,676,4.0238,0.038
41,0,0,422,1,670,3.9881,0.039
42,0,0,422,1,667,3.9702,0.038
43,0,0,422,1,649,3.8631,0.036
44,0,0,422,1,666,3.9643,0.036
45,0,0,422,1,670,3.9881,0.035
46,0,0,422,1,673,4.0060,0.037
47,0,0,422,1,657,3.9107,0.037
48,0,0,422,1,672,4.0000,0.037
49,0,0,422,1,698,4.1548,0.041
50,0,0,422,1,626,3.7262,0.035
51,0,0,422,1,659,3.9226,0.037
52,0,0,422,1,658,3.9167,0.035
53,0,0,422,1,718,4.2738,0.038
54,0,0,422,1,645,3.8393,0.036
55,0,0,422,1,658,3.9167,0.037
56,0,0,422,1,670,3.9881,0.037
57,0,0,422,1,663,3.9464,0.037
58,0,0,422,1,674,4.0119,0.038
59,0,0,422,1,655,3.8988,0.036
60,0,0,422,1,686,4.0833,0.037
61,0,0,422,1,660,3.9286,0.034
62,0,0,422,1,641,3.8155,0.036
63,0,0,422,1,641,3.8155,0.035
64,0,0,422,1,663,3.9464,0.037
65,0,0,422,1,673,4.0060,0.037
66,0,0,422,1,668,3.9762,0.040
67,0,0,422,1,684,4.0714,0.038
68,0,0,422,1,638,3.7976,0.034
69,0,0,422,1,684,4.0714,0.037
70,0,0,422,1,659,3.9226,0.035
71,0,0,422,1,658,3.9167,0.038
72,0,0,422,1,646,3.8452,0.036
73,0,0,422,1,650,3.8690,0.036
74,0,0,422,1,646,3.8452,0.036
75,0,0,422,1,655,3.8988,0.037
76,0,0,422,1,668,3.9762,0.035
77,0,0,422,1,650,3.8690,0.034
78,0,0,422,1,701,4.1726,0.038
79,0,0,422,1,628,3.7381,0.034
80,0,0,422,1,688,4.0952,0.040
81,0,0,422,1,674,4.0119,0.038
82,0,0,422,1,672,4.0000,0.038
83,0,0,422,1,719,4.2798,0.041
84,0,0,422,1,688,4.0952,0.036
85,0,0,422,1,673,4.0060,0.036
86,0,0,422,1,668,3.9762,0.036
87,0,0,422,1,659,3.9226,0.037
88,0,0,422,1,709,4.2202,0.040
89,0,0,422,1,662,3.9405,0.038
90,0,0,422,1,654,3.8929,0.037
91,0,0,422,1,689,4.1012,0.035
92,0,0,422,1,669,3.9821,0.035
93,0,0,422,1,705,4.1964,0.040
94,0,0,422,1,669,3.9821,0.037
95,0,0,422,1,664,3.9524,0.036
96,0,0,422,1,655,3.8988,0.038
97,0,0,422,1,658,3.9167,0.038
98,0,0,422,1,637,3.7917,0.033
99,0,0,422,1,663,3.9464,0.036
100,0,0,422,1,672,4.0000,0.038
101,0,0,422,1,633,3.7679,0.035
102,0,0,422,1,652,3.8810,0.037
