seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,3,3,4,611,3.6369,0.1740,0.266
2,0,0,3,1,612,3.6429,0.1680,0.093
3,1,2,5,3,561,3.3393,0.1257,0.116
4,0,0,5,1,568,3.3810,0.1347,0.086
5,0,0,5,1,556,3.3095,0.1363,0.088
6,0,0,5,1,598,3.5595,0.1341,0.097
7,0,0,5,1,566,3.3690,0.1339,0.119
8,0,0,5,1,560,3.3333,0.1221,0.091
9,1,1,6,2,576,3.4286,0.1350,0.107
10,1,1,7,2,615,3.6607,0.1661,0.122
11,1,2,9,3,604,3.5952,0.1704,0.120
12,0,0,9,1,626,3.7262,0.1584,0.102
13,1,1,10,2,576,3.4286,0.1458,0.146
14,0,0,10,1,556,3.3095,0.1368,0.087
15,0,0,10,1,587,3.4940,0.1537,0.095
16,0,0,10,1,623,3.7083,0.1502,0.100
17,1,1,11,2,569,3.3869,0.1303,0.100
18,1,1,12,2,631,3.7560,0.1733,0.138
19,0,0,12,1,585,3.4821,0.1358,0.095
20,1,1,13,2,519,3.0893,0.1124,0.138
21,1,1,14,2,590,3.5119,0.1338,0.141
22,0,0,14,1,582,3.4643,0.1289,0.092
23,1,1,15,2,568,3.3810,0.1451,0.181
24,0,0,15,1,589,3.5060,0.1476,0.095
25,0,0,15,1,611,3.6369,0.1414,0.100
26,0,0,15,1,611,3.6369,0.1411,0.099
27,1,1,16,2,559,3.3274,0.1313,0.170
28,0,0,16,1,603,3.5893,0.1352,0.096
29,0,0,16,1,542,3.2262,0.1386,0.085
30,1,1,17,2,610,3.6310,0.1639,0.114
31,0,0,17,1,614,3.6548,0.1461,0.100
32,0,0,17,1,636,3.7857,0.1606,0.096
33,1,1,18,2,562,3.3452,0.1232,0.129
34,0,0,18,1,580,3.4524,0.1431,0.089
35,0,0,18,1,586,3.4881,0.1388,0.088
36,0,0,18,1,595,3.5417,0.1345,0.090
37,0,0,18,1,600,3.5714,0.1362,0.095
38,0,0,18,1,563,3.3512,0.1280,0.083
39,0,0,18,1,585,3.4821,0.1430,0.088
40,0,0,18,1,583,3.4702,0.1591,0.089
41,0,0,18,1,586,3.4881,0.1363,0.090
42,0,0,18,1,593,3.5298,0.1385,0.090
43,0,0,18,1,568,3.3810,0.1403,0.083
44,0,0,18,1,589,3.5060,0.1564,0.088
45,0,0,18,1,583,3.4702,0.1446,0.086
46,0,0,18,1,588,3.5000,0.1407,0.089
47,1,1,19,2,580,3.4524,0.1424,0.146
48,1,5,24,6,608,3.6190,0.1455,0.182
49,0,0,24,1,595,3.5417,0.1347,0.086
50,0,0,24,1,571,3.3988,0.1252,0.085
51,1,1,25,2,582,3.4643,0.1483,0.102
52,1,1,26,2,575,3.4226,0.1200,0.105
53,1,2,28,3,640,3.8095,0.1615,0.193
54,1,2,30,3,558,3.3214,0.1330,0.149
55,0,0,30,1,577,3.4345,0.1303,0.086
56,0,0,30,1,575,3.4226,0.1265,0.086
57,0,0,30,1,591,3.5179,0.1323,0.085
58,0,0,30,1,579,3.4464,0.1473,0.086
59,0,0,30,1,565,3.3631,0.1257,0.083
60,1,2,32,3,613,3.6488,0.1581,0.212
61,1,2,34,3,574,3.4167,0.1506,0.135
62,0,0,34,1,564,3.3571,0.1430,0.087
63,0,0,34,1,553,3.2917,0.1075,0.079
64,0,0,34,1,568,3.3810,0.1490,0.085
65,0,0,34,1,575,3.4226,0.1323,0.086
66,1,6,40,7,580,3.4524,0.1535,0.486
67,0,0,40,1,602,3.5833,0.1258,0.088
68,0,0,40,1,559,3.3274,0.1256,0.084
69,0,0,40,1,598,3.5595,0.1665,0.094
70,0,0,40,1,583,3.4702,0.1325,0.089
71,0,0,40,1,557,3.3155,0.1343,0.084
72,0,0,40,1,556,3.3095,0.1169,0.087
73,0,0,40,1,575,3.4226,0.1218,0.093
74,1,1,41,2,575,3.4226,0.1513,0.157
75,0,0,41,1,574,3.4167,0.1319,0.087
76,0,0,41,1,568,3.3810,0.1470,0.086
77,0,0,41,1,566,3.3690,0.1297,0.085
78,0,0,41,1,617,3.6726,0.1658,0.091
79,0,0,41,1,557,3.3155,0.1359,0.082
80,0,0,41,1,593,3.5298,0.1548,0.090
81,0,0,41,1,594,3.5357,0.1352,0.089
82,0,0,41,1,610,3.6310,0.1622,0.093
83,0,0,41,1,624,3.7143,0.1366,0.095
84,0,0,41,1,601,3.5774,0.1396,0.093
85,0,0,41,1,599,3.5655,0.1451,0.093
86,0,0,41,1,584,3.4762,0.1466,0.085
87,0,0,41,1,579,3.4464,0.1299,0.088
88,0,0,41,1,624,3.7143,0.1506,0.096
89,0,0,41,1,578,3.4405,0.1216,0.086
90,0,0,41,1,584,3.4762,0.1525,0.088
91,0,0,41,1,572,3.4048,0.1265,0.085
92,0,0,41,1,589,3.5060,0.1457,0.088
93,0,0,41,1,616,3.6667,0.1455,0.093
94,0,0,41,1,576,3.4286,0.1445,0.085
95,0,0,41,1,569,3.3869,0.1355,0.084
96,0,0,41,1,570,3.3929,0.1385,0.086
97,0,0,41,1,576,3.4286,0.1207,0.093
98,0,0,41,1,563,3.3512,0.1453,0.083
99,0,0,41,1,588,3.5000,0.1409,0.089
100,0,0,41,1,601,3.5774,0.1373,0.091
