seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,32,32,29,1047,6.2321,1.1921,4.042
2,1,178,210,175,1045,6.2202,1.5583,55.779
3,1,2,212,3,995,5.9226,0.7317,0.645
4,1,4,216,5,981,5.8393,0.7210,0.747
5,1,15,231,16,982,5.8452,0.7892,2.580
6,1,56,287,57,996,5.9286,0.8720,12.041
7,1,2,289,3,984,5.8571,0.8382,0.499
8,0,0,289,1,1001,5.9583,0.8092,0.258
9,1,173,462,173,1022,6.0833,1.1200,25.888
10,0,0,462,1,1046,6.2262,1.9395,0.334
11,0,0,462,1,1022,6.0833,1.0823,0.281
12,0,0,462,1,1021,6.0774,1.2419,0.295
13,1,1,463,2,973,5.7917,0.7556,0.417
14,1,48,511,49,974,5.7976,0.8294,6.162
15,0,0,511,1,1006,5.9881,1.6611,0.316
16,1,21,532,22,1011,6.0179,0.9743,5.749
17,1,92,624,90,1011,6.0179,1.3449,22.211
18,1,420,1044,418,1030,6.1310,2.0614,107.178
19,0,0,1044,1,989,5.8869,0.8524,0.316
20,0,0,1044,1,941,5.6012,0.7580,0.275
21,1,1,1045,2,971,5.7798,0.6224,0.462
22,1,25,1070,26,959,5.7083,0.5560,3.994
23,1,7,1077,8,988,5.8810,1.0736,1.655
24,0,0,1077,1,996,5.9286,1.1521,0.355
25,1,56,1133,57,1036,6.1667,1.4200,20.119
26,0,0,1133,1,990,5.8929,0.8714,0.324
27,1,2,1135,3,982,5.8452,0.7243,0.910
28,0,0,1135,1,988,5.8810,0.7888,0.314
29,0,0,1135,1,958,5.7024,0.5354,0.283
30,0,0,1135,1,1034,6.1548,1.4118,0.376
31,1,6,1141,7,1044,6.2143,1.0423,2.356
32,1,2119,3260,2000,426,2.5357,1.7174,745.936
33,0,0,3260,1,977,5.8155,0.7234,0.534
34,0,0,3260,1,962,5.7262,0.6637,0.554
35,0,0,3260,1,1016,6.0476,0.8056,0.624
36,1,1,3261,2,1021,6.0774,1.3051,0.901
