seed,deadlock_found,new_constraints,total_constraints,iterations,trains_per_hr,cpu_time
1,1,2000,2000,2000,0.5952,67.606
2,1,2000,4000,2000,0.0000,42.837
3,1,2000,6000,2000,0.0000,66.553
4,1,2000,8000,2000,0.0000,27.861
5,1,2000,10000,2000,0.0000,73.409
6,1,2000,12000,2000,0.0000,96.657
7,1,2000,14000,2000,0.0000,38.626
8,1,2000,16000,2000,0.0000,118.074
9,1,1177,17177,1178,4.0417,326.959
10,0,0,17177,1,4.1548,1.329
11,0,0,17177,1,4.0119,1.175
12,0,0,17177,1,4.1607,1.925
13,0,0,17177,1,3.9167,0.954
14,0,0,17177,1,3.8095,0.879
15,0,0,17177,1,3.9940,1.140
16,0,0,17177,1,4.2083,1.347
17,0,0,17177,1,3.8929,1.760
18,0,0,17177,1,4.1726,1.167
19,0,0,17177,1,3.9405,1.608
20,0,0,17177,1,3.5417,0.797
21,0,0,17177,1,3.9405,1.388
22,0,0,17177,1,3.9286,0.930
23,0,0,17177,1,3.8393,0.652
24,0,0,17177,1,4.0833,0.782
25,0,0,17177,1,4.1190,0.785
26,0,0,17177,1,4.1369,0.930
27,0,0,17177,1,3.7738,0.657
28,0,0,17177,1,4.0655,1.494
29,0,0,17177,1,3.7321,0.861
30,0,0,17177,1,4.1369,1.280
31,0,0,17177,1,4.1548,0.977
32,0,0,17177,1,4.3690,2.439
33,0,0,17177,1,3.7976,0.907
34,0,0,17177,1,3.8810,1.310
35,0,0,17177,1,3.9643,1.567
36,0,0,17177,1,4.0536,0.839
37,0,0,17177,1,4.0536,0.796
38,0,0,17177,1,3.7738,1.126
39,0,0,17177,1,4.0119,1.404
40,0,0,17177,1,4.0298,1.476
41,0,0,17177,1,4.0119,1.417
42,0,0,17177,1,3.9762,1.024
43,0,0,17177,1,3.8214,0.930
44,0,0,17177,1,3.9940,1.145
45,0,0,17177,1,4.0000,1.741
46,0,0,17177,1,3.9881,0.994
47,0,0,17177,1,3.8869,0.707
48,0,0,17177,1,4.0060,0.522
49,0,0,17177,1,4.1548,0.861
50,0,0,17177,1,3.7381,0.493
51,0,0,17177,1,3.9167,0.694
52,0,0,17177,1,3.9226,0.780
53,0,0,17177,1,4.2976,1.034
54,0,0,17177,1,3.7976,0.878
55,0,0,17177,1,3.9107,0.884
56,0,0,17177,1,4.0060,0.693
57,0,0,17177,1,3.9464,0.880
58,0,0,17177,1,3.9940,1.061
59,0,0,17177,1,3.8869,0.710
60,0,0,17177,1,4.0774,0.811
61,0,0,17177,1,3.9405,1.216
62,0,0,17177,1,3.8036,0.877
63,0,0,17177,1,3.8274,0.889
64,0,0,17177,1,3.9286,0.825
65,0,0,17177,1,3.9940,1.052
66,0,0,17177,1,3.9524,0.809
67,0,0,17177,1,4.0774,1.001
68,0,0,17177,1,3.7798,0.804
69,0,0,17177,1,4.0893,0.793
70,0,0,17177,1,3.9286,1.009
71,0,0,17177,1,3.8988,1.182
72,0,0,17177,1,3.8571,0.918
73,0,0,17177,1,3.8452,1.216
74,0,0,17177,1,3.8333,1.105
75,0,0,17177,1,3.8929,1.108
76,0,0,17177,1,3.9524,1.124
77,0,0,17177,1,3.8690,1.041
78,0,0,17177,1,4.1786,0.758
79,0,0,17177,1,3.7619,0.643
80,0,0,17177,1,4.0893,0.782
81,0,0,17177,1,4.0000,0.693
82,0,0,17177,1,4.0238,0.838
83,0,0,17177,1,4.2619,0.951
84,0,0,17177,1,4.1131,1.133
85,0,0,17177,1,4.0238,0.817
86,0,0,17177,1,3.9464,1.334
87,0,0,17177,1,3.9286,1.293
88,0,0,17177,1,4.2321,1.165
89,0,0,17177,1,3.9167,0.995
90,0,0,17177,1,3.9226,1.310
91,0,0,17177,1,4.0655,0.979
92,0,0,17177,1,4.0179,0.725
93,0,0,17177,1,4.1964,2.352
94,0,0,17177,1,3.9821,1.674
95,0,0,17177,1,3.9702,0.809
96,0,0,17177,1,3.8512,1.839
97,0,0,17177,1,3.9345,1.134
98,0,0,17177,1,3.8036,0.943
99,0,0,17177,1,3.9762,1.002
100,0,0,17177,1,4.0417,0.774
101,0,0,17177,1,3.7857,0.751
102,0,0,17177,1,3.8869,0.707
103,0,0,17177,1,4.1548,0.728
104,0,0,17177,1,4.3274,1.382
105,0,0,17177,1,3.8929,0.930
106,0,0,17177,1,3.7679,1.324
107,0,0,17177,1,3.7857,2.137
108,0,0,17177,1,3.9464,1.082
109,0,0,17177,1,4.2381,1.409
