seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2046,2046,2000,140,0.8333,61.002
2,1,2013,4059,2000,417,2.4821,226.613
3,1,619,4678,620,678,4.0357,116.404
4,1,937,5615,937,683,4.0655,230.882
5,1,2002,7617,2000,262,1.5595,399.212
6,1,1488,9105,1481,709,4.2202,468.487
7,1,2002,11107,2000,436,2.5952,608.748
8,1,2000,13107,2000,125,0.7440,566.326
9,1,2000,15107,2000,81,0.4821,442.716
10,1,2004,17111,2000,534,3.1786,1991.471
11,1,2000,19111,2000,111,0.6607,708.754
12,1,2000,21111,2000,254,1.5119,1403.289
