constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_0,1,,,,,
dl_0,29,West_exit,28,18,0.8,0
dl_0,26,East_exit,27,19,0.8,0
dl_1,1,,,,,
dl_1,26,East_exit,26,18,0.8,0
dl_1,29,West_exit,28,18,0.8,0
dl_1,28,West_exit,28,18,0.8,0
dl_2,1,,,,,
dl_2,29,West_exit,27,18,0.8,0
dl_2,26,East_exit,28,19,0.8,0
dl_3,1,,,,,
dl_3,27,West_exit,27,18,0.8,0
dl_3,29,West_exit,27,18,0.8,0
dl_3,26,East_exit,26,18,0.8,0
dl_4,1,,,,,
dl_4,29,West_exit,29,19,0.8,0
dl_4,26,East_exit,28,19,0.8,0
dl_4,28,East_exit,28,19,0.8,0
dl_5,1,,,,,
dl_5,29,West_exit,29,19,0.8,0
dl_5,27,East_exit,27,19,0.8,0
dl_5,26,East_exit,27,19,0.8,0
dl_6,1,,,,,
dl_6,29,West_exit,29,19,0.8,0
dl_6,26,East_exit,26,18,0.8,0
dl_7,2,,,,,
dl_7,25,West_exit_short,25,16,0.44,0
dl_7,29,West_exit,28,18,0.8,0
dl_7,28,West_exit,28,18,0.8,0
dl_7,23,East_exit,24,17,0.8,0
dl_8,2,,,,,
dl_8,25,West_exit_short,25,16,0.44,0
dl_8,27,West_exit,27,18,0.8,0
dl_8,29,West_exit,27,18,0.8,0
dl_8,23,East_exit,24,17,0.8,0
dl_9,2,,,,,
dl_9,25,West_exit_short,25,16,0.44,0
dl_9,23,East_exit,24,17,0.8,0
dl_9,29,West_exit,29,19,0.8,0
dl_10,2,,,,,
dl_10,25,West_exit_short,25,16,0.44,0
dl_10,29,West_exit,28,18,0.8,0
dl_10,28,West_exit,28,18,0.8,0
dl_10,23,East_exit,23,16,0.8,0
dl_11,2,,,,,
dl_11,25,West_exit_short,25,16,0.44,0
dl_11,27,West_exit,27,18,0.8,0
dl_11,29,West_exit,27,18,0.8,0
dl_11,23,East_exit,23,16,0.8,0
dl_12,2,,,,,
dl_12,25,West_exit_short,25,16,0.44,0
dl_12,23,East_exit,23,16,0.8,0
dl_12,29,West_exit,29,19,0.8,0
dl_13,1,,,,,
dl_13,32,West_exit,31,20,0.8,0
dl_13,29,East_exit,30,21,0.8,0
dl_14,1,,,,,
dl_14,32,West_exit,31,20,0.8,0
dl_14,31,West_exit,31,20,0.8,0
dl_14,29,East_exit,29,20,0.8,0
dl_15,1,,,,,
dl_15,32,West_exit,31,20,0.8,0
dl_15,31,West_exit,31,20,0.8,0
dl_15,26,East_exit,28,19,0.8,0
dl_15,28,East_exit,28,19,0.8,0
dl_16,1,,,,,
dl_16,32,West_exit,31,20,0.8,0
dl_16,31,West_exit,31,20,0.8,0
dl_16,27,East_exit,27,19,0.8,0
dl_16,26,East_exit,27,19,0.8,0
dl_17,1,,,,,
dl_17,32,West_exit,31,20,0.8,0
dl_17,31,West_exit,31,20,0.8,0
dl_17,26,East_exit,26,18,0.8,0
dl_18,2,,,,,
dl_18,25,West_exit_short,25,16,0.44,0
dl_18,23,East_exit,24,17,0.8,0
dl_18,32,West_exit,31,20,0.8,0
dl_18,31,West_exit,31,20,0.8,0
dl_19,2,,,,,
