segment1,segment2
3,4
4,3
6,7
7,6
9,10
10,9
12,13
13,12
15,16
16,15
18,19
19,18
21,22
22,21
24,25
25,24
27,28
28,27
30,31
31,30
0,1
1,0
33,34
34,33
