seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,12,12,12,968,5.7619,1.970
2,1,6,18,7,964,5.7381,0.797
3,1,6,24,7,915,5.4464,1.134
4,1,5,29,6,902,5.3690,0.470
5,1,6,35,7,903,5.3750,0.926
6,1,1,36,2,929,5.5298,0.226
7,0,0,36,1,909,5.4107,0.321
8,1,3,39,4,915,5.4464,0.580
9,1,6,45,7,934,5.5595,0.605
10,1,2,47,3,951,5.6607,0.490
11,1,1,48,2,945,5.6250,0.288
12,0,0,48,1,948,5.6429,0.232
13,0,0,48,1,886,5.2738,0.194
14,1,1,49,2,893,5.3155,0.232
15,1,185,234,182,929,5.5298,20.728
16,0,0,234,1,933,5.5536,0.212
17,0,0,234,1,931,5.5417,0.253
18,0,0,234,1,968,5.7619,0.290
19,0,0,234,1,913,5.4345,0.236
20,0,0,234,1,860,5.1190,0.216
21,1,1,235,2,882,5.2500,0.363
22,0,0,235,1,881,5.2440,0.249
23,0,0,235,1,910,5.4167,0.219
24,0,0,235,1,924,5.5000,0.214
25,1,1,236,2,949,5.6488,0.422
26,0,0,236,1,931,5.5417,0.224
27,0,0,236,1,897,5.3393,0.210
28,0,0,236,1,899,5.3512,0.206
29,1,1,237,2,875,5.2083,0.291
30,0,0,237,1,944,5.6190,0.274
31,0,0,237,1,959,5.7083,0.340
32,0,0,237,1,996,5.9286,0.346
33,0,0,237,1,903,5.3750,0.292
34,0,0,237,1,881,5.2440,0.186
35,0,0,237,1,938,5.5833,0.218
36,0,0,237,1,951,5.6607,0.246
37,0,0,237,1,922,5.4881,0.226
38,0,0,237,1,887,5.2798,0.208
39,1,3,240,4,938,5.5833,0.791
40,1,1,241,2,943,5.6131,0.459
41,0,0,241,1,915,5.4464,0.226
42,1,327,568,323,910,5.4167,20.076
43,0,0,568,1,903,5.3750,0.214
44,1,26,594,27,928,5.5238,5.197
45,0,0,594,1,936,5.5714,0.268
46,0,0,594,1,922,5.4881,0.249
47,0,0,594,1,901,5.3631,0.221
48,0,0,594,1,945,5.6250,0.255
49,0,0,594,1,970,5.7738,0.246
50,0,0,594,1,879,5.2321,0.208
51,0,0,594,1,955,5.6845,0.244
52,0,0,594,1,923,5.4940,0.248
53,0,0,594,1,976,5.8095,0.241
54,0,0,594,1,898,5.3452,0.211
55,0,0,594,1,891,5.3036,0.206
56,1,1,595,2,952,5.6667,0.282
57,0,0,595,1,897,5.3393,0.217
58,0,0,595,1,914,5.4405,0.210
59,0,0,595,1,911,5.4226,0.238
60,0,0,595,1,937,5.5774,0.213
61,1,3,598,4,933,5.5536,0.807
62,0,0,598,1,877,5.2202,0.219
63,1,1,599,2,890,5.2976,0.223
64,0,0,599,1,892,5.3095,0.223
65,0,0,599,1,940,5.5952,0.239
66,0,0,599,1,926,5.5119,0.222
67,1,7,606,8,952,5.6667,1.537
68,0,0,606,1,899,5.3512,0.221
69,0,0,606,1,943,5.6131,0.248
70,0,0,606,1,889,5.2917,0.213
71,0,0,606,1,915,5.4464,0.225
72,0,0,606,1,875,5.2083,0.220
73,0,0,606,1,883,5.2560,0.229
74,0,0,606,1,884,5.2619,0.207
75,1,341,947,341,904,5.3810,81.147
76,0,0,947,1,933,5.5536,0.252
77,0,0,947,1,897,5.3393,0.250
78,0,0,947,1,956,5.6905,0.250
79,0,0,947,1,881,5.2440,0.218
80,0,0,947,1,916,5.4524,0.249
81,1,1,948,2,898,5.3452,0.330
82,0,0,948,1,917,5.4583,0.234
83,0,0,948,1,985,5.8631,0.268
84,0,0,948,1,959,5.7083,0.298
85,0,0,948,1,938,5.5833,0.246
86,0,0,948,1,889,5.2917,0.231
87,0,0,948,1,887,5.2798,0.261
88,1,3,951,4,973,5.7917,0.799
89,0,0,951,1,908,5.4048,0.266
90,0,0,951,1,923,5.4940,0.246
91,0,0,951,1,931,5.5417,0.242
92,0,0,951,1,919,5.4702,0.310
93,0,0,951,1,969,5.7679,0.263
94,0,0,951,1,959,5.7083,0.271
95,0,0,951,1,900,5.3571,0.223
96,0,0,951,1,905,5.3869,0.227
97,1,2006,2957,2000,0,0.0000,33.682
98,1,2,2959,3,880,5.2381,0.558
99,0,0,2959,1,917,5.4583,0.390
100,0,0,2959,1,903,5.3750,0.397
101,0,0,2959,1,885,5.2679,0.367
102,0,0,2959,1,888,5.2857,0.370
103,0,0,2959,1,925,5.5060,0.397
104,1,316,3275,317,1007,5.9940,109.952
105,0,0,3275,1,894,5.3214,0.374
106,0,0,3275,1,893,5.3155,0.386
107,0,0,3275,1,897,5.3393,0.390
108,0,0,3275,1,942,5.6071,0.440
109,1,5,3280,5,967,5.7560,1.446
110,0,0,3280,1,929,5.5298,0.388
111,0,0,3280,1,937,5.5774,0.400
112,0,0,3280,1,941,5.6012,0.404
113,0,0,3280,1,937,5.5774,0.417
114,0,0,3280,1,947,5.6369,0.429
115,0,0,3280,1,942,5.6071,0.423
116,0,0,3280,1,947,5.6369,0.452
117,0,0,3280,1,977,5.8155,0.422
118,0,0,3280,1,933,5.5536,0.407
119,0,0,3280,1,940,5.5952,0.424
120,0,0,3280,1,876,5.2143,0.359
121,1,2,3282,3,930,5.5357,0.745
122,0,0,3282,1,908,5.4048,0.426
123,0,0,3282,1,903,5.3750,0.458
124,0,0,3282,1,911,5.4226,0.372
125,0,0,3282,1,899,5.3512,0.406
