seed,after_deadlock,after_dl_time,after_throughput,after_drained_clear,before_deadlock,before_dl_time,before_throughput,before_drained_clear
100157,0,197.00,5.8690,1,,,,
100158,0,196.00,5.9583,1,,,,
100159,0,199.00,6.0833,1,,,,
100160,0,196.00,5.6786,1,,,,
100161,0,195.00,5.7976,1,,,,
100162,0,195.00,5.7976,1,,,,
100163,0,195.00,6.0893,1,,,,
100164,0,196.00,6.1131,1,,,,
100165,0,195.00,6.0060,1,,,,
100166,0,196.00,5.9940,1,,,,
100167,0,200.00,6.1131,1,,,,
100168,0,200.00,5.8631,1,,,,
100169,0,195.00,5.7381,1,,,,
100170,0,194.00,5.9345,1,,,,
100171,0,197.00,6.0060,1,,,,
100172,0,195.00,5.9881,1,,,,
100173,0,195.00,5.8512,1,,,,
100174,0,195.00,6.1310,1,,,,
100175,1,79.00,1.9464,0,,,,
100176,0,197.00,6.1429,1,,,,
100177,0,195.00,6.2976,1,,,,
100178,0,195.00,6.1310,1,,,,
100179,0,194.00,6.0476,1,,,,
100180,1,195.00,5.7619,0,,,,
100181,1,172.00,5.2976,0,,,,
100182,1,74.00,1.6726,0,,,,
100183,0,199.00,6.0357,1,,,,
100184,0,198.00,5.9821,1,,,,
100185,1,178.00,5.4702,0,,,,
100186,0,194.00,5.7619,1,,,,
100187,0,195.00,5.5774,1,,,,
100188,1,30.00,0.1726,0,,,,
100189,0,196.00,5.6310,1,,,,
100190,0,198.00,5.9286,1,,,,
100191,0,197.00,6.2321,1,,,,
100192,0,195.00,6.1964,1,,,,
100193,0,197.00,5.8333,1,,,,
100194,1,99.00,2.6190,0,,,,
100195,0,197.00,6.0595,1,,,,
100196,1,13.00,0.0000,0,,,,
100197,0,194.00,5.9762,1,,,,
100198,1,36.00,0.4226,0,,,,
100199,0,195.00,5.9881,1,,,,
100200,1,136.00,4.0000,0,,,,
100201,1,86.00,2.1845,0,,,,
100202,0,195.00,5.7262,1,,,,
100203,0,194.00,5.7679,1,,,,
100204,0,196.00,5.8214,1,,,,
100205,1,25.00,0.0238,0,,,,
100206,1,132.00,3.8393,0,,,,
100207,0,195.00,6.0595,1,,,,
100208,0,194.00,6.0060,1,,,,
100209,0,196.00,5.8988,1,,,,
100210,1,157.00,4.5238,0,,,,
100211,0,199.00,5.9762,1,,,,
100212,0,195.00,5.6964,1,,,,
100213,0,196.00,6.0000,1,,,,
100214,0,195.00,6.0357,1,,,,
100215,0,196.00,5.8274,1,,,,
100216,1,31.00,0.2083,0,,,,
100217,1,52.00,0.8869,0,,,,
100218,0,196.00,6.0417,1,,,,
100219,0,198.00,6.1071,1,,,,
100220,1,111.00,2.8929,0,,,,
100221,0,195.00,5.8810,1,,,,
100222,0,195.00,5.8095,1,,,,
100223,0,197.00,6.1071,1,,,,
100224,1,126.00,3.6131,0,,,,
100225,1,130.00,3.7857,0,,,,
100226,0,197.00,6.0060,1,,,,
100227,0,195.00,6.1190,1,,,,
100228,0,198.00,5.5774,1,,,,
100229,0,196.00,5.8393,1,,,,
100230,0,195.00,5.9702,1,,,,
100231,0,195.00,5.9762,1,,,,
100232,0,198.00,6.0357,1,,,,
100233,0,195.00,5.7440,1,,,,
100234,0,195.00,6.2143,1,,,,
100235,0,196.00,6.1726,1,,,,
100236,0,196.00,5.8512,1,,,,
100237,1,23.00,0.0000,0,,,,
100238,0,195.00,6.0000,1,,,,
100239,0,196.00,5.9940,1,,,,
100240,0,196.00,5.8988,1,,,,
100241,0,197.00,5.8810,1,,,,
100242,0,194.00,6.0060,1,,,,
100243,0,194.00,6.1369,1,,,,
100244,0,195.00,6.0536,1,,,,
100245,0,196.00,5.9643,1,,,,
100246,0,195.00,5.9524,1,,,,
100247,0,195.00,5.5476,1,,,,
100248,0,196.00,5.7143,1,,,,
100249,1,46.00,0.7202,0,,,,
100250,1,51.00,0.8988,0,,,,
100251,0,194.00,5.8571,1,,,,
100252,0,198.00,6.0417,1,,,,
100253,1,83.00,2.1429,0,,,,
100254,1,13.00,0.0000,0,,,,
100255,0,194.00,5.7143,1,,,,
100256,0,196.00,5.8869,1,,,,
100257,0,196.00,5.9643,1,,,,
100258,0,196.00,5.8333,1,,,,
100259,0,196.00,5.8750,1,,,,
100260,1,61.00,1.2560,0,,,,
100261,0,197.00,5.7500,1,,,,
100262,1,45.00,0.7083,0,,,,
100263,0,196.00,5.8036,1,,,,
100264,0,194.00,6.0060,1,,,,
100265,0,195.00,5.9405,1,,,,
100266,0,195.00,5.9405,1,,,,
100267,0,196.00,5.7798,1,,,,
100268,0,199.00,6.0119,1,,,,
100269,1,153.00,4.7143,0,,,,
100270,0,194.00,6.1012,1,,,,
100271,1,33.00,0.2857,0,,,,
100272,0,195.00,6.0238,1,,,,
100273,0,194.00,5.6071,1,,,,
100274,0,195.00,5.9524,1,,,,
100275,0,194.00,6.3452,1,,,,
100276,1,41.00,0.5655,0,,,,
100277,1,78.00,1.8452,0,,,,
100278,0,195.00,5.9286,1,,,,
100279,0,196.00,5.9345,1,,,,
100280,1,124.00,3.4702,0,,,,
100281,0,196.00,5.6786,1,,,,
100282,0,200.00,6.0238,1,,,,
100283,0,194.00,6.1012,1,,,,
100284,0,197.00,5.7560,1,,,,
100285,0,195.00,6.1071,1,,,,
100286,0,197.00,5.9345,1,,,,
100287,0,195.00,5.9405,1,,,,
100288,0,195.00,5.8571,1,,,,
100289,1,24.00,0.0000,0,,,,
100290,0,195.00,5.8512,1,,,,
100291,1,98.00,2.7321,0,,,,
100292,0,197.00,5.9583,1,,,,
100293,1,112.00,3.1012,0,,,,
100294,0,195.00,5.8274,1,,,,
100295,0,194.00,5.7917,1,,,,
100296,0,195.00,6.0357,1,,,,
100297,0,198.00,5.9167,1,,,,
100298,0,196.00,6.0179,1,,,,
100299,0,194.00,5.8869,1,,,,
100300,0,199.00,5.8036,1,,,,
100301,0,195.00,6.2202,1,,,,
100302,0,194.00,6.0774,1,,,,
100303,0,196.00,5.8155,1,,,,
100304,1,99.00,2.6786,0,,,,
100305,0,195.00,5.9107,1,,,,
100306,0,194.00,6.2381,1,,,,
100307,0,194.00,6.0298,1,,,,
100308,0,196.00,5.9583,1,,,,
100309,0,195.00,5.7321,1,,,,
100310,0,195.00,5.8393,1,,,,
100311,0,196.00,6.1429,1,,,,
100312,0,196.00,5.9881,1,,,,
100313,0,196.00,5.8929,1,,,,
100314,0,194.00,6.1607,1,,,,
100315,0,197.00,5.8155,1,,,,
100316,0,195.00,6.0536,1,,,,
100317,0,196.00,6.0060,1,,,,
100318,0,194.00,5.8214,1,,,,
100319,0,197.00,6.1310,1,,,,
100320,0,198.00,5.6488,1,,,,
100321,0,195.00,5.9762,1,,,,
100322,0,196.00,5.9464,1,,,,
100323,0,195.00,5.9940,1,,,,
100324,1,91.00,2.3631,0,,,,
100325,0,196.00,5.7619,1,,,,
100326,0,195.00,6.1369,1,,,,
100327,1,101.00,2.5655,0,,,,
100328,0,195.00,6.1667,1,,,,
100329,0,194.00,5.7024,1,,,,
100330,0,195.00,5.9345,1,,,,
100331,0,196.00,5.9405,1,,,,
100332,0,195.00,5.9048,1,,,,
100333,0,202.00,5.9107,1,,,,
100334,0,196.00,5.8393,1,,,,
100335,0,194.00,6.0357,1,,,,
100336,0,196.00,5.8988,1,,,,
100337,0,195.00,6.1548,1,,,,
100338,0,194.00,6.1190,1,,,,
100339,1,110.00,2.8929,0,,,,
100340,0,196.00,6.1310,1,,,,
100341,0,195.00,5.9226,1,,,,
100342,1,116.00,3.4226,0,,,,
100343,0,195.00,5.9107,1,,,,
100344,0,194.00,6.2024,1,,,,
100345,1,25.00,0.0119,0,,,,
100346,0,196.00,5.9464,1,,,,
100347,0,195.00,5.7024,1,,,,
100348,0,196.00,5.8869,1,,,,
100349,1,86.00,2.2440,0,,,,
100350,1,93.00,2.5298,0,,,,
100351,0,195.00,6.1250,1,,,,
100352,1,55.00,1.0893,0,,,,
100353,0,201.00,6.0536,1,,,,
100354,0,196.00,6.0060,1,,,,
100355,0,195.00,5.8810,1,,,,
100356,1,82.00,1.9167,0,,,,
100357,0,194.00,5.7738,1,,,,
100358,0,197.00,6.1429,1,,,,
100359,1,182.00,5.4524,0,,,,
100360,0,196.00,6.3452,1,,,,
100361,0,194.00,6.1190,1,,,,
100362,1,119.00,3.1429,0,,,,
100363,0,194.00,5.8988,1,,,,
100364,0,194.00,5.9107,1,,,,
100365,1,190.00,5.6845,0,,,,
100366,0,196.00,6.1488,1,,,,
100367,0,197.00,5.8393,1,,,,
100368,0,196.00,5.7798,1,,,,
100369,0,196.00,6.0179,1,,,,
100370,1,79.00,1.9643,0,,,,
100371,0,196.00,5.8333,1,,,,
100372,0,197.00,5.9107,1,,,,
100373,0,197.00,5.7857,1,,,,
100374,0,195.00,6.0595,1,,,,
100375,1,96.00,2.6310,0,,,,
100376,0,194.00,5.7619,1,,,,
100377,0,195.00,5.9286,1,,,,
100378,1,6.00,0.0000,0,,,,
100379,0,194.00,6.1488,1,,,,
100380,0,195.00,6.0238,1,,,,
100381,0,196.00,5.9048,1,,,,
100382,0,195.00,6.0119,1,,,,
100383,1,122.00,3.5000,0,,,,
100384,0,195.00,5.8631,1,,,,
100385,0,197.00,5.9940,1,,,,
100386,0,199.00,6.1071,1,,,,
100387,0,196.00,5.6071,1,,,,
100388,0,199.00,5.9464,1,,,,
100389,1,193.00,6.0952,0,,,,
100390,1,115.00,3.1429,0,,,,
100391,0,195.00,5.6726,1,,,,
100392,0,196.00,6.0179,1,,,,
100393,0,197.00,6.0536,1,,,,
100394,0,194.00,6.0417,1,,,,
100395,1,158.00,4.8095,0,,,,
100396,0,194.00,6.0536,1,,,,
100397,0,195.00,5.7143,1,,,,
100398,1,88.00,2.3452,0,,,,
100399,0,198.00,6.1964,1,,,,
100400,0,195.00,5.9464,1,,,,
100401,0,197.00,6.0179,1,,,,
100402,0,196.00,6.2500,1,,,,
100403,1,77.00,1.8214,0,,,,
100404,0,198.00,6.1131,1,,,,
100405,0,198.00,5.8929,1,,,,
100406,0,195.00,5.9643,1,,,,
100407,0,196.00,5.7917,1,,,,
100408,0,195.00,6.0417,1,,,,
100409,0,195.00,6.1190,1,,,,
100410,1,27.00,0.0476,0,,,,
100411,0,198.00,5.6071,1,,,,
100412,0,194.00,5.8036,1,,,,
100413,0,195.00,6.0952,1,,,,
100414,1,58.00,1.2262,0,,,,
100415,1,26.00,0.0357,0,,,,
100416,0,195.00,5.8750,1,,,,
100417,1,45.00,0.6071,0,,,,
100418,1,173.00,5.2143,0,,,,
100419,0,195.00,6.0655,1,,,,
100420,0,196.00,6.0417,1,,,,
100421,0,195.00,5.6964,1,,,,
100422,0,194.00,5.8750,1,,,,
100423,0,197.00,5.9167,1,,,,
100424,1,115.00,3.2381,0,,,,
100425,0,199.00,6.1607,1,,,,
100426,0,198.00,6.2381,1,,,,
100427,0,197.00,5.8214,1,,,,
100428,0,196.00,6.0000,1,,,,
100429,1,77.00,1.8274,0,,,,
100430,0,194.00,5.7619,1,,,,
100431,0,195.00,5.9345,1,,,,
100432,0,194.00,5.8155,1,,,,
100433,0,195.00,5.8869,1,,,,
100434,1,138.00,4.2321,0,,,,
100435,0,195.00,5.8810,1,,,,
100436,0,195.00,6.1012,1,,,,
100437,0,195.00,5.8929,1,,,,
100438,0,196.00,6.0833,1,,,,
100439,1,137.00,4.1488,0,,,,
100440,0,196.00,6.1607,1,,,,
100441,0,196.00,5.8274,1,,,,
100442,0,195.00,5.9405,1,,,,
100443,1,79.00,1.8274,0,,,,
100444,0,196.00,5.9345,1,,,,
100445,0,196.00,5.8690,1,,,,
100446,0,195.00,5.7619,1,,,,
100447,1,83.00,2.0060,0,,,,
100448,0,195.00,5.8869,1,,,,
100449,0,195.00,5.8690,1,,,,
100450,0,197.00,6.0893,1,,,,
100451,1,144.00,4.2440,0,,,,
100452,0,196.00,5.9702,1,,,,
100453,1,118.00,3.4821,0,,,,
100454,0,195.00,5.7202,1,,,,
100455,0,196.00,5.9464,1,,,,
100456,0,197.00,6.1607,1,,,,
100457,0,196.00,5.8869,1,,,,
100458,0,195.00,5.9524,1,,,,
100459,0,196.00,6.1369,1,,,,
100460,1,167.00,4.8869,0,,,,
100461,1,91.00,2.2143,0,,,,
100462,1,48.00,0.7679,0,,,,
100463,0,197.00,6.1607,1,,,,
100464,0,194.00,6.2321,1,,,,
100465,1,89.00,2.2917,0,,,,
100466,0,196.00,6.1012,1,,,,
100467,0,194.00,5.9762,1,,,,
100468,0,194.00,5.7679,1,,,,
100469,0,197.00,5.8690,1,,,,
100470,0,195.00,6.2143,1,,,,
100471,0,195.00,5.7619,1,,,,
100472,0,196.00,5.7738,1,,,,
100473,1,176.00,5.5298,0,,,,
100474,0,196.00,6.2976,1,,,,
100475,0,195.00,6.0833,1,,,,
100476,1,31.00,0.1548,0,,,,
100477,1,186.00,5.5119,0,,,,
100478,0,197.00,6.3690,1,,,,
100479,0,195.00,6.0060,1,,,,
100480,0,197.00,6.0476,1,,,,
100481,0,195.00,5.8155,1,,,,
100482,0,194.00,6.1964,1,,,,
100483,0,195.00,5.9940,1,,,,
100484,0,195.00,6.2917,1,,,,
100485,0,197.00,5.6607,1,,,,
100486,0,199.00,6.0357,1,,,,
100487,0,195.00,6.0357,1,,,,
100488,0,194.00,5.7798,1,,,,
100489,0,194.00,5.9464,1,,,,
100490,0,200.00,5.9762,1,,,,
100491,0,194.00,6.1131,1,,,,
100492,0,197.00,6.0179,1,,,,
100493,1,183.00,5.6012,0,,,,
100494,0,195.00,6.2202,1,,,,
100495,1,47.00,0.8036,0,,,,
100496,1,54.00,1.0595,0,,,,
100497,0,194.00,6.2440,1,,,,
100498,1,76.00,1.8214,0,,,,
100499,0,194.00,6.0179,1,,,,
100500,0,196.00,5.9940,1,,,,
100501,0,194.00,6.0357,1,,,,
100502,1,70.00,1.6905,0,,,,
100503,0,196.00,5.9762,1,,,,
100504,0,203.00,6.0952,1,,,,
100505,0,196.00,6.0774,1,,,,
100506,0,197.00,5.8750,1,,,,
100507,0,195.00,5.9286,1,,,,
100508,0,195.00,5.9226,1,,,,
100509,0,195.00,6.0298,1,,,,
100510,0,195.00,6.1488,1,,,,
100511,0,196.00,6.0119,1,,,,
100512,0,196.00,6.1667,1,,,,
100513,0,195.00,6.0595,1,,,,
100514,0,195.00,5.9821,1,,,,
100515,0,194.00,5.9405,1,,,,
100516,0,194.00,5.8988,1,,,,
100517,0,198.00,5.7202,1,,,,
100518,1,30.00,0.1548,0,,,,
100519,0,199.00,5.7262,1,,,,
100520,0,195.00,6.0298,1,,,,
100521,0,195.00,6.0833,1,,,,
100522,0,196.00,5.9464,1,,,,
100523,0,196.00,5.8274,1,,,,
100524,0,195.00,5.7976,1,,,,
100525,0,197.00,6.0238,1,,,,
100526,0,194.00,6.0536,1,,,,
100527,1,65.00,1.4821,0,,,,
100528,0,196.00,5.8750,1,,,,
100529,0,195.00,5.9702,1,,,,
100530,0,195.00,6.0417,1,,,,
100531,1,114.00,3.2857,0,,,,
100532,1,164.00,4.7798,0,,,,
100533,1,130.00,3.5536,0,,,,
100534,1,103.00,2.7917,0,,,,
100535,0,195.00,5.9286,1,,,,
100536,0,202.00,6.1131,1,,,,
100537,0,195.00,5.6964,1,,,,
100538,0,196.00,5.8512,1,,,,
100539,0,196.00,5.9762,1,,,,
100540,0,196.00,6.0595,1,,,,
100541,0,194.00,6.1190,1,,,,
100542,1,92.00,2.4940,0,,,,
100543,1,193.00,5.9167,0,,,,
100544,0,196.00,6.1786,1,,,,
100545,0,195.00,6.0714,1,,,,
100546,1,66.00,1.4167,0,,,,
100547,0,196.00,6.1786,1,,,,
100548,0,197.00,5.8810,1,,,,
100549,1,123.00,3.5833,0,,,,
100550,0,195.00,6.1131,1,,,,
100551,1,121.00,3.5179,0,,,,
100552,0,194.00,5.8036,1,,,,
100553,0,195.00,5.9286,1,,,,
100554,1,164.00,5.0060,0,,,,
100555,0,195.00,5.8155,1,,,,
100556,0,196.00,5.7798,1,,,,
100557,0,195.00,5.5119,1,,,,
100558,0,195.00,5.7917,1,,,,
100559,0,197.00,6.0357,1,,,,
100560,0,196.00,5.9167,1,,,,
100561,0,195.00,5.9226,1,,,,
100562,0,195.00,5.8690,1,,,,
100563,0,199.00,5.7738,1,,,,
100564,0,195.00,5.7917,1,,,,
100565,1,82.00,1.8095,0,,,,
100566,0,195.00,5.5655,1,,,,
100567,0,195.00,5.8214,1,,,,
100568,0,197.00,6.0000,1,,,,
100569,1,158.00,4.8571,0,,,,
100570,0,194.00,5.9702,1,,,,
100571,0,200.00,6.0298,1,,,,
100572,0,196.00,5.5536,1,,,,
100573,0,195.00,5.9107,1,,,,
100574,1,87.00,2.2083,0,,,,
100575,1,124.00,3.5655,0,,,,
100576,0,195.00,6.2262,1,,,,
100577,0,195.00,5.8512,1,,,,
100578,0,196.00,5.9405,1,,,,
100579,1,61.00,1.2857,0,,,,
100580,0,195.00,5.9524,1,,,,
100581,0,195.00,5.9405,1,,,,
100582,0,197.00,5.6667,1,,,,
100583,0,196.00,5.9286,1,,,,
100584,0,195.00,5.6369,1,,,,
100585,0,197.00,6.3333,1,,,,
100586,0,197.00,6.1667,1,,,,
100587,0,195.00,5.8810,1,,,,
100588,0,199.00,6.1845,1,,,,
100589,0,195.00,5.9643,1,,,,
100590,0,196.00,6.1190,1,,,,
100591,0,195.00,5.9643,1,,,,
100592,0,195.00,5.9226,1,,,,
100593,0,197.00,6.1250,1,,,,
100594,0,194.00,5.7143,1,,,,
100595,1,162.00,5.0952,0,,,,
100596,0,194.00,6.1250,1,,,,
100597,0,195.00,6.0119,1,,,,
100598,0,196.00,6.0595,1,,,,
100599,0,194.00,5.9583,1,,,,
100600,0,195.00,6.0714,1,,,,
100601,0,196.00,6.0060,1,,,,
100602,0,194.00,6.2024,1,,,,
100603,0,195.00,5.8690,1,,,,
100604,1,64.00,1.3988,0,,,,
100605,0,194.00,5.9762,1,,,,
100606,0,195.00,5.6786,1,,,,
100607,1,112.00,3.1488,0,,,,
100608,0,195.00,6.0357,1,,,,
100609,0,194.00,5.9881,1,,,,
100610,1,40.00,0.5119,0,,,,
100611,0,195.00,5.6607,1,,,,
100612,0,195.00,5.7976,1,,,,
100613,0,194.00,5.9405,1,,,,
100614,0,197.00,6.2202,1,,,,
100615,0,195.00,5.9940,1,,,,
100616,0,195.00,5.9881,1,,,,
100617,0,194.00,5.5714,1,,,,
100618,0,196.00,5.8095,1,,,,
100619,0,196.00,5.9881,1,,,,
100620,0,195.00,5.8155,1,,,,
100621,0,195.00,5.6726,1,,,,
100622,0,195.00,6.0238,1,,,,
100623,1,50.00,0.9643,0,,,,
100624,0,194.00,6.1250,1,,,,
100625,0,195.00,5.7381,1,,,,
100626,0,195.00,5.7262,1,,,,
100627,0,194.00,5.8988,1,,,,
100628,0,195.00,6.1548,1,,,,
100629,0,195.00,5.8750,1,,,,
100630,0,195.00,5.9881,1,,,,
100631,0,198.00,6.1190,1,,,,
100632,1,85.00,2.1071,0,,,,
100633,0,195.00,6.2738,1,,,,
100634,0,196.00,5.8810,1,,,,
100635,0,196.00,5.8810,1,,,,
100636,0,194.00,6.1250,1,,,,
100637,0,195.00,5.9881,1,,,,
100638,0,196.00,5.6964,1,,,,
100639,0,196.00,5.9345,1,,,,
100640,0,199.00,6.1250,1,,,,
100641,0,195.00,5.7679,1,,,,
100642,0,200.00,5.9226,1,,,,
100643,0,194.00,5.7083,1,,,,
100644,0,196.00,5.7917,1,,,,
100645,1,113.00,3.2679,0,,,,
100646,0,195.00,5.7500,1,,,,
100647,0,196.00,6.1548,1,,,,
100648,0,202.00,6.2917,1,,,,
100649,0,195.00,5.8214,1,,,,
100650,0,200.00,5.9048,1,,,,
100651,1,28.00,0.0893,0,,,,
100652,0,197.00,6.1964,1,,,,
100653,0,194.00,6.2440,1,,,,
100654,1,29.00,0.1012,0,,,,
100655,0,196.00,6.1012,1,,,,
100656,1,170.00,5.0357,0,,,,
100657,1,187.00,5.7619,0,,,,
100658,0,196.00,5.9107,1,,,,
100659,1,125.00,3.5357,0,,,,
100660,0,195.00,6.2738,1,,,,
100661,0,203.00,6.0417,1,,,,
100662,1,145.00,4.2440,0,,,,
100663,0,195.00,6.0238,1,,,,
100664,1,116.00,3.0298,0,,,,
100665,0,195.00,6.1131,1,,,,
100666,0,195.00,5.8512,1,,,,
100667,0,196.00,5.8750,1,,,,
100668,0,195.00,6.0298,1,,,,
100669,1,42.00,0.6310,0,,,,
100670,1,181.00,5.7440,0,,,,
100671,0,196.00,5.6905,1,,,,
100672,1,75.00,1.8036,0,,,,
100673,0,196.00,5.6369,1,,,,
100674,1,6.00,0.0000,0,,,,
100675,0,196.00,5.7798,1,,,,
100676,1,117.00,3.2440,0,,,,
100677,1,38.00,0.4583,0,,,,
100678,0,198.00,6.2619,1,,,,
100679,1,137.00,3.9345,0,,,,
100680,0,194.00,5.9762,1,,,,
100681,0,195.00,6.2321,1,,,,
100682,0,195.00,6.0357,1,,,,
100683,0,196.00,5.8929,1,,,,
100684,0,195.00,5.8631,1,,,,
100685,0,195.00,5.5357,1,,,,
100686,0,195.00,5.6607,1,,,,
100687,1,113.00,3.0655,0,,,,
100688,0,196.00,5.9226,1,,,,
100689,0,195.00,5.8155,1,,,,
100690,0,196.00,6.1369,1,,,,
100691,1,104.00,2.8214,0,,,,
100692,0,197.00,5.7679,1,,,,
100693,1,75.00,1.7560,0,,,,
