seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,0,0,0,1,613,3.6488,0.053
2,1,2,2,3,612,3.6429,0.090
3,0,0,2,1,562,3.3452,0.048
4,0,0,2,1,569,3.3869,0.047
5,1,5,7,5,553,3.2917,0.143
6,0,0,7,1,599,3.5655,0.050
7,1,1,8,2,568,3.3810,0.060
8,0,0,8,1,557,3.3155,0.047
9,1,3,11,4,576,3.4286,0.168
10,0,0,11,1,616,3.6667,0.051
11,0,0,11,1,596,3.5476,0.050
12,0,0,11,1,629,3.7440,0.051
13,0,0,11,1,575,3.4226,0.049
14,0,0,11,1,557,3.3155,0.043
15,0,0,11,1,591,3.5179,0.051
16,0,0,11,1,626,3.7262,0.052
17,0,0,11,1,570,3.3929,0.046
18,1,1,12,2,631,3.7560,0.068
19,0,0,12,1,588,3.5000,0.050
20,0,0,12,1,522,3.1071,0.041
21,0,0,12,1,587,3.4940,0.047
22,0,0,12,1,581,3.4583,0.047
23,0,0,12,1,574,3.4167,0.046
24,0,0,12,1,589,3.5060,0.048
25,0,0,12,1,605,3.6012,0.051
26,0,0,12,1,605,3.6012,0.049
27,0,0,12,1,560,3.3333,0.045
28,0,0,12,1,603,3.5893,0.047
29,0,0,12,1,543,3.2321,0.045
30,0,0,12,1,606,3.6071,0.052
31,0,0,12,1,616,3.6667,0.048
32,0,0,12,1,637,3.7917,0.050
33,0,0,12,1,563,3.3512,0.044
34,0,0,12,1,582,3.4643,0.047
35,0,0,12,1,588,3.5000,0.048
36,0,0,12,1,596,3.5476,0.050
37,0,0,12,1,602,3.5833,0.054
38,0,0,12,1,565,3.3631,0.046
39,0,0,12,1,584,3.4762,0.053
40,0,0,12,1,583,3.4702,0.050
41,0,0,12,1,592,3.5238,0.056
42,0,0,12,1,593,3.5298,0.050
43,0,0,12,1,567,3.3750,0.047
44,1,1,13,2,590,3.5119,0.058
45,0,0,13,1,582,3.4643,0.048
46,0,0,13,1,590,3.5119,0.051
47,0,0,13,1,577,3.4345,0.049
48,0,0,13,1,604,3.5952,0.047
49,0,0,13,1,593,3.5298,0.054
50,0,0,13,1,568,3.3810,0.051
51,0,0,13,1,581,3.4583,0.054
52,0,0,13,1,577,3.4345,0.052
53,0,0,13,1,638,3.7976,0.055
54,0,0,13,1,558,3.3214,0.047
55,0,0,13,1,579,3.4464,0.047
56,0,0,13,1,580,3.4524,0.046
57,0,0,13,1,591,3.5179,0.048
58,0,0,13,1,581,3.4583,0.044
59,0,0,13,1,563,3.3512,0.044
60,0,0,13,1,613,3.6488,0.047
61,1,1,14,2,577,3.4345,0.065
62,0,0,14,1,561,3.3393,0.046
63,0,0,14,1,557,3.3155,0.044
64,0,0,14,1,566,3.3690,0.046
65,0,0,14,1,577,3.4345,0.047
66,0,0,14,1,584,3.4762,0.050
67,0,0,14,1,604,3.5952,0.055
68,0,0,14,1,560,3.3333,0.048
69,1,1,15,2,601,3.5774,0.051
70,0,0,15,1,582,3.4643,0.049
71,0,0,15,1,556,3.3095,0.047
72,0,0,15,1,559,3.3274,0.048
73,0,0,15,1,576,3.4286,0.047
74,0,0,15,1,574,3.4167,0.046
75,1,1,16,2,573,3.4107,0.073
76,0,0,16,1,572,3.4048,0.048
77,0,0,16,1,565,3.3631,0.046
78,0,0,16,1,613,3.6488,0.054
79,0,0,16,1,562,3.3452,0.045
80,0,0,16,1,597,3.5536,0.047
81,0,0,16,1,587,3.4940,0.047
82,0,0,16,1,608,3.6190,0.054
83,0,0,16,1,622,3.7024,0.050
84,1,1,17,2,603,3.5893,0.081
85,0,0,17,1,597,3.5536,0.049
86,0,0,17,1,585,3.4821,0.053
87,0,0,17,1,578,3.4405,0.047
88,0,0,17,1,629,3.7440,0.051
89,0,0,17,1,579,3.4464,0.051
90,0,0,17,1,578,3.4405,0.047
91,0,0,17,1,576,3.4286,0.045
92,0,0,17,1,589,3.5060,0.045
93,0,0,17,1,616,3.6667,0.053
94,0,0,17,1,573,3.4107,0.047
95,0,0,17,1,573,3.4107,0.046
96,0,0,17,1,566,3.3690,0.054
97,0,0,17,1,575,3.4226,0.055
98,1,2,19,3,558,3.3214,0.069
99,0,0,19,1,588,3.5000,0.051
100,0,0,19,1,598,3.5595,0.050
101,0,0,19,1,566,3.3690,0.046
102,0,0,19,1,587,3.4940,0.049
103,0,0,19,1,614,3.6548,0.048
104,0,0,19,1,631,3.7560,0.053
105,0,0,19,1,569,3.3869,0.047
106,0,0,19,1,548,3.2619,0.046
107,0,0,19,1,551,3.2798,0.044
108,0,0,19,1,584,3.4762,0.048
109,0,0,19,1,606,3.6071,0.048
110,0,0,19,1,567,3.3750,0.044
111,0,0,19,1,584,3.4762,0.047
112,0,0,19,1,597,3.5536,0.049
113,0,0,19,1,593,3.5298,0.048
114,0,0,19,1,593,3.5298,0.048
115,0,0,19,1,595,3.5417,0.051
116,0,0,19,1,595,3.5417,0.053
117,0,0,19,1,605,3.6012,0.049
118,0,0,19,1,597,3.5536,0.050
119,0,0,19,1,596,3.5476,0.048
120,0,0,19,1,551,3.2798,0.044
121,0,0,19,1,587,3.4940,0.045
