seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,10,10,11,1046,6.2262,0.5828,0.410
2,1,5,15,6,1047,6.2321,0.5903,0.122
3,0,0,15,1,1007,5.9940,0.4351,0.063
4,1,2,17,3,981,5.8393,0.3790,0.084
5,1,3,20,4,989,5.8869,0.4079,0.233
6,1,1,21,2,994,5.9167,0.4252,0.087
7,1,1,22,2,989,5.8869,0.4275,0.117
8,0,0,22,1,994,5.9167,0.3635,0.061
9,1,3,25,4,1025,6.1012,0.4631,0.246
10,0,0,25,1,1038,6.1786,0.6765,0.067
11,0,0,25,1,1026,6.1071,0.5026,0.064
12,0,0,25,1,1011,6.0179,0.4836,0.065
13,0,0,25,1,980,5.8333,0.3840,0.061
14,0,0,25,1,981,5.8393,0.4429,0.061
15,0,0,25,1,1016,6.0476,0.5920,0.066
16,0,0,25,1,1012,6.0238,0.4300,0.064
17,1,5,30,6,1011,6.0179,0.4614,0.205
18,1,1,31,2,1047,6.2321,0.7833,0.091
19,0,0,31,1,998,5.9405,0.4084,0.062
20,0,0,31,1,947,5.6369,0.4241,0.059
21,0,0,31,1,965,5.7440,0.3465,0.059
22,0,0,31,1,957,5.6964,0.2906,0.057
23,0,0,31,1,982,5.8452,0.5290,0.061
24,0,0,31,1,1009,6.0060,0.4974,0.062
25,0,0,31,1,1040,6.1905,0.5190,0.066
26,1,2,33,3,988,5.8810,0.4568,0.180
27,0,0,33,1,982,5.8452,0.3629,0.060
28,1,1,34,2,989,5.8869,0.4305,0.073
29,0,0,34,1,958,5.7024,0.3156,0.058
30,1,16,50,17,1035,6.1607,0.5057,0.633
31,0,0,50,1,1036,6.1667,0.4267,0.067
32,0,0,50,1,1081,6.4345,0.6850,0.069
33,1,3,53,4,974,5.7976,0.3646,0.238
34,0,0,53,1,961,5.7202,0.3515,0.059
35,0,0,53,1,1015,6.0417,0.3847,0.063
36,0,0,53,1,1030,6.1310,0.5753,0.068
37,0,0,53,1,1016,6.0476,0.5417,0.066
38,0,0,53,1,963,5.7321,0.3354,0.058
39,0,0,53,1,1010,6.0119,0.4048,0.064
40,1,1,54,2,1014,6.0357,0.5501,0.127
41,0,0,54,1,1001,5.9583,0.4298,0.063
42,0,0,54,1,988,5.8810,0.4282,0.061
43,0,0,54,1,973,5.7917,0.3580,0.059
44,0,0,54,1,1025,6.1012,0.5272,0.068
45,0,0,54,1,1022,6.0833,0.6328,0.072
46,0,0,54,1,1007,5.9940,0.4822,0.065
47,0,0,54,1,988,5.8810,0.3775,0.064
48,0,0,54,1,1026,6.1071,0.4542,0.070
49,1,4,58,5,1042,6.2024,0.5739,0.341
50,0,0,58,1,965,5.7440,0.3989,0.062
51,0,0,58,1,1025,6.1012,0.6439,0.069
52,0,0,58,1,1006,5.9881,0.4367,0.062
53,0,0,58,1,1055,6.2798,0.7863,0.074
54,0,0,58,1,980,5.8333,0.3754,0.065
55,0,0,58,1,969,5.7679,0.4164,0.063
56,0,0,58,1,1027,6.1131,0.5803,0.071
57,0,0,58,1,983,5.8512,0.4606,0.062
58,0,0,58,1,982,5.8452,0.4597,0.060
59,0,0,58,1,1005,5.9821,0.4500,0.060
60,0,0,58,1,999,5.9464,0.4546,0.060
61,0,0,58,1,1010,6.0119,0.5352,0.062
62,0,0,58,1,958,5.7024,0.3759,0.058
63,0,0,58,1,980,5.8333,0.3912,0.058
64,0,0,58,1,960,5.7143,0.3652,0.064
65,0,0,58,1,1019,6.0655,0.4894,0.070
66,0,0,58,1,1021,6.0774,0.4289,0.065
67,0,0,58,1,1040,6.1905,0.6251,0.075
68,0,0,58,1,988,5.8810,0.4256,0.067
69,0,0,58,1,1028,6.1190,0.4912,0.074
70,0,0,58,1,969,5.7679,0.3769,0.070
71,0,0,58,1,992,5.9048,0.4496,0.061
72,0,0,58,1,969,5.7679,0.3259,0.067
73,0,0,58,1,962,5.7262,0.3332,0.064
74,1,1,59,2,975,5.8036,0.4040,0.081
75,0,0,59,1,994,5.9167,0.4226,0.072
