seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,1,40,40,41,969,5.7679,0.8583,2.264
2,1,20,60,21,965,5.7440,0.7215,4.021
3,1,4,64,5,911,5.4226,0.4365,1.270
4,1,1,65,2,901,5.3631,0.4951,0.384
5,1,9,74,10,903,5.3750,0.5243,1.746
6,1,1,75,2,927,5.5179,0.5244,0.391
7,1,3,78,4,911,5.4226,0.5279,0.866
8,1,95,173,95,917,5.4583,0.4493,2.146
9,1,39,212,39,936,5.5714,0.6317,5.442
10,0,0,212,1,948,5.6429,0.6993,0.321
11,0,0,212,1,936,5.5714,0.5536,0.280
12,1,9,221,10,951,5.6607,0.5691,1.396
13,0,0,221,1,885,5.2679,0.4903,0.262
14,0,0,221,1,898,5.3452,0.4000,0.277
15,0,0,221,1,933,5.5536,0.6099,0.326
16,1,1,222,2,934,5.5595,0.5236,0.425
17,1,3,225,4,928,5.5238,0.5562,0.586
18,0,0,225,1,963,5.7321,1.0313,0.326
19,0,0,225,1,911,5.4226,0.4931,0.296
20,0,0,225,1,858,5.1071,0.3946,0.257
21,1,1,226,2,879,5.2321,0.4396,0.503
22,0,0,226,1,881,5.2440,0.3985,0.313
23,1,2013,2239,2000,772,5.2162,0.5774,675.712
24,0,0,2239,1,922,5.4881,0.5925,0.442
25,0,0,2239,1,949,5.6488,0.5468,0.502
26,1,11,2250,12,931,5.5417,0.6160,2.144
27,1,4,2254,5,898,5.3452,0.4926,1.857
28,0,0,2254,1,901,5.3631,0.4744,0.428
29,0,0,2254,1,875,5.2083,0.3856,0.382
30,1,1,2255,2,945,5.6250,0.5925,0.550
31,1,1,2256,2,962,5.7262,0.5544,0.800
32,1,2,2258,3,995,5.9226,0.6455,1.231
33,0,0,2258,1,902,5.3690,0.4489,0.413
34,0,0,2258,1,883,5.2560,0.3982,0.418
35,0,0,2258,1,937,5.5774,0.5123,0.448
36,0,0,2258,1,957,5.6964,0.6496,0.550
37,0,0,2258,1,921,5.4821,0.5754,0.470
38,0,0,2258,1,886,5.2738,0.3903,0.461
39,0,0,2258,1,935,5.5655,0.5366,0.518
40,0,0,2258,1,947,5.6369,0.6202,0.472
41,0,0,2258,1,913,5.4345,0.5743,0.444
42,0,0,2258,1,909,5.4107,0.4892,0.423
43,0,0,2258,1,903,5.3750,0.4515,0.422
44,0,0,2258,1,931,5.5417,0.5165,0.452
45,0,0,2258,1,937,5.5774,0.6428,0.469
46,1,211,2469,211,923,5.4940,0.6160,98.524
47,0,0,2469,1,900,5.3571,0.5248,0.442
48,0,0,2469,1,945,5.6250,0.5649,0.477
49,1,2011,4480,2000,894,5.6582,0.6907,1387.377
50,0,0,4480,1,878,5.2262,0.5156,0.807
51,1,5,4485,6,949,5.6488,0.7159,2.320
