Tmax,rep,run_t,train_ctr
75020,0,41.861096,314650
5538,1,2.805389,22903
28118,2,12.362089,117996
76234,3,32.739008,320364
55088,4,22.883810,231265
46541,5,22.808249,195624
81093,6,32.260563,340259
3102,7,1.350733,12958
62125,8,24.779048,261205
68907,9,30.525784,290035
43540,10,18.410093,182624
74255,11,31.236553,311339
18719,12,7.536202,79136
27817,13,11.081857,116929
36043,14,14.776275,151848
58858,15,24.052719,246840
28855,16,11.544406,121315
49509,17,20.245649,209121
58779,18,25.018465,247122
38931,19,17.577948,163840
65545,20,27.456754,276375
18522,21,7.329853,77675
14561,22,6.904873,61221
10863,23,4.532560,45482
9841,24,3.879453,41385
23001,25,9.133432,96462
55349,26,22.436517,232548
61849,27,26.351567,259225
66893,28,31.155988,280735
38905,29,16.342981,163313
22160,30,10.594871,93544
88365,31,37.532346,370682
2351,32,0.928002,9869
13707,33,5.453702,57558
12605,34,5.751001,52781
34191,35,16.943569,143889
74355,36,31.643690,312132
73472,37,44.269728,308207
53842,38,23.549772,226273
87254,39,37.000391,365583
8301,40,3.340673,34854
68327,41,27.942568,287279
75864,42,30.475035,319310
50879,43,21.697133,213396
3056,44,1.457304,12899
13674,45,5.690829,57204
53856,46,24.224378,227041
52109,47,23.901221,219820
99890,48,45.100477,418814
66860,49,30.349188,280455
1079,50,2.543105,4676
81599,51,36.027015,341946
95190,52,41.337021,399081
87630,53,37.773921,368095
6502,54,3.296013,27315
36589,55,15.154686,153755
40702,56,17.537418,171676
19523,57,8.037512,82005
51247,58,21.419239,214570
15219,59,7.361041,64065
30961,60,13.382021,130504
7379,61,4.393014,31021
66798,62,29.472822,280699
24948,63,11.027620,105753
50619,64,29.015617,212768
57553,65,29.975588,240302
21451,66,8.725210,89981
2366,67,0.971730,9757
7449,68,2.909813,30933
89795,69,40.116186,377497
42093,70,18.644958,177310
69827,71,33.337172,292384
35921,72,15.564697,150948
80238,73,33.595632,337665
20699,74,8.597848,86606
31560,75,13.197903,132690
30481,76,15.911609,127452
371,77,0.218433,1557
70876,78,30.005637,298203
36125,79,24.498952,152097
93810,80,39.949578,392634
66768,81,29.541997,281593
90786,82,41.475372,381556
15998,83,7.025881,67020
99071,84,43.827638,416446
51043,85,21.316024,214251
77477,86,35.793894,324708
66250,87,36.256909,278383
68308,88,33.426802,287169
49478,89,24.390989,208208
81960,90,39.019745,344483
5333,91,2.665763,22382
93159,92,41.754130,390850
14003,93,6.176809,58822
82161,94,35.070941,344622
15741,95,8.325607,66248
27003,96,11.157674,113980
65425,97,27.828932,275385
82232,98,35.837766,345117
90718,99,38.192386,381491
