seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2000,2000,2000,0,0.0000,22.235
2,1,2000,4000,2000,0,0.0000,15.577
3,1,2000,6000,2000,0,0.0000,26.291
4,1,2000,8000,2000,0,0.0000,7.811
5,1,2000,10000,2000,10,2.0000,44.012
6,1,2000,12000,2000,0,0.0000,25.106
7,1,783,12783,784,655,3.8988,7.303
8,0,0,12783,1,648,3.8571,0.348
9,0,0,12783,1,684,4.0714,0.349
10,0,0,12783,1,706,4.2024,0.379
11,0,0,12783,1,673,4.0060,0.344
12,0,0,12783,1,701,4.1726,0.347
13,0,0,12783,1,663,3.9464,0.320
14,0,0,12783,1,648,3.8571,0.319
15,0,0,12783,1,673,4.0060,0.337
16,0,0,12783,1,712,4.2381,0.344
17,0,0,12783,1,665,3.9583,0.319
18,0,0,12783,1,701,4.1726,0.397
19,0,0,12783,1,661,3.9345,0.331
20,0,0,12783,1,593,3.5298,0.281
21,0,0,12783,1,664,3.9524,0.330
22,0,0,12783,1,656,3.9048,0.324
23,0,0,12783,1,646,3.8452,0.321
24,0,0,12783,1,683,4.0655,0.331
25,0,0,12783,1,694,4.1310,0.366
26,0,0,12783,1,696,4.1429,0.347
27,0,0,12783,1,637,3.7917,0.310
28,0,0,12783,1,687,4.0893,0.353
29,0,0,12783,1,623,3.7083,0.283
30,0,0,12783,1,689,4.1012,0.357
31,0,0,12783,1,697,4.1488,0.353
32,0,0,12783,1,737,4.3869,0.376
33,0,0,12783,1,638,3.7976,0.301
34,0,0,12783,1,656,3.9048,0.325
35,0,0,12783,1,669,3.9821,0.318
36,0,0,12783,1,677,4.0298,0.330
37,0,0,12783,1,687,4.0893,0.353
38,0,0,12783,1,632,3.7619,0.304
39,0,0,12783,1,676,4.0238,0.349
40,0,0,12783,1,675,4.0179,0.338
41,0,0,12783,1,670,3.9881,0.340
42,0,0,12783,1,666,3.9643,0.328
43,0,0,12783,1,639,3.8036,0.314
44,0,0,12783,1,671,3.9940,0.340
45,0,0,12783,1,668,3.9762,0.363
46,0,0,12783,1,668,3.9762,0.334
47,0,0,12783,1,652,3.8810,0.308
48,0,0,12783,1,674,4.0119,0.353
49,0,0,12783,1,704,4.1905,0.364
50,0,0,12783,1,625,3.7202,0.310
51,0,0,12783,1,656,3.9048,0.329
52,0,0,12783,1,661,3.9345,0.338
53,0,0,12783,1,723,4.3036,0.361
54,0,0,12783,1,638,3.7976,0.316
55,0,0,12783,1,656,3.9048,0.328
56,0,0,12783,1,670,3.9881,0.335
57,0,0,12783,1,672,4.0000,0.340
58,0,0,12783,1,670,3.9881,0.327
59,0,0,12783,1,651,3.8750,0.318
60,0,0,12783,1,680,4.0476,0.340
61,0,0,12783,1,663,3.9464,0.322
62,0,0,12783,1,639,3.8036,0.335
63,0,0,12783,1,651,3.8750,0.313
64,0,0,12783,1,661,3.9345,0.327
65,0,0,12783,1,667,3.9702,0.335
66,0,0,12783,1,664,3.9524,0.368
67,0,0,12783,1,683,4.0655,0.329
68,0,0,12783,1,638,3.7976,0.312
69,0,0,12783,1,686,4.0833,0.351
70,0,0,12783,1,661,3.9345,0.341
71,0,0,12783,1,654,3.8929,0.341
72,0,0,12783,1,647,3.8512,0.329
73,0,0,12783,1,651,3.8750,0.308
74,0,0,12783,1,646,3.8452,0.301
75,0,0,12783,1,659,3.9226,0.319
76,0,0,12783,1,662,3.9405,0.325
77,0,0,12783,1,654,3.8929,0.336
78,0,0,12783,1,703,4.1845,0.332
79,0,0,12783,1,633,3.7679,0.304
80,0,0,12783,1,687,4.0893,0.355
81,0,0,12783,1,670,3.9881,0.336
82,0,0,12783,1,674,4.0119,0.360
83,0,0,12783,1,714,4.2500,0.360
84,0,0,12783,1,690,4.1071,0.363
85,0,0,12783,1,674,4.0119,0.335
86,0,0,12783,1,661,3.9345,0.311
87,0,0,12783,1,657,3.9107,0.328
88,0,0,12783,1,709,4.2202,0.373
89,0,0,12783,1,663,3.9464,0.329
90,0,0,12783,1,660,3.9286,0.312
91,0,0,12783,1,684,4.0714,0.339
92,0,0,12783,1,674,4.0119,0.326
93,0,0,12783,1,699,4.1607,0.355
94,0,0,12783,1,668,3.9762,0.304
95,0,0,12783,1,665,3.9583,0.316
96,0,0,12783,1,651,3.8750,0.314
97,0,0,12783,1,663,3.9464,0.346
98,0,0,12783,1,638,3.7976,0.310
99,0,0,12783,1,673,4.0060,0.336
100,0,0,12783,1,678,4.0357,0.345
101,0,0,12783,1,635,3.7798,0.306
102,0,0,12783,1,662,3.9405,0.330
103,0,0,12783,1,696,4.1429,0.345
104,0,0,12783,1,723,4.3036,0.388
105,0,0,12783,1,659,3.9226,0.311
106,0,0,12783,1,630,3.7500,0.310
107,0,0,12783,1,639,3.8036,0.332
