seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,0,0,0,1,393,2.3393,0.0440,0.019
2,0,0,0,1,340,2.0238,0.0320,0.016
3,0,0,0,1,309,1.8393,0.0292,0.015
4,0,0,0,1,325,1.9345,0.0444,0.015
5,0,0,0,1,326,1.9405,0.0292,0.014
6,0,0,0,1,360,2.1429,0.0309,0.017
7,0,0,0,1,335,1.9940,0.0261,0.015
8,0,0,0,1,313,1.8631,0.0256,0.015
9,0,0,0,1,342,2.0357,0.0358,0.016
10,0,0,0,1,391,2.3274,0.0388,0.018
11,0,0,0,1,328,1.9524,0.0285,0.015
12,0,0,0,1,361,2.1488,0.0305,0.017
13,0,0,0,1,331,1.9702,0.0361,0.016
14,0,0,0,1,328,1.9524,0.0246,0.015
15,0,0,0,1,326,1.9405,0.0319,0.016
16,0,0,0,1,344,2.0476,0.0292,0.017
17,0,0,0,1,322,1.9167,0.0299,0.017
18,0,0,0,1,353,2.1012,0.0322,0.017
19,0,0,0,1,341,2.0298,0.0306,0.016
20,0,0,0,1,304,1.8095,0.0287,0.013
21,0,0,0,1,342,2.0357,0.0331,0.016
22,0,0,0,1,321,1.9107,0.0270,0.014
23,0,0,0,1,317,1.8869,0.0284,0.014
24,1,1,1,2,313,1.8631,0.0326,0.026
25,0,0,1,1,348,2.0714,0.0320,0.015
26,0,0,1,1,361,2.1488,0.0330,0.017
27,0,0,1,1,304,1.8095,0.0239,0.014
28,0,0,1,1,356,2.1190,0.0335,0.016
29,0,0,1,1,306,1.8214,0.0282,0.014
30,0,0,1,1,354,2.1071,0.0308,0.016
31,0,0,1,1,357,2.1250,0.0349,0.016
32,0,0,1,1,364,2.1667,0.0379,0.017
33,0,0,1,1,313,1.8631,0.0186,0.015
34,0,0,1,1,341,2.0298,0.0339,0.016
35,0,0,1,1,335,1.9940,0.0369,0.016
36,0,0,1,1,336,2.0000,0.0341,0.016
37,0,0,1,1,352,2.0952,0.0348,0.018
38,0,0,1,1,304,1.8095,0.0316,0.015
39,0,0,1,1,340,2.0238,0.0244,0.017
40,0,0,1,1,352,2.0952,0.0375,0.018
41,0,0,1,1,336,2.0000,0.0321,0.017
42,0,0,1,1,334,1.9881,0.0325,0.017
43,0,0,1,1,337,2.0060,0.0277,0.017
44,0,0,1,1,348,2.0714,0.0345,0.018
45,0,0,1,1,334,1.9881,0.0320,0.016
46,0,0,1,1,355,2.1131,0.0304,0.018
47,0,0,1,1,327,1.9464,0.0306,0.016
48,0,0,1,1,347,2.0655,0.0331,0.017
49,0,0,1,1,319,1.8988,0.0247,0.015
50,0,0,1,1,322,1.9167,0.0299,0.017
51,0,0,1,1,328,1.9524,0.0323,0.015
52,0,0,1,1,345,2.0536,0.0315,0.018
53,0,0,1,1,351,2.0893,0.0410,0.016
54,0,0,1,1,298,1.7738,0.0292,0.014
55,0,0,1,1,336,2.0000,0.0307,0.015
56,0,0,1,1,336,2.0000,0.0352,0.016
57,0,0,1,1,360,2.1429,0.0328,0.016
58,0,0,1,1,344,2.0476,0.0347,0.016
59,0,0,1,1,306,1.8214,0.0238,0.014
60,0,0,1,1,328,1.9524,0.0351,0.015
61,0,0,1,1,324,1.9286,0.0523,0.016
62,0,0,1,1,322,1.9167,0.0311,0.015
63,0,0,1,1,313,1.8631,0.0232,0.014
64,0,0,1,1,330,1.9643,0.0315,0.015
65,0,0,1,1,316,1.8810,0.0278,0.014
66,0,0,1,1,326,1.9405,0.0347,0.016
67,0,0,1,1,340,2.0238,0.0300,0.015
68,0,0,1,1,325,1.9345,0.0279,0.015
69,0,0,1,1,334,1.9881,0.0299,0.016
70,0,0,1,1,336,2.0000,0.0310,0.016
71,0,0,1,1,337,2.0060,0.0337,0.017
72,0,0,1,1,332,1.9762,0.0340,0.016
73,0,0,1,1,330,1.9643,0.0244,0.017
74,0,0,1,1,303,1.8036,0.0273,0.015
75,0,0,1,1,345,2.0536,0.0337,0.016
76,0,0,1,1,353,2.1012,0.0332,0.016
77,0,0,1,1,334,1.9881,0.0313,0.015
78,0,0,1,1,361,2.1488,0.0381,0.016
79,0,0,1,1,321,1.9107,0.0271,0.015
80,0,0,1,1,356,2.1190,0.0366,0.018
81,0,0,1,1,332,1.9762,0.0281,0.016
82,0,0,1,1,348,2.0714,0.0335,0.016
83,0,0,1,1,353,2.1012,0.0311,0.016
84,0,0,1,1,331,1.9702,0.0299,0.016
85,0,0,1,1,350,2.0833,0.0291,0.017
86,0,0,1,1,324,1.9286,0.0358,0.016
87,0,0,1,1,327,1.9464,0.0334,0.017
88,0,0,1,1,347,2.0655,0.0304,0.016
89,0,0,1,1,331,1.9702,0.0325,0.017
90,0,0,1,1,368,2.1905,0.0386,0.018
91,0,0,1,1,319,1.8988,0.0286,0.016
92,0,0,1,1,344,2.0476,0.0337,0.016
93,0,0,1,1,366,2.1786,0.0335,0.017
94,0,0,1,1,313,1.8631,0.0249,0.015
95,0,0,1,1,303,1.8036,0.0251,0.015
96,0,0,1,1,340,2.0238,0.0353,0.017
97,0,0,1,1,337,2.0060,0.0263,0.018
98,0,0,1,1,335,1.9940,0.0336,0.017
99,0,0,1,1,318,1.8929,0.0361,0.016
100,0,0,1,1,344,2.0476,0.0308,0.018
101,0,0,1,1,329,1.9583,0.0265,0.016
102,0,0,1,1,335,1.9940,0.0376,0.017
103,0,0,1,1,340,2.0238,0.0300,0.017
104,0,0,1,1,377,2.2440,0.0386,0.018
105,0,0,1,1,316,1.8810,0.0240,0.014
106,0,0,1,1,323,1.9226,0.0338,0.015
107,0,0,1,1,341,2.0298,0.0354,0.016
108,0,0,1,1,332,1.9762,0.0318,0.016
109,0,0,1,1,337,2.0060,0.0359,0.015
110,0,0,1,1,333,1.9821,0.0268,0.015
111,0,0,1,1,342,2.0357,0.0253,0.016
112,0,0,1,1,352,2.0952,0.0299,0.017
113,0,0,1,1,338,2.0119,0.0356,0.016
114,0,0,1,1,316,1.8810,0.0281,0.015
115,0,0,1,1,332,1.9762,0.0309,0.017
116,0,0,1,1,335,1.9940,0.0290,0.017
117,0,0,1,1,345,2.0536,0.0329,0.017
118,0,0,1,1,347,2.0655,0.0370,0.017
119,0,0,1,1,340,2.0238,0.0298,0.017
120,0,0,1,1,301,1.7917,0.0248,0.015
121,0,0,1,1,340,2.0238,0.0321,0.017
122,0,0,1,1,314,1.8690,0.0224,0.015
123,0,0,1,1,363,2.1607,0.0248,0.017
124,0,0,1,1,327,1.9464,0.0351,0.015
