seed,after_deadlock,after_dl_time,after_throughput,after_drained_clear,before_deadlock,before_dl_time,before_throughput,before_drained_clear
100000,0,193.00,3.9048,1,,,,
100001,0,192.00,4.0238,1,,,,
100002,0,193.00,3.9702,1,,,,
100003,0,193.00,3.8393,1,,,,
100004,0,193.00,3.9405,1,,,,
100005,0,193.00,3.9226,1,,,,
100006,0,193.00,4.2202,1,,,,
100007,0,194.00,3.9464,1,,,,
100008,0,194.00,3.7619,1,,,,
100009,0,192.00,3.9821,1,,,,
100010,0,193.00,4.0298,1,,,,
100011,0,193.00,4.0119,1,,,,
100012,0,193.00,4.0536,1,,,,
100013,0,193.00,4.1190,1,,,,
100014,0,193.00,4.0893,1,,,,
100015,0,192.00,3.9167,1,,,,
100016,0,193.00,3.9524,1,,,,
100017,0,192.00,4.2917,1,,,,
100018,0,193.00,4.0238,1,,,,
100019,0,193.00,3.9405,1,,,,
100020,0,193.00,4.0536,1,,,,
100021,0,192.00,3.9345,1,,,,
100022,0,192.00,3.7679,1,,,,
100023,0,192.00,3.9464,1,,,,
100024,0,193.00,4.0476,1,,,,
100025,0,193.00,4.0595,1,,,,
100026,0,193.00,3.9107,1,,,,
100027,0,193.00,3.7738,1,,,,
100028,0,193.00,4.1607,1,,,,
100029,0,193.00,4.0000,1,,,,
100030,0,193.00,4.0536,1,,,,
100031,0,193.00,4.1667,1,,,,
100032,0,193.00,4.0000,1,,,,
100033,0,193.00,3.9881,1,,,,
100034,0,193.00,4.1964,1,,,,
100035,0,193.00,3.8512,1,,,,
100036,0,193.00,3.8512,1,,,,
100037,0,193.00,4.1607,1,,,,
100038,0,193.00,4.0952,1,,,,
100039,0,193.00,3.6786,1,,,,
100040,0,193.00,3.5476,1,,,,
100041,0,193.00,4.0893,1,,,,
100042,0,193.00,4.1190,1,,,,
100043,0,193.00,3.8571,1,,,,
100044,0,193.00,3.8988,1,,,,
100045,0,192.00,4.1845,1,,,,
100046,0,193.00,4.0595,1,,,,
100047,0,193.00,4.1190,1,,,,
100048,0,192.00,3.9048,1,,,,
100049,0,193.00,4.0476,1,,,,
100050,0,193.00,4.1726,1,,,,
100051,0,193.00,4.0298,1,,,,
100052,0,193.00,4.0417,1,,,,
100053,0,193.00,4.0833,1,,,,
100054,0,193.00,3.6726,1,,,,
100055,0,193.00,4.3929,1,,,,
100056,0,193.00,3.7798,1,,,,
100057,0,193.00,4.0714,1,,,,
100058,0,193.00,3.9167,1,,,,
100059,0,193.00,3.6548,1,,,,
100060,0,193.00,3.8393,1,,,,
100061,0,193.00,4.3988,1,,,,
100062,0,193.00,4.0119,1,,,,
100063,0,192.00,4.2560,1,,,,
100064,0,193.00,3.9226,1,,,,
100065,0,192.00,4.1131,1,,,,
100066,0,193.00,4.0357,1,,,,
100067,0,192.00,3.9881,1,,,,
100068,0,193.00,4.1369,1,,,,
100069,0,193.00,4.0119,1,,,,
100070,0,193.00,3.8690,1,,,,
