seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
122,0,0,16,1,384,2.2857,0.0633,0.057
123,0,0,16,1,442,2.6310,0.0713,0.069
124,0,0,16,1,402,2.3929,0.0711,0.060
125,1,1,17,2,402,2.3929,0.0719,0.123
126,0,0,17,1,407,2.4226,0.0704,0.064
127,0,0,17,1,465,2.7679,0.0837,0.068
128,0,0,17,1,424,2.5238,0.0724,0.060
129,0,0,17,1,447,2.6607,0.0915,0.065
130,0,0,17,1,391,2.3274,0.0765,0.056
131,0,0,17,1,431,2.5655,0.0787,0.064
132,0,0,17,1,416,2.4762,0.0723,0.059
133,0,0,17,1,428,2.5476,0.0732,0.065
134,0,0,17,1,430,2.5595,0.0823,0.065
135,0,0,17,1,391,2.3274,0.0626,0.057
136,0,0,17,1,441,2.6250,0.0835,0.066
137,0,0,17,1,426,2.5357,0.0652,0.059
138,0,0,17,1,398,2.3690,0.0765,0.056
139,0,0,17,1,394,2.3452,0.0632,0.054
140,0,0,17,1,387,2.3036,0.0561,0.055
141,0,0,17,1,404,2.4048,0.0695,0.056
142,0,0,17,1,410,2.4405,0.0778,0.059
143,1,1,18,2,436,2.5952,0.0886,0.080
144,0,0,18,1,449,2.6726,0.0827,0.064
145,0,0,18,1,452,2.6905,0.0831,0.066
146,0,0,18,1,427,2.5417,0.0782,0.060
147,0,0,18,1,405,2.4107,0.0634,0.056
148,0,0,18,1,426,2.5357,0.0702,0.062
149,0,0,18,1,419,2.4940,0.0798,0.060
150,0,0,18,1,442,2.6310,0.0955,0.064
151,0,0,18,1,415,2.4702,0.0746,0.065
152,0,0,18,1,399,2.3750,0.0839,0.061
153,0,0,18,1,406,2.4167,0.0675,0.063
154,0,0,18,1,441,2.6250,0.0829,0.066
155,0,0,18,1,412,2.4524,0.0789,0.063
156,0,0,18,1,430,2.5595,0.0701,0.065
157,0,0,18,1,408,2.4286,0.0745,0.061
158,0,0,18,1,408,2.4286,0.0733,0.060
159,0,0,18,1,411,2.4464,0.0660,0.063
160,0,0,18,1,449,2.6726,0.0899,0.068
161,0,0,18,1,416,2.4762,0.0765,0.063
162,0,0,18,1,427,2.5417,0.0738,0.065
163,0,0,18,1,432,2.5714,0.0830,0.068
164,0,0,18,1,424,2.5238,0.0833,0.063
165,0,0,18,1,417,2.4821,0.0833,0.062
166,0,0,18,1,445,2.6488,0.0914,0.064
167,0,0,18,1,423,2.5179,0.0767,0.062
168,1,1,19,2,403,2.3988,0.0641,0.088
169,0,0,19,1,410,2.4405,0.0641,0.057
170,1,1,20,2,407,2.4226,0.0704,0.098
171,0,0,20,1,444,2.6429,0.0890,0.066
172,0,0,20,1,398,2.3690,0.0810,0.057
173,0,0,20,1,441,2.6250,0.0891,0.064
174,0,0,20,1,396,2.3571,0.0640,0.056
175,0,0,20,1,443,2.6369,0.0810,0.064
176,0,0,20,1,392,2.3333,0.0626,0.055
177,0,0,20,1,442,2.6310,0.0905,0.064
178,0,0,20,1,420,2.5000,0.0767,0.062
179,0,0,20,1,420,2.5000,0.0742,0.059
180,0,0,20,1,411,2.4464,0.0789,0.059
181,0,0,20,1,391,2.3274,0.0637,0.056
182,0,0,20,1,433,2.5774,0.0788,0.060
183,0,0,20,1,405,2.4107,0.0836,0.060
184,0,0,20,1,398,2.3690,0.0646,0.059
185,0,0,20,1,416,2.4762,0.0772,0.060
186,0,0,20,1,413,2.4583,0.0691,0.067
187,0,0,20,1,419,2.4940,0.0848,0.065
188,0,0,20,1,429,2.5536,0.0830,0.067
189,0,0,20,1,426,2.5357,0.0897,0.067
190,0,0,20,1,417,2.4821,0.0764,0.064
191,0,0,20,1,443,2.6369,0.0830,0.071
192,0,0,20,1,422,2.5119,0.0829,0.064
193,0,0,20,1,406,2.4167,0.0707,0.064
194,0,0,20,1,416,2.4762,0.0666,0.065
195,0,0,20,1,389,2.3155,0.0705,0.063
196,0,0,20,1,388,2.3095,0.0591,0.059
197,0,0,20,1,420,2.5000,0.0756,0.070
198,0,0,20,1,444,2.6429,0.0782,0.071
199,0,0,20,1,446,2.6548,0.0822,0.070
200,0,0,20,1,409,2.4345,0.0700,0.066
201,0,0,20,1,398,2.3690,0.0678,0.061
202,1,1,21,2,424,2.5238,0.0746,0.130
203,0,0,21,1,431,2.5655,0.0761,0.064
204,0,0,21,1,427,2.5417,0.0789,0.062
205,0,0,21,1,401,2.3869,0.0745,0.063
206,0,0,21,1,411,2.4464,0.0756,0.081
207,1,2,23,3,410,2.4405,0.0923,0.113
208,0,0,23,1,437,2.6012,0.0870,0.072
209,0,0,23,1,426,2.5357,0.0786,0.068
210,0,0,23,1,433,2.5774,0.0815,0.068
211,0,0,23,1,433,2.5774,0.0758,0.065
212,0,0,23,1,415,2.4702,0.0692,0.063
213,1,1,24,2,438,2.6071,0.0923,0.091
214,0,0,24,1,425,2.5298,0.0799,0.102
215,0,0,24,1,410,2.4405,0.0745,0.064
216,0,0,24,1,418,2.4881,0.0739,0.062
217,0,0,24,1,434,2.5833,0.0788,0.071
218,0,0,24,1,432,2.5714,0.0731,0.072
219,0,0,24,1,389,2.3155,0.0717,0.060
220,0,0,24,1,413,2.4583,0.0748,0.063
221,0,0,24,1,419,2.4940,0.0711,0.069
222,1,1,25,2,457,2.7202,0.0869,0.105
223,0,0,25,1,384,2.2857,0.0625,0.059
224,0,0,25,1,420,2.5000,0.0731,0.066
225,0,0,25,1,363,2.1607,0.0536,0.054
226,0,0,25,1,434,2.5833,0.0858,0.068
227,1,1,26,2,447,2.6607,0.0878,0.107
228,0,0,26,1,425,2.5298,0.0817,0.069
229,0,0,26,1,374,2.2262,0.0831,0.060
230,0,0,26,1,436,2.5952,0.0777,0.068
231,0,0,26,1,405,2.4107,0.0634,0.063
232,0,0,26,1,410,2.4405,0.0779,0.065
233,0,0,26,1,411,2.4464,0.0719,0.065
234,0,0,26,1,437,2.6012,0.0799,0.067
235,0,0,26,1,443,2.6369,0.0759,0.066
236,0,0,26,1,439,2.6131,0.0856,0.065
237,0,0,26,1,430,2.5595,0.0721,0.068
238,0,0,26,1,420,2.5000,0.0763,0.065
239,0,0,26,1,410,2.4405,0.0733,0.064
240,0,0,26,1,443,2.6369,0.0944,0.068
241,0,0,26,1,382,2.2738,0.0628,0.055
242,0,0,26,1,411,2.4464,0.0664,0.060
243,0,0,26,1,407,2.4226,0.0788,0.062
244,0,0,26,1,420,2.5000,0.0825,0.060
245,0,0,26,1,428,2.5476,0.0704,0.067
246,0,0,26,1,421,2.5060,0.0718,0.067
247,0,0,26,1,411,2.4464,0.0747,0.065
248,0,0,26,1,436,2.5952,0.0885,0.068
249,0,0,26,1,429,2.5536,0.0924,0.066
250,0,0,26,1,456,2.7143,0.0868,0.071
251,0,0,26,1,468,2.7857,0.0961,0.075
252,0,0,26,1,392,2.3333,0.0664,0.061
253,0,0,26,1,390,2.3214,0.0684,0.061
254,0,0,26,1,467,2.7798,0.0900,0.124
255,0,0,26,1,369,2.1964,0.0568,0.058
256,0,0,26,1,418,2.4881,0.0798,0.065
257,0,0,26,1,462,2.7500,0.0886,0.071
258,0,0,26,1,467,2.7798,0.0931,0.074
259,0,0,26,1,414,2.4643,0.0795,0.064
260,0,0,26,1,435,2.5893,0.0825,0.070
261,0,0,26,1,411,2.4464,0.0734,0.062
262,0,0,26,1,436,2.5952,0.0821,0.070
263,0,0,26,1,439,2.6131,0.0809,0.070
264,0,0,26,1,399,2.3750,0.0684,0.062
265,0,0,26,1,417,2.4821,0.0714,0.063
266,0,0,26,1,418,2.4881,0.0804,0.066
267,0,0,26,1,428,2.5476,0.0822,0.068
268,0,0,26,1,400,2.3810,0.0715,0.064
269,0,0,26,1,442,2.6310,0.0799,0.070
270,0,0,26,1,438,2.6071,0.0725,0.068
271,0,0,26,1,417,2.4821,0.0760,0.064
272,0,0,26,1,450,2.6786,0.0901,0.073
273,0,0,26,1,449,2.6726,0.0751,0.069
274,0,0,26,1,439,2.6131,0.0845,0.068
275,0,0,26,1,414,2.4643,0.0753,0.063
276,0,0,26,1,404,2.4048,0.0698,0.062
277,0,0,26,1,426,2.5357,0.0825,0.067
278,0,0,26,1,433,2.5774,0.0805,0.070
279,0,0,26,1,441,2.6250,0.0755,0.069
280,0,0,26,1,412,2.4524,0.0771,0.061
281,0,0,26,1,413,2.4583,0.0803,0.059
282,0,0,26,1,434,2.5833,0.0806,0.064
283,0,0,26,1,428,2.5476,0.0795,0.062
284,0,0,26,1,398,2.3690,0.0735,0.058
285,0,0,26,1,416,2.4762,0.0850,0.060
286,0,0,26,1,425,2.5298,0.0738,0.061
287,0,0,26,1,457,2.7202,0.0770,0.067
288,0,0,26,1,426,2.5357,0.0739,0.063
289,0,0,26,1,435,2.5893,0.0737,0.061
290,0,0,26,1,427,2.5417,0.0867,0.064
291,0,0,26,1,456,2.7143,0.0934,0.066
292,0,0,26,1,444,2.6429,0.0853,0.064
293,0,0,26,1,407,2.4226,0.0704,0.058
294,0,0,26,1,356,2.1190,0.0679,0.050
295,0,0,26,1,444,2.6429,0.0813,0.064
296,0,0,26,1,430,2.5595,0.0760,0.062
297,0,0,26,1,430,2.5595,0.0790,0.060
298,0,0,26,1,445,2.6488,0.0959,0.063
299,0,0,26,1,431,2.5655,0.0779,0.061
300,0,0,26,1,408,2.4286,0.0752,0.063
301,0,0,26,1,445,2.6488,0.0851,0.062
302,0,0,26,1,427,2.5417,0.0874,0.062
303,0,0,26,1,420,2.5000,0.0746,0.062
304,0,0,26,1,426,2.5357,0.0736,0.062
305,0,0,26,1,405,2.4107,0.0728,0.055
306,0,0,26,1,397,2.3631,0.0686,0.058
307,0,0,26,1,452,2.6905,0.0763,0.066
308,0,0,26,1,419,2.4940,0.0705,0.062
309,0,0,26,1,433,2.5774,0.0707,0.062
310,0,0,26,1,418,2.4881,0.0676,0.059
311,0,0,26,1,402,2.3929,0.0728,0.058
312,0,0,26,1,429,2.5536,0.0758,0.065
313,0,0,26,1,412,2.4524,0.0629,0.061
314,0,0,26,1,423,2.5179,0.0816,0.064
315,0,0,26,1,426,2.5357,0.0802,0.063
316,0,0,26,1,411,2.4464,0.0653,0.060
317,0,0,26,1,418,2.4881,0.0830,0.061
318,0,0,26,1,426,2.5357,0.0767,0.064
319,0,0,26,1,418,2.4881,0.0658,0.060
320,0,0,26,1,415,2.4702,0.0860,0.063
321,0,0,26,1,465,2.7679,0.0825,0.069
322,0,0,26,1,446,2.6548,0.0810,0.066
323,0,0,26,1,423,2.5179,0.0808,0.063
324,0,0,26,1,425,2.5298,0.0746,0.064
325,0,0,26,1,391,2.3274,0.0692,0.059
326,0,0,26,1,403,2.3988,0.0649,0.059
327,0,0,26,1,421,2.5060,0.0662,0.063
