Tmax,rep,run_t,train_ctr
85065,0,42.969026,357443
90217,1,44.794136,379987
29268,2,14.317422,122971
6363,3,3.163031,26879
22324,4,10.965077,93392
18902,5,9.217340,79137
19787,6,9.795615,83587
99483,7,49.484356,416945
37801,8,18.479193,157966
95297,9,47.311237,400453
13870,10,6.904596,58208
26207,11,13.241982,109904
1102,12,0.568665,4648
6702,13,3.307482,28024
8275,14,4.080899,34852
4330,15,2.074437,17948
95953,16,48.368716,402325
37530,17,18.848501,157528
72204,18,36.136691,303013
16908,19,8.564898,71551
6472,20,3.242178,27368
51261,21,25.727633,215216
81945,22,40.980093,344314
60508,23,30.458749,254158
77457,24,39.236751,327120
86184,25,43.001043,361977
57556,26,29.028198,241439
20647,27,10.722794,86796
17456,28,8.815835,73431
2745,29,1.485745,11737
57353,30,28.757089,240982
73375,31,37.044228,308130
33982,32,17.757542,142854
8124,33,4.219731,34281
46329,34,23.033425,194296
25905,35,12.939564,108495
33348,36,17.385998,139859
20096,37,9.976154,83652
89906,38,45.687896,378239
39891,39,20.101568,167130
8446,40,4.181283,35059
83677,41,43.933857,350881
21463,42,11.026014,89823
16059,43,8.196764,67446
22147,44,11.356391,93153
1660,45,0.826782,6924
33742,46,16.986100,141376
27321,47,14.105267,114241
45914,48,23.573816,192700
91187,49,46.897057,383820
34925,50,18.443725,146483
20698,51,10.402333,87283
94665,52,47.840742,397096
33223,53,16.878332,139854
64873,54,32.739097,271153
90595,55,47.647174,379119
75712,56,38.389203,317892
71033,57,36.695352,298447
87134,58,44.465535,366851
30216,59,15.148744,127174
11744,60,5.775826,48947
56769,61,28.572059,238721
47210,62,24.127288,199096
40936,63,20.476107,172185
78987,64,39.231357,331478
15996,65,8.235699,67273
32749,66,16.495542,137255
11748,67,6.018719,49587
45396,68,23.512525,190978
18715,69,9.321082,78317
65871,70,33.291898,276904
31219,71,15.810768,131963
28198,72,13.983434,118207
82676,73,41.927325,347911
89289,74,44.443873,374458
69611,75,34.897151,292380
88187,76,44.860498,370108
47349,77,24.496963,199166
81569,78,40.837472,343150
98709,79,49.458055,414833
93732,80,47.616609,394132
28159,81,14.397716,118191
56956,82,28.864384,239981
20405,83,10.313285,85898
66737,84,33.951155,280572
79093,85,40.161219,332703
70300,86,35.913878,296201
4315,87,2.167963,18034
63577,88,32.462401,267328
42893,89,21.754611,180102
96865,90,48.024806,406263
50656,91,25.351841,212749
66251,92,32.982882,278256
95580,93,48.048898,402192
19340,94,10.177491,81550
33409,95,17.428030,140606
96672,96,48.589197,405875
88756,97,46.845191,372750
6840,98,3.451369,28765
1370,99,0.716255,5934
