seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2050,2050,2000,55,3.9286,330.834
2,1,2016,4066,2000,487,3.8960,1922.706
3,1,57,4123,58,611,3.6369,20.126
4,1,434,4557,429,619,3.6845,618.811
5,1,955,5512,954,613,3.6488,896.452
6,1,260,5772,260,639,3.8036,327.597
7,1,359,6131,360,622,3.7024,366.507
8,1,2001,8132,2000,0,0.0000,752.803
9,1,100,8232,101,633,3.7679,252.555
10,1,2002,10234,2000,131,3.9697,2744.631
11,1,2001,12235,2000,536,3.7746,6800.214
12,1,746,12981,747,679,4.0417,2474.640
13,1,244,13225,245,631,3.7560,1092.076
14,1,1107,14332,1108,608,3.6190,4884.361
15,1,351,14683,352,633,3.7679,1246.648
16,1,900,15583,901,663,3.9464,35633.085
17,1,1652,17235,1653,626,3.7262,6069.261
18,1,2003,19238,2000,153,3.6429,6992.371
19,1,285,19523,285,632,3.7619,951.912
20,1,107,19630,108,560,3.3333,260.162
21,1,170,19800,171,637,3.7917,743.954
22,1,422,20222,423,621,3.6964,3488.379
23,1,1109,21331,1110,629,3.7440,10539.316
24,1,2002,23333,2000,208,3.3548,9491.144
25,1,543,23876,544,667,3.9702,1981.978
26,1,1746,25622,1747,662,3.9405,10085.267
