seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,5,5,6,727,4.3274,0.169
2,0,0,5,1,684,4.0714,0.131
3,0,0,5,1,666,3.9643,0.124
4,0,0,5,1,667,3.9702,0.133
5,0,0,5,1,668,3.9762,0.133
6,0,0,5,1,666,3.9643,0.125
7,0,0,5,1,667,3.9702,0.123
8,0,0,5,1,698,4.1548,0.121
9,0,0,5,1,666,3.9643,0.123
10,0,0,5,1,685,4.0774,0.124
11,0,0,5,1,707,4.2083,0.140
12,0,0,5,1,683,4.0655,0.133
13,0,0,5,1,709,4.2202,0.123
14,0,0,5,1,698,4.1548,0.123
15,0,0,5,1,689,4.1012,0.119
16,0,0,5,1,710,4.2262,0.118
17,0,0,5,1,690,4.1071,0.114
18,0,0,5,1,696,4.1429,0.121
19,0,0,5,1,716,4.2619,0.117
20,0,0,5,1,660,3.9286,0.129
21,0,0,5,1,667,3.9702,0.125
22,0,0,5,1,743,4.4226,0.130
23,0,0,5,1,701,4.1726,0.121
24,0,0,5,1,662,3.9405,0.112
25,0,0,5,1,684,4.0714,0.115
26,0,0,5,1,721,4.2917,0.128
27,0,0,5,1,648,3.8571,0.115
28,0,0,5,1,714,4.2500,0.115
29,0,0,5,1,659,3.9226,0.113
30,0,0,5,1,712,4.2381,0.121
31,0,0,5,1,689,4.1012,0.121
32,0,0,5,1,721,4.2917,0.119
33,0,0,5,1,673,4.0060,0.114
34,0,0,5,1,674,4.0119,0.116
35,0,0,5,1,683,4.0655,0.113
36,0,0,5,1,682,4.0595,0.114
37,0,0,5,1,680,4.0476,0.120
38,0,0,5,1,684,4.0714,0.127
39,0,0,5,1,673,4.0060,0.121
40,0,0,5,1,698,4.1548,0.119
41,0,0,5,1,674,4.0119,0.113
42,0,0,5,1,705,4.1964,0.121
43,0,0,5,1,681,4.0536,0.119
44,0,0,5,1,682,4.0595,0.124
45,0,0,5,1,702,4.1786,0.120
46,0,0,5,1,692,4.1190,0.118
47,0,0,5,1,696,4.1429,0.123
48,0,0,5,1,703,4.1845,0.118
49,0,0,5,1,706,4.2024,0.128
50,0,0,5,1,671,3.9940,0.116
51,0,0,5,1,688,4.0952,0.120
52,0,0,5,1,687,4.0893,0.123
53,0,0,5,1,709,4.2202,0.120
54,0,0,5,1,690,4.1071,0.125
55,0,0,5,1,646,3.8452,0.113
56,0,0,5,1,663,3.9464,0.110
57,0,0,5,1,693,4.1250,0.114
58,0,0,5,1,696,4.1429,0.118
59,0,0,5,1,651,3.8750,0.110
60,0,0,5,1,700,4.1667,0.120
61,0,0,5,1,695,4.1369,0.116
62,0,0,5,1,681,4.0536,0.111
63,0,0,5,1,677,4.0298,0.118
64,0,0,5,1,682,4.0595,0.135
65,0,0,5,1,711,4.2321,0.122
66,0,0,5,1,683,4.0655,0.118
67,0,0,5,1,654,3.8929,0.109
68,0,0,5,1,669,3.9821,0.119
69,0,0,5,1,691,4.1131,0.123
70,0,0,5,1,695,4.1369,0.121
71,0,0,5,1,686,4.0833,0.115
72,0,0,5,1,690,4.1071,0.118
73,0,0,5,1,650,3.8690,0.114
74,0,0,5,1,703,4.1845,0.119
75,0,0,5,1,673,4.0060,0.117
76,0,0,5,1,676,4.0238,0.122
77,0,0,5,1,680,4.0476,0.116
78,0,0,5,1,692,4.1190,0.126
79,0,0,5,1,671,3.9940,0.115
80,0,0,5,1,731,4.3512,0.191
81,0,0,5,1,709,4.2202,0.127
82,0,0,5,1,670,3.9881,0.116
83,0,0,5,1,716,4.2619,0.124
84,0,0,5,1,701,4.1726,0.116
85,0,0,5,1,693,4.1250,0.115
86,0,0,5,1,674,4.0119,0.115
87,0,0,5,1,666,3.9643,0.116
88,0,0,5,1,697,4.1488,0.112
89,0,0,5,1,687,4.0893,0.120
90,0,0,5,1,680,4.0476,0.112
91,0,0,5,1,674,4.0119,0.113
92,0,0,5,1,674,4.0119,0.112
93,0,0,5,1,706,4.2024,0.117
94,0,0,5,1,707,4.2083,0.115
95,0,0,5,1,659,3.9226,0.119
96,0,0,5,1,689,4.1012,0.112
97,0,0,5,1,701,4.1726,0.123
98,0,0,5,1,671,3.9940,0.125
99,0,0,5,1,676,4.0238,0.114
100,0,0,5,1,682,4.0595,0.131
101,0,0,5,1,659,3.9226,0.114
