id(0-1-2-...),name,start seg,start head,"list exit nodes (finish list with END), followed by entry arcs seg,head,seg,head,... (finish list with END)",,,,,,,,,,,,,,
0,brisbane line,28,22,9,23,END,28,22,13,7,END,,,,,,,
1,western line,176,135,121,23,136,END,160,120,176,135,34,28,189,147,187,130,END
