pl_id,segment,head,margin,opp_speed_lim,arc_type,comment
0,2,2,0.05,40,APPR0,PL_0 appr from west
0,5,3,0.05,40,APPR1,PL_0 appr from east
0,3,2,0.05,0,ML1,PL_0 ML WB
0,3,3,0.05,0,ML0,PL_0 ML EB
0,4,2,0.05,20,S1,PL_0 siding WB
0,4,3,0.05,20,S0,PL_0 siding EB
1,5,4,0.05,40,APPR0,PL_1 appr from west
1,8,5,0.05,40,APPR1,PL_1 appr from east
1,6,4,0.05,0,ML1,PL_1 ML WB
1,6,5,0.05,0,ML0,PL_1 ML EB
1,7,4,0.05,20,S1,PL_1 siding WB
1,7,5,0.05,20,S0,PL_1 siding EB
