iteration,deadlock_found,deadlock_time,new_constraints,constraint_details,total_constraints,trains_completed,trains_per_hr,avg_wait_time,avg_spawn_delay,sim_run_time,pruning_details
0,1,17.000000,1,dl_0(2),1,0,0.000000,0.000000,0.000000,0.008511,
1,1,17.000000,1,dl_1(3),2,0,0.000000,0.000000,0.000000,0.008949,
2,1,17.000000,1,dl_2(2),3,0,0.000000,0.000000,0.000000,0.007639,
3,1,17.000000,1,dl_3(3),4,0,0.000000,0.000000,0.000000,0.009902,
4,1,17.000000,1,dl_4(3),5,0,0.000000,0.000000,0.000000,0.011077,
5,1,17.000000,1,dl_5(3),6,0,0.000000,0.000000,0.000000,0.010631,
6,1,17.000000,1,dl_6(2),7,0,0.000000,0.000000,0.000000,0.013432,
7,1,17.000000,1,dl_7(4),8,0,0.000000,0.000000,0.000000,0.009420,
8,1,17.000000,1,dl_8(4),9,0,0.000000,0.000000,0.000000,0.007815,
9,1,17.000000,1,dl_9(3),10,0,0.000000,0.000000,0.000000,0.008113,
10,1,17.000000,1,dl_10(2),11,0,0.000000,0.000000,0.000000,0.008850,
11,1,17.000000,1,dl_11(3),12,0,0.000000,0.000000,0.000000,0.008540,
12,1,17.000000,1,dl_12(4),13,0,0.000000,0.000000,0.000000,0.008501,
13,1,17.000000,1,dl_13(4),14,0,0.000000,0.000000,0.000000,0.008016,
14,1,17.000000,1,dl_14(3),15,0,0.000000,0.000000,0.000000,0.009262,
15,1,17.000000,1,dl_15(4),16,0,0.000000,0.000000,0.000000,0.007399,
16,1,17.000000,1,dl_16(2),17,0,0.000000,0.000000,0.000000,0.007726,
17,1,17.000000,1,dl_17(3),18,0,0.000000,0.000000,0.000000,0.007436,
18,1,17.000000,1,dl_18(4),19,0,0.000000,0.000000,0.000000,0.006413,
19,1,17.000000,1,dl_19(4),20,0,0.000000,0.000000,0.000000,0.006848,
20,1,17.000000,1,dl_20(3),21,0,0.000000,0.000000,0.000000,0.007225,
21,1,17.000000,1,dl_21(4),22,0,0.000000,0.000000,0.000000,0.007784,
22,1,17.000000,1,dl_22(3),23,0,0.000000,0.000000,0.000000,0.006969,3>2[-T48]
23,1,17.000000,1,dl_23(3),24,0,0.000000,0.000000,0.000000,0.007112,3>2[-T48]
24,1,17.000000,1,dl_24(2),25,0,0.000000,0.000000,0.000000,0.006728,3>2[-T48]
25,1,17.000000,1,dl_25(3),26,0,0.000000,0.000000,0.000000,0.007022,
26,1,17.000000,1,dl_26(3),27,0,0.000000,0.000000,0.000000,0.006934,
27,1,17.000000,1,dl_27(2),28,0,0.000000,0.000000,0.000000,0.007792,
28,1,17.000000,1,dl_28(3),29,0,0.000000,0.000000,0.000000,0.010007,
29,1,17.000000,1,dl_29(4),30,0,0.000000,0.000000,0.000000,0.007402,4>3[-T51]
30,1,17.000000,1,dl_30(4),31,0,0.000000,0.000000,0.000000,0.010324,4>3[-T51]
31,1,17.000000,1,dl_31(3),32,0,0.000000,0.000000,0.000000,0.008949,4>3[-T51]
32,1,17.000000,1,dl_32(4),33,0,0.000000,0.000000,0.000000,0.007509,
33,1,17.000000,1,dl_33(4),34,0,0.000000,0.000000,0.000000,0.010131,
34,1,17.000000,1,dl_34(3),35,0,0.000000,0.000000,0.000000,0.006865,
35,1,17.000000,1,dl_35(4),36,0,0.000000,0.000000,0.000000,0.007523,4>3[-T51]
36,1,17.000000,1,dl_36(4),37,0,0.000000,0.000000,0.000000,0.008316,4>3[-T51]
37,1,17.000000,1,dl_37(3),38,0,0.000000,0.000000,0.000000,0.008064,4>3[-T51]
38,1,17.000000,1,dl_38(4),39,0,0.000000,0.000000,0.000000,0.010267,
39,1,17.000000,1,dl_39(4),40,0,0.000000,0.000000,0.000000,0.009515,
40,1,17.000000,1,dl_40(3),41,0,0.000000,0.000000,0.000000,0.007572,
41,1,17.000000,1,dl_41(4),42,0,0.000000,0.000000,0.000000,0.007131,4>3[-T51]
42,1,17.000000,1,dl_42(4),43,0,0.000000,0.000000,0.000000,0.007713,4>3[-T51]
43,1,17.000000,1,dl_43(3),44,0,0.000000,0.000000,0.000000,0.006914,4>3[-T51]
44,1,17.000000,1,dl_44(4),45,0,0.000000,0.000000,0.000000,0.006505,
45,1,17.000000,1,dl_45(4),46,0,0.000000,0.000000,0.000000,0.006456,
46,1,17.000000,1,dl_46(3),47,0,0.000000,0.000000,0.000000,0.009586,
47,1,17.000000,1,dl_47(5),48,0,0.000000,0.000000,0.000000,0.009569,4>3[-T51]
48,1,17.000000,1,dl_48(5),49,0,0.000000,0.000000,0.000000,0.007996,4>3[-T51]
49,1,17.000000,1,dl_49(4),50,0,0.000000,0.000000,0.000000,0.007415,4>3[-T51]
50,1,17.000000,1,dl_50(5),51,0,0.000000,0.000000,0.000000,0.007065,
51,1,17.000000,1,dl_51(5),52,0,0.000000,0.000000,0.000000,0.006782,
52,1,17.000000,1,dl_52(4),53,0,0.000000,0.000000,0.000000,0.006367,
53,1,17.000000,1,dl_53(5),54,0,0.000000,0.000000,0.000000,0.007513,4>3[-T51]
54,1,17.000000,1,dl_54(5),55,0,0.000000,0.000000,0.000000,0.011240,4>3[-T51]
55,1,17.000000,1,dl_55(4),56,0,0.000000,0.000000,0.000000,0.009166,4>3[-T51]
56,1,17.000000,1,dl_56(5),57,0,0.000000,0.000000,0.000000,0.007096,
57,1,17.000000,1,dl_57(5),58,0,0.000000,0.000000,0.000000,0.006927,
58,1,17.000000,1,dl_58(4),59,0,0.000000,0.000000,0.000000,0.006451,
59,1,17.000000,1,dl_59(4),60,0,0.000000,0.000000,0.000000,0.006844,4>3[-T51]
60,1,17.000000,1,dl_60(4),61,0,0.000000,0.000000,0.000000,0.007074,4>3[-T51]
61,1,17.000000,1,dl_61(3),62,0,0.000000,0.000000,0.000000,0.009963,4>3[-T51]
62,1,17.000000,1,dl_62(4),63,0,0.000000,0.000000,0.000000,0.007429,
63,1,17.000000,1,dl_63(4),64,0,0.000000,0.000000,0.000000,0.009727,
64,1,17.000000,1,dl_64(3),65,0,0.000000,0.000000,0.000000,0.008566,
65,1,17.000000,1,dl_65(5),66,0,0.000000,0.000000,0.000000,0.006587,5>4[-T51]
66,1,17.000000,1,dl_66(5),67,0,0.000000,0.000000,0.000000,0.008646,5>4[-T51]
67,1,17.000000,1,dl_67(4),68,0,0.000000,0.000000,0.000000,0.007094,5>4[-T51]
68,1,17.000000,1,dl_68(5),69,0,0.000000,0.000000,0.000000,0.012865,
69,1,17.000000,1,dl_69(5),70,0,0.000000,0.000000,0.000000,0.008175,
70,1,17.000000,1,dl_70(4),71,0,0.000000,0.000000,0.000000,0.007338,
