Tmax,rep,run_t,train_ctr
95886,0,47.305029,401578
42687,1,20.956615,179727
21632,2,10.576237,90672
83218,3,41.137464,348638
10701,4,5.310117,44810
69669,5,34.869753,292004
55625,6,27.537705,233561
50190,7,24.506047,210601
70138,8,34.630455,294284
91975,9,46.580371,386844
51310,10,26.022303,216111
2054,11,1.010817,8494
53459,12,27.314946,224851
81546,13,40.251929,342574
23608,14,11.674507,98952
23626,15,11.817553,99024
64711,16,32.504934,272207
51484,17,25.322089,215496
38562,18,19.375318,162469
58579,19,29.515388,246066
48725,20,24.183759,204417
57786,21,29.221573,242651
73990,22,36.876638,309583
53318,23,26.841216,225170
29805,24,15.336232,125432
97674,25,48.259505,410142
8745,26,4.502394,36590
13481,27,6.910537,56588
77653,28,38.420895,325682
4813,29,2.329470,20062
29568,30,14.950934,124112
49863,31,25.537508,209461
62156,32,31.442230,261716
19971,33,9.797111,83334
13171,34,6.575653,55068
41295,35,20.298301,172947
86961,36,43.141419,366022
56742,37,28.443522,237951
84637,38,41.937661,355654
46107,39,23.088983,193676
64049,40,32.017779,268604
33245,41,17.040362,139211
45303,42,22.924606,190635
89069,43,44.251283,373879
46790,44,23.683975,196332
78464,45,41.128231,329582
31245,46,16.131128,131504
38469,47,19.406504,161865
97489,48,49.945510,410055
57912,49,28.917099,243460
88092,50,43.616206,369443
87197,51,42.959874,365693
23336,52,11.766099,97974
22120,53,11.315500,93106
45882,54,22.867433,192734
55162,55,27.224948,231867
57854,56,29.126738,243188
35325,57,17.925602,148532
15048,58,7.472568,63274
26642,59,13.202029,111966
87316,60,45.045972,367981
56781,61,28.986187,238362
75712,62,38.235057,318000
35682,63,18.121637,149570
15738,64,7.934402,65878
41799,65,20.974901,176164
32146,66,16.505371,135278
70990,67,35.427909,298455
33485,68,16.870148,140320
82237,69,42.995043,346201
60928,70,30.437854,256115
13333,71,6.654551,55556
31848,72,16.658271,133251
61283,73,30.591228,257508
11400,74,6.150605,48161
62349,75,32.289106,262332
2672,76,1.352237,11378
5427,77,2.702746,22757
45345,78,22.794020,191214
37847,79,19.082948,158950
61380,80,31.508913,257950
35269,81,17.609393,147890
50441,82,25.452921,211768
8719,83,4.385248,36534
92692,84,46.411287,389689
40056,85,19.970036,168542
42903,86,21.508435,180432
54945,87,27.605344,231523
34252,88,17.439183,143956
22211,89,11.338348,93709
88237,90,44.159310,370782
8613,91,4.450480,36154
38161,92,19.054719,160079
68237,93,34.115438,286847
9679,94,5.083235,40657
68180,95,33.837948,286931
27250,96,13.786268,114225
44573,97,22.655030,187786
80185,98,39.783067,335547
14646,99,7.467080,61532
