Tmax,rep,run_t,train_ctr
21236,0,10.558204,88973
77934,1,39.057786,327875
40340,2,20.195623,169468
39070,3,19.564811,164589
15462,4,7.642718,65091
29248,5,14.512139,122453
63109,6,31.371417,264709
16975,7,8.459924,70777
36761,8,18.497492,154242
74701,9,37.891860,313768
21340,10,10.722560,89450
78780,11,39.515102,331821
95208,12,48.841182,400420
62497,13,31.531100,262432
83061,14,41.586264,348467
48700,15,24.510917,205617
16947,16,8.708378,71191
26816,17,13.514549,112117
86067,18,43.889779,362022
43241,19,21.425212,181257
19548,20,9.860477,81878
97970,21,50.044218,412140
87283,22,44.581487,366418
61322,23,30.487403,258004
57341,24,29.505231,241076
87749,25,43.714475,367434
41670,26,21.353184,175334
18872,27,9.548868,79122
14557,28,7.548328,61352
82830,29,41.235909,347758
88039,30,44.812725,369481
65054,31,33.359757,273095
76728,32,38.874933,322863
36394,33,18.522428,152874
31416,34,16.177351,131846
92200,35,47.195334,386888
33476,36,16.865344,139945
61923,37,31.275688,260661
35778,38,18.110458,150051
90026,39,45.406230,377949
33645,40,17.290689,141548
46684,41,24.075095,196279
73731,42,37.571093,310035
50175,43,25.422903,210852
86049,44,44.586763,360979
62464,45,31.556139,262013
66295,46,34.068579,277544
96412,47,48.859812,404878
91791,48,47.024973,385134
63529,49,32.205862,266803
35913,50,18.080552,150520
89362,51,46.040892,374391
59911,52,30.789842,251351
75359,53,38.408263,317167
24820,54,12.801567,104502
81389,55,40.722550,342081
15990,56,8.346552,67510
56698,57,29.339130,238409
10837,58,5.404693,45279
91493,59,46.988577,384021
82541,60,42.078874,346447
9386,61,4.708138,39486
90730,62,46.797886,381465
23672,63,12.041273,99029
96790,64,49.825879,407226
63799,65,32.579810,267778
69081,66,35.797375,290433
23654,67,12.290785,99676
36408,68,18.466978,152709
74312,69,37.745085,311750
40187,70,20.972716,168456
11681,71,5.869667,49209
26377,72,13.336072,110817
57106,73,29.655380,239831
93102,74,46.566875,389968
56745,75,28.675406,238111
32202,76,16.555006,135146
12272,77,6.187517,51468
85909,78,42.969617,360280
2443,79,1.240303,10304
21671,80,10.889168,91292
99555,81,50.026126,417306
47923,82,24.182031,201030
41547,83,20.792103,174126
27753,84,13.952779,116854
67356,85,34.034369,281858
64711,86,32.823956,270907
70564,87,35.798423,297023
69219,88,35.566172,290307
98984,89,53.180983,416365
29829,90,14.958876,124862
53001,91,26.804253,222746
54215,92,28.973664,228343
6576,93,3.405566,27604
11889,94,6.203261,49854
22612,95,11.597283,95162
36777,96,18.910240,154323
15919,97,8.260887,66526
70525,98,34.836710,295930
75110,99,37.870779,314517
