seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,1,1,2,612,3.6429,0.159
2,1,2,3,3,613,3.6488,0.145
3,1,1,4,2,563,3.3512,0.110
4,0,0,4,1,569,3.3869,0.076
5,1,2,6,3,554,3.2976,0.140
6,0,0,6,1,599,3.5655,0.080
7,0,0,6,1,567,3.3750,0.074
8,0,0,6,1,559,3.3274,0.078
9,1,1,7,2,574,3.4167,0.083
10,1,1,8,2,618,3.6786,0.097
11,0,0,8,1,597,3.5536,0.080
12,0,0,8,1,627,3.7321,0.088
13,0,0,8,1,575,3.4226,0.082
14,0,0,8,1,556,3.3095,0.079
15,0,0,8,1,589,3.5060,0.077
16,0,0,8,1,623,3.7083,0.086
17,0,0,8,1,569,3.3869,0.077
18,0,0,8,1,631,3.7560,0.092
19,0,0,8,1,586,3.4881,0.082
20,0,0,8,1,521,3.1012,0.067
21,0,0,8,1,589,3.5060,0.083
22,0,0,8,1,582,3.4643,0.076
23,0,0,8,1,573,3.4107,0.080
24,0,0,8,1,589,3.5060,0.076
25,0,0,8,1,608,3.6190,0.082
26,0,0,8,1,605,3.6012,0.085
27,0,0,8,1,559,3.3274,0.074
28,0,0,8,1,602,3.5833,0.077
29,0,0,8,1,541,3.2202,0.075
30,0,0,8,1,608,3.6190,0.085
31,0,0,8,1,615,3.6607,0.085
32,0,0,8,1,637,3.7917,0.082
33,0,0,8,1,560,3.3333,0.073
34,0,0,8,1,580,3.4524,0.083
35,0,0,8,1,587,3.4940,0.080
36,1,1,9,2,595,3.5417,0.089
37,0,0,9,1,603,3.5893,0.085
38,1,1,10,2,564,3.3571,0.098
39,0,0,10,1,582,3.4643,0.079
40,1,4,14,5,582,3.4643,0.187
41,1,1,15,2,588,3.5000,0.118
42,0,0,15,1,596,3.5476,0.088
43,0,0,15,1,566,3.3690,0.074
44,0,0,15,1,591,3.5179,0.078
45,0,0,15,1,583,3.4702,0.077
46,0,0,15,1,590,3.5119,0.076
47,0,0,15,1,578,3.4405,0.072
48,1,2,17,3,607,3.6131,0.114
49,0,0,17,1,593,3.5298,0.078
50,0,0,17,1,567,3.3750,0.085
51,0,0,17,1,582,3.4643,0.078
52,0,0,17,1,576,3.4286,0.079
53,1,1,18,2,638,3.7976,0.138
54,1,1,19,2,559,3.3274,0.086
55,0,0,19,1,578,3.4405,0.076
56,0,0,19,1,579,3.4464,0.077
57,0,0,19,1,592,3.5238,0.075
58,0,0,19,1,579,3.4464,0.078
59,0,0,19,1,564,3.3571,0.079
60,1,1,20,2,614,3.6548,0.132
61,0,0,20,1,576,3.4286,0.074
62,0,0,20,1,562,3.3452,0.074
63,0,0,20,1,555,3.3036,0.071
64,0,0,20,1,567,3.3750,0.076
65,0,0,20,1,578,3.4405,0.080
66,0,0,20,1,584,3.4762,0.080
67,0,0,20,1,602,3.5833,0.080
68,0,0,20,1,560,3.3333,0.078
69,0,0,20,1,601,3.5774,0.084
70,0,0,20,1,583,3.4702,0.081
71,0,0,20,1,557,3.3155,0.082
72,0,0,20,1,558,3.3214,0.072
73,0,0,20,1,576,3.4286,0.078
74,0,0,20,1,573,3.4107,0.078
75,0,0,20,1,573,3.4107,0.085
76,0,0,20,1,572,3.4048,0.082
77,0,0,20,1,566,3.3690,0.077
78,0,0,20,1,615,3.6607,0.086
79,0,0,20,1,559,3.3274,0.080
80,0,0,20,1,596,3.5476,0.087
81,0,0,20,1,589,3.5060,0.079
82,0,0,20,1,609,3.6250,0.092
83,0,0,20,1,620,3.6905,0.085
84,0,0,20,1,604,3.5952,0.082
85,1,1,21,2,596,3.5476,0.088
86,0,0,21,1,585,3.4821,0.075
87,0,0,21,1,578,3.4405,0.077
88,0,0,21,1,628,3.7381,0.082
89,0,0,21,1,579,3.4464,0.084
90,0,0,21,1,580,3.4524,0.076
91,0,0,21,1,574,3.4167,0.075
