seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,1,1,2,392,2.3333,0.024
2,0,0,1,1,340,2.0238,0.021
3,0,0,1,1,307,1.8274,0.017
4,0,0,1,1,325,1.9345,0.017
5,0,0,1,1,326,1.9405,0.017
6,0,0,1,1,360,2.1429,0.017
7,0,0,1,1,334,1.9881,0.018
8,0,0,1,1,312,1.8571,0.017
9,0,0,1,1,342,2.0357,0.018
10,0,0,1,1,391,2.3274,0.020
11,0,0,1,1,328,1.9524,0.016
12,0,0,1,1,362,2.1548,0.019
13,0,0,1,1,331,1.9702,0.019
14,0,0,1,1,328,1.9524,0.017
15,0,0,1,1,325,1.9345,0.016
16,0,0,1,1,343,2.0417,0.017
17,0,0,1,1,322,1.9167,0.016
18,0,0,1,1,353,2.1012,0.017
19,0,0,1,1,339,2.0179,0.016
20,0,0,1,1,303,1.8036,0.014
21,0,0,1,1,342,2.0357,0.016
22,0,0,1,1,321,1.9107,0.015
23,0,0,1,1,319,1.8988,0.015
24,0,0,1,1,313,1.8631,0.016
25,1,1,2,2,347,2.0655,0.027
26,0,0,2,1,362,2.1548,0.019
27,0,0,2,1,304,1.8095,0.015
28,0,0,2,1,355,2.1131,0.017
29,0,0,2,1,306,1.8214,0.017
30,0,0,2,1,355,2.1131,0.020
31,0,0,2,1,357,2.1250,0.017
32,0,0,2,1,363,2.1607,0.018
33,0,0,2,1,313,1.8631,0.016
34,0,0,2,1,342,2.0357,0.016
35,0,0,2,1,335,1.9940,0.017
36,0,0,2,1,337,2.0060,0.022
37,0,0,2,1,351,2.0893,0.017
38,0,0,2,1,304,1.8095,0.016
39,0,0,2,1,341,2.0298,0.018
40,0,0,2,1,352,2.0952,0.019
41,0,0,2,1,336,2.0000,0.017
42,0,0,2,1,333,1.9821,0.018
43,0,0,2,1,336,2.0000,0.017
44,0,0,2,1,347,2.0655,0.020
45,0,0,2,1,334,1.9881,0.017
46,0,0,2,1,355,2.1131,0.018
47,0,0,2,1,326,1.9405,0.016
48,1,1,3,2,347,2.0655,0.029
49,0,0,3,1,318,1.8929,0.016
50,0,0,3,1,322,1.9167,0.015
51,0,0,3,1,328,1.9524,0.016
52,0,0,3,1,345,2.0536,0.018
53,0,0,3,1,352,2.0952,0.019
54,0,0,3,1,297,1.7679,0.015
55,0,0,3,1,336,2.0000,0.017
56,0,0,3,1,336,2.0000,0.017
57,0,0,3,1,360,2.1429,0.019
58,0,0,3,1,344,2.0476,0.017
59,0,0,3,1,307,1.8274,0.015
60,0,0,3,1,329,1.9583,0.017
61,0,0,3,1,324,1.9286,0.018
62,0,0,3,1,322,1.9167,0.017
63,0,0,3,1,313,1.8631,0.016
64,0,0,3,1,330,1.9643,0.017
65,0,0,3,1,316,1.8810,0.016
66,0,0,3,1,327,1.9464,0.018
67,0,0,3,1,338,2.0119,0.016
68,0,0,3,1,324,1.9286,0.015
69,0,0,3,1,334,1.9881,0.017
70,0,0,3,1,335,1.9940,0.036
71,0,0,3,1,335,1.9940,0.019
72,0,0,3,1,331,1.9702,0.016
73,0,0,3,1,330,1.9643,0.017
74,0,0,3,1,305,1.8155,0.015
75,0,0,3,1,343,2.0417,0.017
76,0,0,3,1,352,2.0952,0.017
77,0,0,3,1,334,1.9881,0.017
78,0,0,3,1,361,2.1488,0.018
